year,days,on_share,arm,twin,excess
2009,245,0.0,0.22917476909257628,0.20980944672130808,0.0193653223712682
2010,252,0.21428571428571427,0.17389788430583253,0.12833920970473134,0.04555867460110119
2011,252,0.3611111111111111,0.012624648516796233,0.025194016021554688,-0.012569367504758455
2012,250,0.0,0.11674685271335083,0.10701537972812925,0.00973147298522159
2013,252,0.12301587301587301,0.33011436220517365,0.3467427587903531,-0.01662839658517945
2014,252,0.21825396825396826,0.09668455866102499,0.12910733654075157,-0.03242277787972658
2015,252,0.2261904761904762,0.03177710978530235,0.03976221893000531,-0.007985109144702962
2016,252,0.11507936507936507,0.13225220490151335,0.10268996870540703,0.029562236196106317
2017,251,0.06374501992031872,0.25053782032234406,0.2466876919793355,0.003850128343008574
2018,251,0.26693227091633465,0.0241544003058205,-0.014512079102692144,0.038666479408512644
2019,252,0.14285714285714285,0.204817125861964,0.22990086541941968,-0.025083739557455687
2020,253,0.2134387351778656,0.17477045162205274,0.08921852127743457,0.08555193034461817
2021,252,0.12301587301587301,0.23355098484030434,0.2604803443132595,-0.02692935947295516
2022,251,0.5139442231075697,-0.07239735753531407,-0.1033393543708706,0.03094199683555654
2023,250,0.0,0.19734168893229231,0.18036580648857448,0.016975882443717838
2024,252,0.11507936507936507,0.15598028213707393,0.16667810216536827,-0.010697820028294336
2025,250,0.204,0.13352216952268692,0.12613454215983833,0.007387627362848592
2026,174,0.034482758620689655,0.11723282022314652,0.11147283698344457,0.005759983239701949
