knob,min,max,mean,count,swing
L,0.1527777777777778,0.4722222222222222,0.23737373737373738,11,0.3194444444444444
q,0.1527777777777778,0.4583333333333333,0.2777777777777778,6,0.3055555555555555
SEED,0.20833333333333334,0.2361111111111111,0.22743055555555555,8,0.027777777777777762
B,0.2222222222222222,0.2361111111111111,0.22685185185185186,6,0.013888888888888895
