bar,broad,prices,shift
H1 Sharpe,0.9566383979356751,0.9566191985523634,1.919938331162996e-05
H2 Sharpe,0.8340326918358352,0.8340156636358562,1.702819997895233e-05
OOS Sharpe,0.8820239235972316,0.8820106885412021,1.323505602945918e-05
DD cap (0.60x),0.20229571984435804,0.20230354065372144,7.820809363390246e-06
CAGR floor (0.70x),0.10659833650201626,0.10659631490596637,2.021596049894825e-06
OOS CAGR floor (0.70x),0.10815310979047238,0.10815506736362746,1.957573155064729e-06
OOS DD cap (0.60x),0.20229571984435804,0.20230354065372158,7.820809363523472e-06
