book,instr,rung,chooser,floor,IS,OOS,OOS_CAGR,OOS_DD,CAGR,Sharpe,MaxDD,pass4a,pass4b,v2_OOS,spy_OOS
EWALL,DV,10.0,A capacity (IS),500000.0,0.524954725851323,0.44973178467885805,0.06825213126411223,-0.39241652355504,0.07045625059054572,0.47498240414634274,-0.39241652355503975,0,0,0.5664863714962137,0.8820107009842559
EWALL,DV,10.0,B IS-Sharpe,0.0,0.7737298887497327,0.6366624355474833,0.10089643214031607,-0.36166373582084044,0.1018177783174512,0.678135269658678,-0.3616637358208413,0,0,0.5664863714962137,0.8820107009842559
EWALL,DV,10.0,C no floor,0.0,0.7737298887497327,0.6366624355474833,0.10089643214031607,-0.36166373582084044,0.1018177783174512,0.678135269658678,-0.3616637358208413,0,0,0.5664863714962137,0.8820107009842559
EWALL,DV,25.0,A capacity (IS),500000.0,0.5037443360615521,0.4298958498505027,0.0643410068740109,-0.39589036358416163,0.06664563407760427,0.45471269428291405,-0.39589036358415997,0,0,0.5055965085014015,0.8820107009842559
EWALL,DV,25.0,B IS-Sharpe,0.0,0.7571055453583596,0.6206770724346838,0.09782050310343715,-0.36426007858274967,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0,0,0.5055965085014015,0.8820107009842559
EWALL,DV,25.0,C no floor,0.0,0.7571055453583596,0.6206770724346838,0.09782050310343715,-0.36426007858274967,0.09894356898141088,0.6620350100338488,-0.36426007858275133,0,0,0.5055965085014015,0.8820107009842559
EWALL,VOLSH,10.0,A capacity (IS),500000.0,0.6093077169009707,0.5479712561033697,0.08826207577473011,-0.3945655068596168,0.08861248032481783,0.5681885043070574,-0.39456550685961544,0,0,0.5664863714962137,0.8820107009842559
EWALL,VOLSH,10.0,B IS-Sharpe,0.0,0.7737298887497327,0.6366624355474833,0.10089643214031607,-0.36166373582084044,0.1018177783174512,0.678135269658678,-0.3616637358208413,0,0,0.5664863714962137,0.8820107009842559
EWALL,VOLSH,10.0,C no floor,0.0,0.7737298887497327,0.6366624355474833,0.10089643214031607,-0.36166373582084044,0.1018177783174512,0.678135269658678,-0.3616637358208413,0,0,0.5664863714962137,0.8820107009842559
EWALL,VOLSH,25.0,A capacity (IS),500000.0,0.5862288780742979,0.5272444415364577,0.08407614892447945,-0.3981943679259957,0.0844797083503821,0.5466887343411118,-0.3981943679259953,0,0,0.5055965085014015,0.8820107009842559
