panel,signal,n,cost,pass4a_at075,pass4a_any,pass4a_count,pass4a_flip,pass4b_at075,pass4b_any,pass4b_count,pass4b_flip,pass4b_oos_at075,pass4b_oos_any,pass4b_oos_count,pass4b_oos_flip,const_bF_H1,const_bF_H2,const_bF_OOS,const_bF_DD,const_bF_CAGR,const_bO_H1,const_bO_H2,const_bO_OOS,const_bO_DD,const_bO_CAGR,gmax_4b,gmin_4b
broad,COMP,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,,
broad,COMP,10,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
broad,COMP,20,10.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,COMP,20,25.0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
broad,COMP,40,10.0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,COMP,40,25.0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,MOM,10,10.0,1,1,5,0,0,1,2,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0.65,0.5
broad,MOM,10,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,MOM,20,10.0,1,1,5,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0.65,0.65
broad,MOM,20,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,MOM,40,10.0,1,1,5,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0.75,0.75
broad,MOM,40,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,R6,10,10.0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,R6,10,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,R6,20,10.0,1,1,5,0,1,1,2,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0.75,0.65
broad,R6,20,25.0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
broad,R6,40,10.0,1,1,5,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0.75,0.75
broad,R6,40,25.0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
small,COMP,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,COMP,10,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,COMP,20,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,COMP,20,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,COMP,40,10.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,,
small,COMP,40,25.0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,MOM,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
small,MOM,10,25.0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,MOM,20,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
small,MOM,20,25.0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
small,MOM,40,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,MOM,40,25.0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,R6,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
small,R6,10,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,R6,20,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,R6,20,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,R6,40,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
small,R6,40,25.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,
u56,COMP,10,10.0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,
u56,COMP,10,25.0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,COMP,20,10.0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,COMP,20,25.0,0,1,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,COMP,40,10.0,1,1,5,0,0,1,2,1,1,1,3,0,1,1,1,0,0,1,1,1,0,0,1.05,0.9
u56,COMP,40,25.0,1,1,5,0,0,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1.05,1.05
u56,MOM,10,10.0,0,1,3,1,1,1,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0.75,0.65
u56,MOM,10,25.0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,MOM,20,10.0,0,1,3,1,1,1,1,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0.75,0.75
u56,MOM,20,25.0,0,1,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,MOM,40,10.0,1,1,5,0,0,1,2,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1.05,0.9
u56,MOM,40,25.0,1,1,5,0,0,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1.05,1.05
u56,R6,10,10.0,0,1,3,1,1,1,2,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0.75,0.65
u56,R6,10,25.0,0,1,3,1,0,0,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,,
u56,R6,20,10.0,0,1,3,1,1,1,1,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0.75,0.75
u56,R6,20,25.0,0,1,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,
u56,R6,40,10.0,0,1,4,1,0,1,2,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1.05,0.9
u56,R6,40,25.0,1,1,5,0,0,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,0,0,1.05,1.05
