panel,book,conv,f,n,slope_conv_per_pp,t_conv,R2_conv,slope_dSharpe,t_dS,R2_dS,rho_conv
B136,ewall,matched,0.25,32,-0.15134143817189682,-39.6935487821097,0.9813151379389624,-0.21838174255363157,-24.963668616236507,0.9540711874180821,-0.9963343108504397
B136,ewall,matched,0.5,32,-0.13379643664461102,-37.30924002629964,0.9789026478283004,-0.43144715896160807,-30.80810123242177,0.9693608395859215,-0.9937683284457477
B136,ewall,matched,0.75,32,-0.08754835107719112,-30.48643373786863,0.9687311944861018,-0.4862460592784351,-38.47538871243895,0.9801371271375848,-0.9879032258064515
B136,ewall,natural,0.25,32,-0.07375496691713762,-16.76834328073674,0.9035919506576656,-0.17119443302702503,-14.629661557517824,0.8770627826696831,-0.8958944281524927
B136,ewall,natural,0.5,32,-0.08101571323500824,-33.37141632236512,0.9737682310516278,-0.36588885788815656,-22.48934364223055,0.9440058837453933,-0.9743401759530791
B136,ewall,natural,0.75,32,-0.0639738031370173,-82.18490355040916,0.9955780637818858,-0.42673048895605276,-45.12039722533641,0.9854781342154901,-0.9989002932551319
B136,top20,matched,0.25,32,-0.09793184518349857,-15.820102580030822,0.892962515771903,-0.18931124289727566,-14.457004615853247,0.8744796041870421,-0.87316715542522
B136,top20,matched,0.5,32,-0.089564985508477,-19.87160007719,0.929391909649036,-0.3809558751326878,-17.730575649021038,0.9128852356412256,-0.9186217008797654
B136,top20,matched,0.75,32,-0.06979589959733963,-30.511314533811728,0.9687805792464073,-0.495716185494815,-24.561227529756856,0.9526256370379771,-0.974706744868035
B136,top20,natural,0.25,32,-0.055956525542192534,-9.478587934767436,0.7496738025127481,-0.15418397621857252,-10.12882373698422,0.7737438319115908,-0.7580645161290321
B136,top20,natural,0.5,32,-0.05968383568460739,-14.028113050733092,0.8677178428681681,-0.3308773682737367,-14.056400682256559,0.8681796132674305,-0.8684017595307918
B136,top20,natural,0.75,32,-0.053882884534472535,-30.21546152194156,0.9681857650986408,-0.4483401053061858,-24.973814526336014,0.9541067857868825,-0.9527126099706745
B136,v1,matched,0.25,32,-0.3457826472283027,-3.8350811556617606,0.3289768643013452,-0.15786979484967492,-8.203422053740487,0.6916629782275616,-0.4662756598240469
B136,v1,matched,0.5,32,-0.15776578299977967,-3.462140106113543,0.28548315847388106,-0.29212933531147606,-9.917951632635015,0.766292826623562,-0.25843108504398826
B136,v1,matched,0.75,32,0.007731707890197137,0.23212561072718801,0.0017928565307844258,-0.33461393677034795,-14.467058775574863,0.8746321443927227,0.2287390029325513
B136,v1,natural,0.25,32,-0.1506892966290372,-3.5065621701225336,0.29071270510409086,-0.12858574743661763,-6.59031223219711,0.5914599624953841,-0.3610703812316715
B136,v1,natural,0.5,32,-0.10077689341919858,-4.28869147194841,0.3800740236202722,-0.2640268932501776,-9.537065790882313,0.7519751539217592,-0.32661290322580644
B136,v1,natural,0.75,32,-0.05754473232941982,-5.403745123309206,0.4932471924713431,-0.32602857143497993,-19.436622406486126,0.9264313318808044,-0.34274193548387094
u56,ewall,matched,0.25,32,-0.16612922603655222,-41.582367759717066,0.9829457596962226,-0.23398539730470164,-29.454395158680462,0.9665761025428765,-0.9956011730205276
u56,ewall,matched,0.5,32,-0.14258622996892273,-39.09372201156863,0.9807484872731257,-0.44564134780573283,-35.47078862503077,0.976711272135833,-0.9919354838709675
u56,ewall,matched,0.75,32,-0.09044077599110975,-32.88437743124669,0.973006587772935,-0.48398795951756124,-42.22756419466147,0.9834543662784782,-0.9860703812316713
u56,ewall,natural,0.25,32,-0.08195228800579293,-17.744745298429574,0.9130122094799532,-0.18483402375178296,-15.960932942097504,0.894644935663734,-0.9021260997067447
u56,ewall,natural,0.5,32,-0.0848520686395108,-33.90838463311208,0.9745714989986913,-0.37237727648330177,-23.763845207165478,0.9495561223802693,-0.9622434017595306
u56,ewall,natural,0.75,32,-0.06239462318796559,-109.7987552424995,0.997517741252017,-0.40539846097465115,-44.505641986238565,0.985080210048571,-0.9952346041055717
u56,top20,matched,0.25,32,-0.11409809660140416,-22.11486509153892,0.9422040216626034,-0.2218709960168557,-18.91612973124555,0.9226445186321556,-0.9340175953079178
u56,top20,matched,0.5,32,-0.10434467379017852,-28.270911587857686,0.9638224889064808,-0.43598633305530193,-23.27838787780425,0.947541748837896,-0.9629765395894426
u56,top20,matched,0.75,32,-0.07647772142749547,-41.444768893807726,0.9828342768255733,-0.5236223142358224,-30.680257588123926,0.9691128660925797,-0.9864369501466274
u56,top20,natural,0.25,32,-0.06692253002583892,-14.771641388722122,0.8791304106614659,-0.18525961387269643,-14.485203695023834,0.87490676701601,-0.874266862170088
u56,top20,natural,0.5,32,-0.06911890781127006,-23.168636953900336,0.9470699455319836,-0.3778025863591364,-20.413338682704328,0.9328414937106158,-0.9369501466275659
u56,top20,natural,0.75,32,-0.054712163076510105,-53.74118760896192,0.9897193916364295,-0.44398390933573856,-35.10462248732199,0.9762345087413614,-0.9860703812316713
u56,v1,matched,0.25,32,-0.1899246718394661,-1.143773115780947,0.041785098872744064,-0.17161211653782016,-10.360854541209372,0.781575622458899,-0.11180351906158356
u56,v1,matched,0.5,32,-0.009325379962289179,-0.12264410865626575,0.0005011346510817027,-0.3221727487628015,-12.699963471126544,0.8431692952451516,0.15909090909090906
u56,v1,matched,0.75,32,0.04876616564997481,0.936369313342046,0.028396331426159827,-0.3726131676903565,-17.662996128706695,0.9122759390670392,0.33027859237536655
u56,v1,natural,0.25,32,-0.17540269168904027,-4.705933403413187,0.42469010526891915,-0.13910488809995578,-7.939237212539692,0.6775285357602565,-0.5073313782991201
u56,v1,natural,0.5,32,-0.1353473534890835,-6.319259917221245,0.5710182559144028,-0.27459705576676124,-10.960444671657106,0.800174976649086,-0.5263929618768328
u56,v1,natural,0.75,32,-0.08326001742982475,-11.44907618796934,0.8137586950488186,-0.31693937317270804,-19.068029656504905,0.9237785038347301,-0.6810850439882697
