family,pair,rho
BAND,U56-B136,1.0
BAND,U56-SMALL,0.37573457465108967
BAND,B136-SMALL,0.37573457465108967
TOPN,U56-B136,0.32338083338177726
TOPN,U56-SMALL,0.2886751345948129
TOPN,B136-SMALL,-0.560112033611204
VOLTGT,U56-B136,0.7593894812410521
VOLTGT,U56-SMALL,-0.777911175905468
VOLTGT,B136-SMALL,-0.6320754716981133
POOLED,U56-B136,0.7092081432669753
POOLED,U56-SMALL,0.40006613209931946
POOLED,B136-SMALL,0.35185185185185186
