panel,ladder,rung,cstar_L_H1,cstar_L_H2,cstar_L_OOS,cstar_L_DD,cstar_L_CAGR,cstar_O_S,cstar_O_DD,cstar_O_CAGR
U56,N,5,133.0,13.0,27.0,,200.0,27.0,,181.0
U56,N,8,104.0,96.0,116.0,,189.0,116.0,,200.0
U56,N,10,148.0,103.0,121.0,,199.0,121.0,,200.0
U56,N,12,158.0,141.0,156.0,64.0,200.0,156.0,64.0,200.0
U56,N,15,136.0,153.0,168.0,,196.0,168.0,,200.0
U56,N,20,117.0,142.0,149.0,193.0,162.0,149.0,193.0,196.0
U56,N,25,117.0,139.0,150.0,,150.0,150.0,,189.0
U56,N,30,97.0,134.0,141.0,,125.0,141.0,,171.0
U56,N,40,159.0,117.0,128.0,,121.0,128.0,,133.0
U56,H,21,57.0,60.0,63.0,8.0,64.0,63.0,8.0,77.0
U56,H,63,86.0,90.0,94.0,,110.0,94.0,,133.0
U56,H,126,117.0,142.0,149.0,193.0,162.0,149.0,193.0,196.0
U56,H,252,164.0,200.0,200.0,,200.0,200.0,,200.0
U56,GROSS,0.3,112.0,136.0,143.0,200.0,,143.0,200.0,
U56,GROSS,0.35,113.0,137.0,144.0,200.0,,144.0,200.0,
U56,GROSS,0.4,113.0,138.0,145.0,200.0,,145.0,200.0,
U56,GROSS,0.45,114.0,139.0,146.0,200.0,,146.0,200.0,
U56,GROSS,0.5,115.0,139.0,146.0,200.0,,146.0,200.0,36.0
U56,GROSS,0.55,115.0,140.0,147.0,200.0,44.0,147.0,200.0,80.0
U56,GROSS,0.6,116.0,141.0,148.0,200.0,81.0,148.0,200.0,117.0
U56,GROSS,0.65,116.0,141.0,148.0,200.0,112.0,148.0,200.0,147.0
U56,GROSS,0.7,116.0,142.0,149.0,200.0,139.0,149.0,200.0,173.0
U56,GROSS,0.75,117.0,142.0,149.0,193.0,162.0,149.0,193.0,196.0
U56,CADENCE,D,87.0,86.0,99.0,,115.0,99.0,,144.0
U56,CADENCE,W,117.0,142.0,149.0,193.0,162.0,149.0,193.0,196.0
U56,CADENCE,M,157.0,122.0,144.0,,179.0,144.0,,200.0
U56,CADENCE,Q,195.0,200.0,200.0,172.0,200.0,200.0,172.0,200.0
B136,N,5,185.0,,,,200.0,,,114.0
B136,N,8,200.0,,,,195.0,,,104.0
B136,N,10,197.0,,14.0,22.0,200.0,14.0,22.0,142.0
B136,N,12,172.0,23.0,42.0,,192.0,42.0,,153.0
B136,N,15,129.0,68.0,91.0,92.0,174.0,91.0,92.0,180.0
B136,N,20,153.0,37.0,71.0,,156.0,71.0,,145.0
B136,N,25,145.0,72.0,95.0,,167.0,95.0,,166.0
B136,N,30,141.0,78.0,100.0,,160.0,100.0,,168.0
B136,N,40,138.0,72.0,92.0,,145.0,92.0,,149.0
B136,H,21,72.0,26.0,33.0,,73.0,33.0,,63.0
B136,H,63,130.0,30.0,50.0,,128.0,50.0,,113.0
B136,H,126,153.0,37.0,71.0,,156.0,71.0,,145.0
B136,H,252,190.0,96.0,131.0,,200.0,131.0,,200.0
B136,GROSS,0.3,146.0,34.0,67.0,200.0,,67.0,200.0,
B136,GROSS,0.35,147.0,35.0,67.0,200.0,,67.0,200.0,
B136,GROSS,0.4,148.0,35.0,68.0,200.0,,68.0,200.0,
B136,GROSS,0.45,149.0,35.0,68.0,200.0,,68.0,200.0,
B136,GROSS,0.5,150.0,36.0,69.0,200.0,12.0,69.0,200.0,8.0
B136,GROSS,0.55,151.0,36.0,69.0,200.0,52.0,69.0,200.0,46.0
B136,GROSS,0.6,151.0,36.0,70.0,200.0,85.0,70.0,200.0,77.0
B136,GROSS,0.65,152.0,37.0,70.0,200.0,113.0,70.0,200.0,104.0
B136,GROSS,0.7,152.0,37.0,71.0,77.0,136.0,71.0,77.0,126.0
B136,GROSS,0.75,153.0,37.0,71.0,,156.0,71.0,,145.0
B136,CADENCE,D,104.0,23.0,40.0,,130.0,40.0,,131.0
B136,CADENCE,W,153.0,37.0,71.0,,156.0,71.0,,145.0
B136,CADENCE,M,166.0,94.0,134.0,,200.0,134.0,,200.0
B136,CADENCE,Q,159.0,45.0,80.0,,198.0,80.0,,200.0
