it,scheme,family,resid,cells,claims,survive,defined
0,FAM2,DD,partial,72,17,8,72
0,FAM2,DD,logx,72,17,7,72
0,FAM2,DD,loglog,72,17,0,72
0,FAM2,RET,partial,108,39,33,108
0,FAM2,RET,logx,108,39,30,108
0,FAM2,RET,loglog,108,39,0,0
0,FAM3,DD,partial,72,17,8,72
0,FAM3,DD,logx,72,17,7,72
0,FAM3,DD,loglog,72,17,0,72
0,FAM3,LEVEL,partial,72,26,22,72
0,FAM3,LEVEL,logx,72,26,20,72
0,FAM3,LEVEL,loglog,72,26,0,0
0,FAM3,RATIO,partial,36,13,11,36
0,FAM3,RATIO,logx,36,13,10,36
0,FAM3,RATIO,loglog,36,13,0,0
0,FAM5,CAGR,partial,36,13,11,36
0,FAM5,CAGR,logx,36,13,10,36
0,FAM5,CAGR,loglog,36,13,0,0
0,FAM5,CAGRnorm,partial,36,13,11,36
0,FAM5,CAGRnorm,logx,36,13,10,36
0,FAM5,CAGRnorm,loglog,36,13,0,0
0,FAM5,DDnorm,partial,36,8,4,36
0,FAM5,DDnorm,logx,36,8,3,36
0,FAM5,DDnorm,loglog,36,8,0,36
0,FAM5,MaxDD,partial,36,9,4,36
0,FAM5,MaxDD,logx,36,9,4,36
0,FAM5,MaxDD,loglog,36,9,0,36
0,FAM5,Sharpe,partial,36,13,11,36
0,FAM5,Sharpe,logx,36,13,10,36
0,FAM5,Sharpe,loglog,36,13,0,0
1,FAM2,DD,partial,72,23,16,72
1,FAM2,DD,logx,72,23,14,72
1,FAM2,DD,loglog,72,23,0,72
1,FAM2,RET,partial,108,39,30,108
1,FAM2,RET,logx,108,39,30,108
1,FAM2,RET,loglog,108,39,0,0
1,FAM3,DD,partial,72,23,16,72
1,FAM3,DD,logx,72,23,14,72
1,FAM3,DD,loglog,72,23,0,72
1,FAM3,LEVEL,partial,72,26,20,72
1,FAM3,LEVEL,logx,72,26,20,72
1,FAM3,LEVEL,loglog,72,26,0,0
1,FAM3,RATIO,partial,36,13,10,36
1,FAM3,RATIO,logx,36,13,10,36
1,FAM3,RATIO,loglog,36,13,0,0
1,FAM5,CAGR,partial,36,13,10,36
1,FAM5,CAGR,logx,36,13,10,36
1,FAM5,CAGR,loglog,36,13,0,0
1,FAM5,CAGRnorm,partial,36,13,10,36
1,FAM5,CAGRnorm,logx,36,13,10,36
1,FAM5,CAGRnorm,loglog,36,13,0,0
1,FAM5,DDnorm,partial,36,9,8,36
1,FAM5,DDnorm,logx,36,9,7,36
1,FAM5,DDnorm,loglog,36,9,0,36
