model,params,tau,RSS,R2,AIC,dAIC,boot_win_share
linear,2,,6.74882044694311,0.4754630610647782,-1387.9007289739184,69.11771028883413,0.0
step@tau,3,-0.5,6.524087291513736,0.49292994173717364,-1397.8217990257085,59.196640237043994,0.0
hinge@tau,4,0.1,5.48297026426482,0.5738484285808773,-1457.0184392627525,0.0,0.946
hinge@0 (pinned),3,0.0,5.5436959582012415,0.5691286601617077,-1455.1413543966423,1.8770848661101809,0.054
