book,set,panel,epset,rung,base_pass4b,base_margin,minmargin,binding_strip,clause_pass,killed_by_clause,all_legs_pass4b_everystrip
u56-v2band-gross100,SHELF,U56,QUEUE2,10.0,True,0.04319350907295008,0.042458886954383546,COVID_TIGHT,True,False,True
u56-v2band-gross100,SHELF,U56,QUEUE2,25.0,True,0.04271370716026382,0.03824949656765281,COVID_TIGHT,True,False,False
u56-v2band-gross100,SHELF,U56,REAL5,10.0,True,0.04319350907295008,0.042458886954383296,COVID_DD,True,False,True
u56-v2band-gross100,SHELF,U56,REAL5,25.0,True,0.04271370716026382,0.03824949656765256,COVID_DD,True,False,False
u56-v2band-gross100,SHELF,U56,PLACEBO3,10.0,True,0.04319350907295008,0.04319350907294997,PLACEBO_2017,True,False,True
u56-v2band-gross100,SHELF,U56,PLACEBO3,25.0,True,0.04271370716026382,0.04271370716026365,PLACEBO_2019,True,False,True
u56-band008-gross100,SHELF,U56,QUEUE2,10.0,True,0.011797325937657727,0.011797325937657727,BEAR2022,True,False,True
u56-band008-gross100,SHELF,U56,QUEUE2,25.0,True,0.011599192597445379,0.011599192597445379,BEAR2022,True,False,False
u56-band008-gross100,SHELF,U56,REAL5,10.0,True,0.011797325937657727,0.011797325937657727,BEAR2022,True,False,True
u56-band008-gross100,SHELF,U56,REAL5,25.0,True,0.011599192597445379,0.011599192597445213,DD_2015,True,False,False
u56-band008-gross100,SHELF,U56,PLACEBO3,10.0,True,0.011797325937657727,0.011797325937657505,PLACEBO_2017,True,False,True
u56-band008-gross100,SHELF,U56,PLACEBO3,25.0,True,0.011599192597445379,0.011599192597444852,PLACEBO_2013,True,False,True
u56-top20-band-m20,SHELF,U56,QUEUE2,10.0,True,0.019219997237688108,0.016862015441393707,COVID_TIGHT,True,False,True
u56-top20-band-m20,SHELF,U56,QUEUE2,25.0,True,0.017896362886029277,0.011884607278363879,COVID_TIGHT,True,False,False
u56-top20-band-m20,SHELF,U56,REAL5,10.0,True,0.019219997237688108,0.01686201544139368,COVID_DD,True,False,True
u56-top20-band-m20,SHELF,U56,REAL5,25.0,True,0.017896362886029277,0.011884607278363657,COVID_WIDE,True,False,False
