d,k,draws,pick_n_counts,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,anchor_med_OOS,best_med_OOS,med_regret,beats_SPY_OOS,beats_v2_OOS,pick_4b_rate,anchor_4b_rate
5,50,200,"{10: np.int64(5), 20: np.int64(165), 30: np.int64(30)}",1.1869,0.139989,-0.180466,1.1769,1.2559,-0.069,1.0,0.0,0.915,0.965
10,45,200,"{10: np.int64(35), 20: np.int64(86), 30: np.int64(79)}",1.1975,0.129237,-0.173794,1.1874,1.2539,-0.0565,0.995,0.045,0.555,0.87
