panel,frame,maxvol,argmax_full_10,argmax_full_25,inverts_full,argmax_oos_10,argmax_oos_25,inverts_oos,S10,S25,gap10
U56,LIVE,0.45,D,M,True,D,D,False,1.1662227817876816,1.1148632538913115,0.018616705446324433
U56,LIVE,0.60,W,M,True,D,D,False,1.1506722425661353,1.1102612736681603,0.011735819301499362
U56,LIVE,0.80,W,W,False,W,W,False,1.1709424414797884,1.1309676228767207,0.0
U56,LIVE,none,W,W,False,D,W,True,1.20113235219264,1.1635477026499867,0.0
U56,INC,0.45,W,W,False,Q,Q,False,1.1122387717862419,1.0796302498075416,0.0
U56,INC,0.60,W,Q,True,Q,Q,False,1.1536628182453899,1.1329155062641425,0.0021730638180410544
U56,INC,0.80,D,D,False,D,D,False,1.1186878276986973,1.074578048089866,0.0
U56,INC,none,W,W,False,M,M,False,1.1361038142512543,1.1054778518171469,0.0
B136,LIVE,0.45,D,M,True,D,M,True,1.0722330702681941,1.0205262935536366,0.017346747231639092
B136,LIVE,0.60,M,M,False,D,M,True,1.0677360175889998,1.0377722004933474,0.0
B136,LIVE,0.80,W,W,False,D,W,True,1.088148136647943,1.0450409931615507,0.0
B136,LIVE,none,W,M,True,D,D,False,1.0973256635620148,1.0563018382883755,0.01386257512634681
B136,INC,0.45,M,M,False,M,M,False,1.0800471828714284,1.054390166346523,0.0
B136,INC,0.60,M,M,False,M,M,False,1.0814800056228926,1.0575725362774555,0.0
B136,INC,0.80,M,M,False,M,M,False,1.1068316344031206,1.083504606209773,0.0
B136,INC,none,M,M,False,M,M,False,1.1425880488427438,1.1199378496543604,0.0
SMALL,LIVE,0.45,M,M,False,M,M,False,0.612305732371842,0.5536139319740028,0.0
SMALL,LIVE,0.60,M,M,False,M,M,False,0.6281528090812097,0.5815062736705434,0.0
SMALL,LIVE,0.80,M,M,False,M,M,False,0.6547418389974765,0.6145000254470857,0.0
SMALL,LIVE,none,M,M,False,M,M,False,0.7258570971251157,0.691157552180102,0.0
SMALL,INC,0.45,W,W,False,W,W,False,0.49976154969338776,0.46373033250019263,0.0
SMALL,INC,0.60,W,W,False,W,W,False,0.5091735910765686,0.4741714492467488,0.0
SMALL,INC,0.80,M,M,False,Q,Q,False,0.6006081574937218,0.5754856279541635,0.0
SMALL,INC,none,M,M,False,Q,Q,False,0.6549833419728073,0.6320702096637629,0.0
