panel,gross,cost_bps,pick_theta,IS_gap,OOS_gap,IS_in,OOS_in,same_sign
U56,0.75,0.0,0.2,-0.6330998749160464,-0.126554555666594,-0.6295233233783134,-0.11836650765455843,True
U56,0.75,10.0,0.2,-0.6331776086713753,-0.12576786777637625,-0.6309599371349449,-0.1191634534779532,True
U56,0.75,25.0,0.2,-0.6332942093043684,-0.1245878359410496,-0.633114857769892,-0.12035887221304532,True
U56,0.75,50.0,0.2,-0.6334885436926905,-0.12262111621550524,-0.6367063921614704,-0.12235123677153224,True
U56,1.0,0.0,0.2,-0.6336664222416004,-0.12712869451942246,-0.6295233233783134,-0.11836650765455843,True
U56,1.0,10.0,0.2,-0.6343885206633074,-0.12707223799577444,-0.6309599371349449,-0.1191634534779532,True
U56,1.0,25.0,0.2,-0.6354716682958677,-0.1269875532103024,-0.633114857769892,-0.12035887221304532,True
U56,1.0,50.0,0.2,-0.6372769143501348,-0.12684641190118234,-0.6367063921614704,-0.12235123677153224,True
B136,0.75,0.0,0.2,-0.7931726368401821,-0.24317007620403105,-0.8058261788916353,-0.2462689375070555,True
B136,0.75,10.0,0.2,-0.7915768469723362,-0.2446631353220714,-0.8075059275337747,-0.25093999721505217,True
B136,0.75,25.0,0.2,-0.7891831621705673,-0.24690272399913188,-0.8100255504969837,-0.2579465867770471,True
B136,0.75,50.0,0.2,-0.7851936875009526,-0.25063537179423256,-0.8142249221023323,-0.2696242360470386,True
B136,1.0,0.0,0.2,-0.792257750657026,-0.2627545732183986,-0.8058261788916353,-0.26516068706702073,True
B136,1.0,10.0,0.2,-0.7902450667775746,-0.26254660134309865,-0.8075059275337747,-0.2687677136208073,True
B136,1.0,25.0,0.2,-0.7872260409583973,-0.2622346435301488,-0.8100255504969837,-0.27417825345148733,True
B136,1.0,50.0,0.2,-0.7821943312597691,-0.26171471384189904,-0.8142249221023323,-0.283195819835954,True
