split,seed,gross,freq,IS_zero,OOS_zero,n_IS,n_OOS
DATE,-1,0.5,W,0.84805982225866,0.8325063730722956,373239.0,958329.0
DATE,-1,0.5,M,0.8591813824385983,0.8498991473700577,373239.0,958329.0
DATE,-1,0.75,W,0.8469666889044285,0.8328382006596899,373239.0,958329.0
DATE,-1,0.75,M,0.8561002467587793,0.8475127017965647,373239.0,958329.0
DATE,-1,1.0,W,0.8418010979560013,0.8308159306459473,373239.0,958329.0
DATE,-1,1.0,M,0.8523439404778171,0.8444719923950961,373239.0,958329.0
FILE,0,1.0,W,0.8519664912568319,0.8002625664473599,,
FILE,1,1.0,W,0.8371273626791831,0.8309869201972242,,
FILE,2,1.0,W,0.8456194896182392,0.8206248088798236,,
FILE,3,1.0,W,0.848561952703057,0.8142222644216568,,
FILE,4,1.0,W,0.83365980471796,0.8342479924749494,,
FILE,5,1.0,W,0.8395257068607567,0.8289041039611604,,
FILE,6,1.0,W,0.8301520825782897,0.8386489094374491,,
FILE,7,1.0,W,0.8438490960109014,0.822637457250903,,
FILE,8,1.0,W,0.819423546149256,0.8480581911123329,,
FILE,9,1.0,W,0.8447003230902802,0.8218252466699948,,
FILE,10,1.0,W,0.8444091889497016,0.8201749678902418,,
FILE,11,1.0,W,0.8208796842983445,0.8433348579098963,,
FILE,12,1.0,W,0.830836554795143,0.8374446101250501,,
FILE,13,1.0,W,0.8406912841309341,0.8290626955582027,,
FILE,14,1.0,W,0.8192549281732394,0.8412269579085586,,
FILE,15,1.0,W,0.8334261324051561,0.8344385678754528,,
FILE,16,1.0,W,0.8407354517596525,0.8238544012306209,,
FILE,17,1.0,W,0.8174520695721914,0.852576545590467,,
FILE,18,1.0,W,0.8422773948005705,0.8249018878322232,,
FILE,19,1.0,W,0.8366615073286658,0.8303474400507362,,
