script,worst,committed,today
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.py,0.015503875968992262,RULES v2 baseline (live)          9.53%        1.29     -12.05%,RULES v2 baseline (live)          9.45%        1.27     -12.05%
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.py,0.010000000000000009,SPY buy-and-hold                 15.45%        0.88     -33.72%,SPY buy-and-hold                 15.24%        0.87     -33.72%
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,0.013000000000000012,SPY      15.23% / 0.889 / -33.72%  halves 0.957/0.834  OOS 0.882,SPY      15.11% / 0.883 / -33.72%  halves 0.960/0.821  OOS 0.872
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,0.015952980688497168,RULES v2 8.66% / 1.206 / -12.05%  halves 1.226/1.191  OOS 1.285,RULES v2 8.61% / 1.200 / -12.05%  halves 1.235/1.172  OOS 1.275
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,0.010000000000000009,OOS bars: SPY 15.45%/0.882/-33.72%   RULES v2 9.53%/1.285/-12.05%,OOS bars: SPY 15.24%/0.872/-33.72%   RULES v2 9.45%/1.275/-12.05%
2026-09-07_two-same-day-runs-disagree-on-D3_B.py,0.020100502512562814,"HEADLINE (N=40, tau=0.90): 2 distinct picks over 12 seeds, modal pick chosen 67% of the time; OOS Sharpe 1.175","HEADLINE (N=40, tau=0.90): 2 distinct picks over 12 seeds, modal pick chosen 67% of the time; OOS Sharpe 1.169"
2026-09-08_why-the-035-045-share-window-dips_B.py,0.00990000000000002,U56        SPY              -    15.45%      0.8820    -33.72%,U56        SPY              -    15.24%      0.8721    -33.72%
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,0.013000000000000012,SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45%,SPY CAGR 15.11% Sharpe 0.883 MaxDD -33.72% H1/H2 0.960/0.821 | OOS Sharpe 0.872 CAGR 15.24%
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,0.015952980688497168,"RULES v2 (live, weekly, 10 bps) CAGR 8.66% Sharpe 1.206 MaxDD -12.05% H1/H2 1.226/1.191 | OOS Sharpe 1.285","RULES v2 (live, weekly, 10 bps) CAGR 8.61% Sharpe 1.200 MaxDD -12.05% H1/H2 1.235/1.172 | OOS Sharpe 1.275"
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,0.010000000000000009,U56: SPY OOS 0.882 | RULES v2 OOS 1.285,U56: SPY OOS 0.872 | RULES v2 OOS 1.275
2026-09-07_does-the-B136-drawdown-cap-admit-any-top-n-book_C.py,0.007300000000000001,IS pick vs anchor OOS +0.0000 | vs SPY +0.2487 | vs RULES v2 -0.1544,IS pick vs anchor OOS +0.0000 | vs SPY +0.2555 | vs RULES v2 -0.1471
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,0.0033547113961520172,live RULES v2 band      0.03     7.49%      1.0135    -13.68%,live RULES v2 band      0.03     7.46%      1.0101    -13.68%
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,0.00990000000000002,U56        SPY buy-and-hold          15.45%      0.8822    -33.72%,U56        SPY buy-and-hold          15.24%      0.8723    -33.72%
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,0.008091496148759189,U56        RULES v2 (live) @10bps     9.53%      1.2853    -12.05%,U56        RULES v2 (live) @10bps     9.45%      1.2749    -12.05%
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.20149833518312987,SPY        ALL     +0.0387  +0.9575 +180.20   0.796  +29.48,SPY        ALL     +0.0526  +0.8663 +143.89   0.628  +31.22
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.20100417465869344,SPY        LIVE    +0.0388  +0.9496 +177.26   0.797  +28.67,SPY        LIVE    +0.0527  +0.8620 +141.63   0.627  +30.45
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.6543909348441926,SPY        ALL    5151  3177 |    88.7%     91.6% |              73.6%     82.2% |  +0.994  +0.891,SPY        ALL    6990  5256 |    89.2%     88.6% |              75.6%     81.6% |  +0.975  +0.783
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.7325826882477129,SPY        LIVE   5151  2842 |    88.7%     91.2% |              73.6%     82.2% |  +0.979  +0.898,SPY        LIVE   6987  4924 |    89.2%     88.0% |              75.6%     81.4% |  +0.964  +0.785
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.010000000000000009,SPY              CAGR  15.23% Sharpe  0.889 MaxDD -33.72% | OOS CAGR  15.45% Sharpe  0.882 MaxDD -33.72%,SPY              CAGR  15.11% Sharpe  0.883 MaxDD -33.72% | OOS CAGR  15.24% Sharpe  0.872 MaxDD -33.72%
2026-09-08_the-pool-mean-as-a-leaderboard-column_cloud.py,0.007782101167315182,RULES v2 (live)  CAGR   8.66% Sharpe  1.206 MaxDD -12.05% | OOS CAGR   9.53% Sharpe  1.285 MaxDD -12.05%,RULES v2 (live)  CAGR   8.61% Sharpe  1.200 MaxDD -12.05% | OOS CAGR   9.45% Sharpe  1.275 MaxDD -12.05%
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.013000000000000012,SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45%,SPY CAGR 15.11% Sharpe 0.883 MaxDD -33.72% H1/H2 0.960/0.821 | OOS Sharpe 0.872 CAGR 15.24%
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.015952980688497168,"RULES v2 (live, weekly, 10 bps) CAGR 8.66% Sharpe 1.206 MaxDD -12.05% H1/H2 1.226/1.191 | OOS 1.285","RULES v2 (live, weekly, 10 bps) CAGR 8.61% Sharpe 1.200 MaxDD -12.05% H1/H2 1.235/1.172 | OOS 1.275"
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.006000000000000005,residual arm SPY : CAGR  15.23% Sharpe   0.889 MaxDD -33.72%,residual arm SPY : CAGR  15.11% Sharpe   0.883 MaxDD -33.72%
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0040000000000000036,U56  SPY  10     0.5968     0.7158         0.1190           0.5968           0.7158      0.5269            Tru,U56  SPY  10     0.5945     0.7156         0.1211           0.5945           0.7156      0.5229            Tru
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0040000000000000036,U56  SPY  20     0.5780     0.6938         0.1158           0.5780           0.6938      0.5269            Tru,U56  SPY  20     0.5749     0.6916         0.1166           0.5749           0.6916      0.5229            Tru
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0040000000000000036,U56  SPY  40     0.5465     0.6354         0.0889           0.5465           0.6354      0.5269            Tru,U56  SPY  40     0.5428     0.6316         0.0888           0.5428           0.6316      0.5229            Tru
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0040000000000000036,U56  SPY  80     0.5480     0.6419         0.0940           0.5480           0.6419      0.5269            Tru,U56  SPY  80     0.5442     0.6380         0.0938           0.5442           0.6380      0.5229            Tru
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0040000000000000036,U56  SPY ALL     0.5480     0.6419         0.0940           0.5480           0.6419      0.5269            Tru,U56  SPY ALL     0.5442     0.6380         0.0938           0.5442           0.6380      0.5229            Tru
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.0008000000000000229,SPY  0.8844   0.9925,SPY  0.8844   0.9917
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.07329682365826944,U56  SPY  10 -2.2825  1.1233      True   3.4057          False                         0 0.8844   0.9970,U56  SPY  10 -2.1152  1.1233      True   3.2385          False                         0 0.8844   0.9974
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.042551157008988316,U56  SPY  20 -2.0916  1.1843      True   3.2759          False                         0 0.9175   0.9989,U56  SPY  20 -2.0026  1.1843      True   3.1869          False                         0 0.9175   0.9990
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.055376176092768105,U56  SPY  40  6.7461  0.9855     False  -5.7606          False                         0 0.9464   0.9925,U56  SPY  40  7.0651  0.9855     False  -6.0796          False                         0 0.9464   0.9917
2026-09-07_does-the-CALMAR-RAY-survive-a-NON-CASH-de-gross_cloud.py,0.03859922178988328,U56  SPY  80  4.7787  0.9237     False  -3.8550          False                         0 0.9527   0.9963,U56  SPY  80  4.9276  0.9237     False  -4.0038          False                         0 0.9527   0.9960
