panel,window,n,g_min,g_min_status,g_max,g_max_status,W,n_pass,pass_lo,pass_hi,contiguous,cagr_floor,dd_cap
BSTK100,FULL,5,0.4663645862070116,interp,0.6817633894366127,interp,0.21539880322960114,0,,,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,10,0.5461943474187266,interp,0.671519128665478,interp,0.1253247812467514,0,,,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,15,0.5358767246542905,interp,0.7151938457001481,interp,0.17931712104585762,4,0.55,0.7,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,20,0.5693106355262355,interp,0.7432593004755785,interp,0.17394866494934302,3,0.6,0.7,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,25,0.6116961579156789,interp,0.7401071451148662,interp,0.1284109871991873,0,,,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,30,0.6176262196196229,interp,0.7855066372551409,interp,0.16788041763551798,3,0.65,0.75,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,40,0.6448036893664898,interp,0.7980978395245385,interp,0.1532941501580487,3,0.65,0.75,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,50,0.674704915034542,interp,0.8144829217028503,interp,0.1397780066683083,3,0.7,0.8,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,60,0.6875959567084183,interp,0.8972673583583743,interp,0.209671401649956,4,0.7,0.85,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,75,0.7716194760234522,interp,0.9997944086747667,interp,0.2281749326513145,4,0.8,0.95,True,0.10586020506004694,-0.20229571984435812
BSTK100,FULL,100,,none,1.0,right-censored,,0,,,True,0.10586020506004694,-0.20229571984435812
BSTK100,IS,5,0.431798582806013,interp,0.4434277152450601,interp,0.011629132439047063,0,,,True,0.10471833401393035,-0.13235017257609064
BSTK100,IS,10,0.4642101230764551,interp,0.6730365243055921,interp,0.20882640122913704,4,0.5,0.65,True,0.10471833401393035,-0.13235017257609064
