egrid,panel,bar,cost,frac_L4_const,frac_4b_const,pass4b_rate,L4_bind_share
END_Q,U56,REC_FULL,0.0,0.84,0.68,0.7775,0.04
END_Q,U56,REC_FULL,10.0,0.84,0.56,0.73,0.04
END_Q,U56,REC_FULL,25.0,0.84,0.4,0.6125,0.04
END_Q,U56,WIN,0.0,0.4,0.28,0.6725,0.12
END_Q,U56,WIN,10.0,0.4,0.32,0.605,0.145
END_Q,U56,WIN,25.0,0.28,0.32,0.5,0.165
END_Q,B136,REC_FULL,0.0,0.9,0.65,0.696875,0.025
END_Q,B136,REC_FULL,10.0,0.9,0.35,0.6,0.025
END_Q,B136,REC_FULL,25.0,0.9,0.4,0.30625,0.025
END_Q,B136,WIN,0.0,0.5,0.35,0.540625,0.146875
END_Q,B136,WIN,10.0,0.45,0.25,0.4375,0.2
END_Q,B136,WIN,25.0,0.5,0.5,0.165625,0.325
END_Q,BOTH,REC_FULL,0.0,0.8666666666666667,0.6666666666666666,0.7416666666666667,0.03333333333333333
END_Q,BOTH,REC_FULL,10.0,0.8666666666666667,0.4666666666666667,0.6722222222222223,0.03333333333333333
END_Q,BOTH,REC_FULL,25.0,0.8666666666666667,0.4,0.47638888888888886,0.03333333333333333
END_Q,BOTH,WIN,0.0,0.4444444444444444,0.3111111111111111,0.6138888888888889,0.13194444444444445
END_Q,BOTH,WIN,10.0,0.4222222222222222,0.28888888888888886,0.5305555555555556,0.16944444444444445
END_Q,BOTH,WIN,25.0,0.37777777777777777,0.4,0.35138888888888886,0.2361111111111111
END_Y,U56,REC_FULL,0.0,0.84,0.68,0.76,0.04
END_Y,U56,REC_FULL,10.0,0.84,0.56,0.69,0.04
END_Y,U56,REC_FULL,25.0,0.84,0.56,0.58,0.04
END_Y,U56,WIN,0.0,0.44,0.44,0.66,0.14
END_Y,U56,WIN,10.0,0.4,0.4,0.6,0.16
END_Y,U56,WIN,25.0,0.4,0.32,0.49,0.17
END_Y,B136,REC_FULL,0.0,0.9,0.65,0.65,0.025
END_Y,B136,REC_FULL,10.0,0.9,0.45,0.4875,0.025
END_Y,B136,REC_FULL,25.0,0.9,0.55,0.2,0.025
END_Y,B136,WIN,0.0,0.5,0.35,0.5375,0.15
END_Y,B136,WIN,10.0,0.45,0.3,0.4125,0.2
END_Y,B136,WIN,25.0,0.5,0.55,0.15,0.3125
END_Y,BOTH,REC_FULL,0.0,0.8666666666666667,0.6666666666666666,0.7111111111111111,0.03333333333333333
END_Y,BOTH,REC_FULL,10.0,0.8666666666666667,0.5111111111111111,0.6,0.03333333333333333
END_Y,BOTH,REC_FULL,25.0,0.8666666666666667,0.5555555555555556,0.4111111111111111,0.03333333333333333
END_Y,BOTH,WIN,0.0,0.4666666666666667,0.4,0.6055555555555555,0.14444444444444443
END_Y,BOTH,WIN,10.0,0.4222222222222222,0.35555555555555557,0.5166666666666667,0.17777777777777778
END_Y,BOTH,WIN,25.0,0.4444444444444444,0.4222222222222222,0.3388888888888889,0.23333333333333334
