k,draw,n_in_U56,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,first_fail_4b,n_fail_4b
55,0,24,0.12036,0.989583,-0.200874,1.161267,0.843379,1.041027,0.119182,0.951617,-0.200874,True,-,0
55,1,18,0.109494,0.992625,-0.184162,1.068742,0.922507,0.962913,0.112993,1.016714,-0.184162,True,-,0
55,2,24,0.105135,0.929292,-0.190609,1.04808,0.821757,0.920421,0.107927,0.936474,-0.190609,False,H2,2
55,3,21,0.11398,0.959565,-0.188459,1.025405,0.903869,0.929061,0.120413,0.983852,-0.188459,True,-,0
55,4,26,0.12927,1.019965,-0.195625,1.170619,0.895865,1.066964,0.130149,0.987168,-0.195625,True,-,0
55,5,22,0.126205,1.001986,-0.204476,1.108765,0.909866,1.031388,0.12696,0.980322,-0.204476,False,DD,1
55,6,19,0.132671,1.076378,-0.195387,1.256079,0.916983,1.099026,0.133596,1.059284,-0.195387,True,-,0
55,7,21,0.145059,1.10823,-0.206389,1.176775,1.052658,1.111768,0.149762,1.106737,-0.206389,False,DD,1
55,8,22,0.168724,1.177727,-0.206456,1.274409,1.105069,1.185704,0.178253,1.176139,-0.206456,False,DD,1
55,9,20,0.122507,0.964754,-0.185546,1.077645,0.87402,0.930973,0.132949,0.992248,-0.185546,True,-,0
55,10,24,0.121276,0.989719,-0.195488,1.013262,0.975651,0.92806,0.134112,1.037698,-0.195488,True,-,0
55,11,19,0.123203,0.992173,-0.195715,1.084398,0.909906,1.006563,0.124211,0.981153,-0.195715,True,-,0
55,12,26,0.13322,1.038681,-0.194426,1.176317,0.921988,1.061536,0.13589,1.02289,-0.194426,True,-,0
55,13,18,0.109924,0.905823,-0.198417,0.908602,0.906991,0.828359,0.122419,0.965872,-0.198417,False,H1,1
55,14,25,0.119662,0.965802,-0.182824,1.097793,0.855226,0.958466,0.125673,0.973033,-0.182824,True,-,0
55,15,22,0.10556,0.905744,-0.18969,0.989561,0.828458,0.898139,0.107336,0.911795,-0.18969,False,H2,2
55,16,20,0.135481,1.046052,-0.209467,1.09887,1.01318,0.989331,0.152002,1.091394,-0.209467,False,DD,1
55,17,18,0.119661,0.987849,-0.203198,1.02311,0.962563,0.909663,0.13337,1.048243,-0.203198,False,DD,1
55,18,21,0.128203,1.096576,-0.180852,1.243086,0.961057,1.123427,0.126348,1.074665,-0.180852,True,-,0
55,19,23,0.129475,1.02817,-0.198489,1.144132,0.941284,1.054772,0.135535,1.013872,-0.198489,True,-,0
55,20,25,0.133437,1.079983,-0.197455,1.194508,0.97705,1.118376,0.131021,1.049329,-0.197455,True,-,0
55,21,28,0.13108,1.028071,-0.197661,1.15302,0.924868,1.044816,0.134889,1.017322,-0.197661,True,-,0
55,22,18,0.124325,1.002804,-0.209314,1.0862,0.926644,0.975722,0.128344,1.024645,-0.209314,False,DD,1
