tau,claimset,n_claims,n_monotone,n_changes_S_BOTH,share_changes
0.5,C_SHARPE,12,9,12,1.0
0.5,C_CAGR,12,10,12,1.0
0.5,C_MAXDD,12,5,12,1.0
0.5,C_TENT,12,3,8,0.6666666666666666
0.6,C_SHARPE,12,8,12,1.0
0.6,C_CAGR,12,10,12,1.0
0.6,C_MAXDD,12,5,12,1.0
0.6,C_TENT,12,2,7,0.5833333333333334
0.7,C_SHARPE,12,7,12,1.0
0.7,C_CAGR,12,9,12,1.0
0.7,C_MAXDD,12,4,12,1.0
0.7,C_TENT,12,1,7,0.5833333333333334
0.8,C_SHARPE,12,4,12,1.0
0.8,C_CAGR,12,9,12,1.0
0.8,C_MAXDD,12,4,12,1.0
0.8,C_TENT,12,1,7,0.5833333333333334
0.9,C_SHARPE,12,4,12,1.0
0.9,C_CAGR,12,7,12,1.0
0.9,C_MAXDD,12,4,12,1.0
0.9,C_TENT,12,1,7,0.5833333333333334
0.95,C_SHARPE,12,3,12,1.0
0.95,C_CAGR,12,4,12,1.0
0.95,C_MAXDD,12,3,12,1.0
0.95,C_TENT,12,0,7,0.5833333333333334
0.99,C_SHARPE,12,3,12,1.0
0.99,C_CAGR,12,3,12,1.0
0.99,C_MAXDD,12,3,12,1.0
0.99,C_TENT,12,0,7,0.5833333333333334
