panel,set,days,is_days,oos_days,first,last
U56,E5,564,230,334,2011-07-01,2022-10-31
U56,E3,356,85,271,2011-07-01,2022-10-31
U56,E5W,775,317,458,2011-06-01,2022-11-30
U56,BEAR10,527,138,389,2009-02-19,2025-04-24
B136,E5,564,230,334,2011-07-01,2022-10-31
B136,E3,356,85,271,2011-07-01,2022-10-31
B136,E5W,775,317,458,2011-06-01,2022-11-30
B136,BEAR10,527,138,389,2009-02-19,2025-04-24
SMALL,E5,564,230,334,2011-07-01,2022-10-31
SMALL,E3,356,85,271,2011-07-01,2022-10-31
SMALL,E5W,775,317,458,2011-06-01,2022-11-30
SMALL,BEAR10,465,76,389,2011-08-04,2025-04-24
