ticker,year,day,action,kind,scheme,d,seed
PLTR,2009,2009-07-14,DROP,RANDOM,SHRINK,0.05,1
XLV,2009,2009-11-25,DROP,RANDOM,SHRINK,0.05,1
TIP,2010,2010-10-28,DROP,RANDOM,SHRINK,0.05,1
XOM,2010,2010-06-18,DROP,RANDOM,SHRINK,0.05,1
QQQ,2011,2011-04-18,DROP,RANDOM,SHRINK,0.05,1
META,2011,2011-11-22,DROP,RANDOM,SHRINK,0.05,1
HYG,2012,2012-03-26,DROP,RANDOM,SHRINK,0.05,1
KRE,2012,2012-07-06,DROP,RANDOM,SHRINK,0.05,1
TLT,2013,2013-04-30,DROP,RANDOM,SHRINK,0.05,1
TSLA,2013,2013-02-28,DROP,RANDOM,SHRINK,0.05,1
XLU,2014,2014-02-20,DROP,RANDOM,SHRINK,0.05,1
NFLX,2014,2014-03-06,DROP,RANDOM,SHRINK,0.05,1
SLV,2015,2015-01-27,DROP,RANDOM,SHRINK,0.05,1
UNH,2015,2015-02-02,DROP,RANDOM,SHRINK,0.05,1
UUP,2016,2016-08-31,DROP,RANDOM,SHRINK,0.05,1
EFA,2016,2016-11-04,DROP,RANDOM,SHRINK,0.05,1
GDX,2017,2017-10-20,DROP,RANDOM,SHRINK,0.05,1
UNG,2018,2018-05-21,DROP,RANDOM,SHRINK,0.05,1
RSP,2019,2019-09-26,DROP,RANDOM,SHRINK,0.05,1
AMD,2020,2020-08-13,DROP,RANDOM,SHRINK,0.05,1
JPM,2021,2021-11-17,DROP,RANDOM,SHRINK,0.05,1
V,2022,2022-04-01,DROP,RANDOM,SHRINK,0.05,1
XLF,2023,2023-09-12,DROP,RANDOM,SHRINK,0.05,1
GOOGL,2024,2024-07-02,DROP,RANDOM,SHRINK,0.05,1
BRK-B,2025,2025-11-26,DROP,RANDOM,SHRINK,0.05,1
XLRE,2026,2026-02-11,DROP,RANDOM,SHRINK,0.05,1
LLY,2009,2009-02-17,DROP,RANDOM,SHRINK,0.05,2
AMZN,2009,2009-01-07,DROP,RANDOM,SHRINK,0.05,2
XLK,2010,2010-10-01,DROP,RANDOM,SHRINK,0.05,2
GDX,2010,2010-09-27,DROP,RANDOM,SHRINK,0.05,2
KRE,2011,2011-08-16,DROP,RANDOM,SHRINK,0.05,2
ITB,2011,2011-01-13,DROP,RANDOM,SHRINK,0.05,2
EFA,2012,2012-03-29,DROP,RANDOM,SHRINK,0.05,2
XLE,2012,2012-05-03,DROP,RANDOM,SHRINK,0.05,2
META,2013,2013-07-23,DROP,RANDOM,SHRINK,0.05,2
UNG,2013,2013-05-30,DROP,RANDOM,SHRINK,0.05,2
UNH,2014,2014-07-31,DROP,RANDOM,SHRINK,0.05,2
EEM,2014,2014-03-19,DROP,RANDOM,SHRINK,0.05,2
GLD,2015,2015-09-02,DROP,RANDOM,SHRINK,0.05,2
XLRE,2015,2015-02-11,DROP,RANDOM,SHRINK,0.05,2
SLV,2016,2016-02-09,DROP,RANDOM,SHRINK,0.05,2
COST,2016,2016-02-03,DROP,RANDOM,SHRINK,0.05,2
AMD,2017,2017-02-22,DROP,RANDOM,SHRINK,0.05,2
BRK-B,2018,2018-11-02,DROP,RANDOM,SHRINK,0.05,2
IWM,2019,2019-06-10,DROP,RANDOM,SHRINK,0.05,2
XLI,2020,2020-05-12,DROP,RANDOM,SHRINK,0.05,2
NFLX,2021,2021-07-22,DROP,RANDOM,SHRINK,0.05,2
TSLA,2022,2022-10-13,DROP,RANDOM,SHRINK,0.05,2
PLTR,2023,2023-01-19,DROP,RANDOM,SHRINK,0.05,2
XLF,2024,2024-09-27,DROP,RANDOM,SHRINK,0.05,2
TIP,2025,2025-06-05,DROP,RANDOM,SHRINK,0.05,2
SMH,2026,2026-09-15,DROP,RANDOM,SHRINK,0.05,2
XLC,2009,2009-07-24,DROP,RANDOM,SHRINK,0.05,3
XLP,2009,2009-09-09,DROP,RANDOM,SHRINK,0.05,3
JPM,2010,2010-06-14,DROP,RANDOM,SHRINK,0.05,3
UNH,2010,2010-02-16,DROP,RANDOM,SHRINK,0.05,3
XBI,2011,2011-09-12,DROP,RANDOM,SHRINK,0.05,3
HYG,2011,2011-02-23,DROP,RANDOM,SHRINK,0.05,3
LQD,2012,2012-03-29,DROP,RANDOM,SHRINK,0.05,3
USO,2012,2012-06-05,DROP,RANDOM,SHRINK,0.05,3
QQQ,2013,2013-11-18,DROP,RANDOM,SHRINK,0.05,3
NFLX,2013,2013-05-20,DROP,RANDOM,SHRINK,0.05,3
ITB,2014,2014-03-27,DROP,RANDOM,SHRINK,0.05,3
GOOGL,2014,2014-08-06,DROP,RANDOM,SHRINK,0.05,3
CRM,2015,2015-05-13,DROP,RANDOM,SHRINK,0.05,3
AAPL,2015,2015-05-21,DROP,RANDOM,SHRINK,0.05,3
BRK-B,2016,2016-07-06,DROP,RANDOM,SHRINK,0.05,3
DIA,2016,2016-11-03,DROP,RANDOM,SHRINK,0.05,3
XLV,2017,2017-03-06,DROP,RANDOM,SHRINK,0.05,3
TLT,2018,2018-10-09,DROP,RANDOM,SHRINK,0.05,3
ORCL,2019,2019-01-24,DROP,RANDOM,SHRINK,0.05,3
AVGO,2020,2020-05-19,DROP,RANDOM,SHRINK,0.05,3
LLY,2021,2021-06-07,DROP,RANDOM,SHRINK,0.05,3
PLTR,2022,2022-03-17,DROP,RANDOM,SHRINK,0.05,3
AMD,2023,2023-04-26,DROP,RANDOM,SHRINK,0.05,3
TSLA,2024,2024-02-15,DROP,RANDOM,SHRINK,0.05,3
EFA,2025,2025-01-07,DROP,RANDOM,SHRINK,0.05,3
DBC,2026,2026-05-19,DROP,RANDOM,SHRINK,0.05,3
LLY,2009,2009-04-29,DROP,RANDOM,SHRINK,0.05,4
XOM,2009,2009-03-19,DROP,RANDOM,SHRINK,0.05,4
