item,x_levels,grid_points,mean_n,min_n,max_n,count_imbalance,composition_match,align_cells,align_centres,aligned,bal_tol_0.00,bal_tol_0.05,bal_tol_0.10,bal_tol_0.25
219,242,33,2.3801652892561984,1,100,41.013888888888886,0.02066115702479339,0.29464285714285715,0.3333333333333333,False,False,False,False,False
167,10,10,12.0,12,12,0.0,1.0,1.0,1.0,True,True,True,True,True
159B,10,10,12.0,12,12,0.0,1.0,1.0,1.0,True,True,True,True,True
159c,14,14,3.0,3,3,0.0,1.0,1.0,1.0,True,True,True,True,True
168B,9,9,54.0,54,54,0.0,1.0,1.0,1.0,True,True,True,True,True
168c,11,11,32.0,32,32,0.0,1.0,1.0,1.0,True,True,True,True,True
103,192,25,6.0,6,6,0.0,0.16666666666666666,0.010416666666666666,0.08,False,False,False,False,False
61,48,25,8.5,8,16,0.8823529411764706,0.3125,0.058823529411764705,0.08,False,False,False,False,False
277,8,8,42.0,42,42,0.0,1.0,1.0,1.0,True,True,True,True,True
bandgate,7,7,24.0,24,24,0.0,1.0,1.0,1.0,True,True,True,True,True
440grid,11,11,48.0,48,48,0.0,1.0,1.0,1.0,True,True,True,True,True
