panel,family,state,side,q,w,depth,cadence,gross,kind,rate,nswitch_real,sw_ratio,nruns,mean_runlen,degenerate,same_multiset,sd_runlen_ratio,excess_0bps,excess_10bps,excess_25bps,share_pos_0bps,share_pos_10bps,share_pos_25bps,excess_IS,excess_OOS
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,0.75,RAND,0.11093609360936094,116,7.594827586206897,58,8.5,False,0.0,0.03675084704943138,0.07885745214411854,0.16192589903419602,0.28630808776608685,1.0,1.0,1.0,0.11555236246318723,0.2096449820704661
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,0.75,SWITCHMATCH,0.11093609360936094,116,0.9991379310344828,58,8.5,False,0.0,0.8010944991056215,0.10899386061150995,0.10813697547815515,0.1068342896212327,1.0,1.0,1.0,0.05729594282546541,0.14798416612692455
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,0.75,RUNPERM,0.11093609360936094,116,1.0,58,8.5,False,1.0,1.0,0.08932404178310371,0.08861047411133927,0.08751159117306467,1.0,1.0,1.0,0.04818100804232994,0.12863399329998604
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,0.75,BLOCK,0.11093609360936094,116,1.0,58,8.5,False,0.9,0.9990527432844034,0.09028555052390885,0.0896354798495631,0.08863399002168693,1.0,1.0,1.0,0.035886319210617856,0.1421596679891195
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,1.0,RAND,0.11093609360936094,116,7.549137931034482,58,8.5,False,0.0,0.039078667190903374,0.0794217943180221,0.16255455970375154,0.2883321678286929,1.0,1.0,1.0,0.11275914691079736,0.21150369320600715
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,1.0,SWITCHMATCH,0.11093609360936094,116,1.0,58,8.5,False,0.0,0.8309016213333548,0.07873787113632036,0.07805037661607772,0.07698864024600949,1.0,1.0,1.0,0.02804560021937913,0.12241558752056447
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,1.0,RUNPERM,0.11093609360936094,116,1.0,58,8.5,False,1.0,1.0,0.08404555622521648,0.08335281475570477,0.08233260166587547,1.0,1.0,1.0,0.040856076945567754,0.1308276497789146
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,D,1.0,BLOCK,0.11093609360936094,116,0.9991379310344828,58,8.5,False,0.9,0.9983603800398615,0.08972033774171606,0.08874753186179918,0.08725231834474473,1.0,1.0,1.0,0.04303257670613059,0.12830196573135866
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,W,0.75,RAND,0.11566156615661566,56,16.303571428571423,28,18.357142857142858,False,0.0,0.028618698724376678,0.06182243711041702,0.15648307673864148,0.2982006694514462,1.0,1.0,1.0,0.11566830406041761,0.201924388433261
U56,BREADTH-LO,BREADTH,LO,0.07,252,0.25,W,0.75,SWITCHMATCH,0.11566156615661566,56,1.0,28,18.357142857142858,False,0.0,1.3101778582793364,0.06624631928523128,0.06618513887099442,0.06598012904855355,1.0,1.0,1.0,-0.002645479651353644,0.12422537565988057
