claimset,tape,n_claims,n_scorable,unscorable,n_sign,n_mag,n_change,share_change
C_VALUED,T_REALRAND,349,151,unscorable=198,55,54,83,0.5496688741721855
C_VALUED,T_IID,349,150,unscorable=199,26,127,127,0.8466666666666667
C_VALUED,T_BLOCK,349,150,unscorable=199,0,106,106,0.7066666666666667
C_VALUED,T_FACTOR,349,150,unscorable=199,26,10,26,0.17333333333333334
C_SIGNED,T_REALRAND,159,33,unscorable=126,13,0,13,0.3939393939393939
C_SIGNED,T_IID,159,32,unscorable=127,8,0,8,0.25
C_SIGNED,T_BLOCK,159,32,unscorable=127,0,0,0,0.0
C_SIGNED,T_FACTOR,159,32,unscorable=127,8,0,8,0.25
C_ALL,T_REALRAND,508,184,unscorable=324,68,54,96,0.5217391304347826
C_ALL,T_IID,508,182,unscorable=326,34,127,135,0.7417582417582418
C_ALL,T_BLOCK,508,182,unscorable=326,0,106,106,0.5824175824175825
C_ALL,T_FACTOR,508,182,unscorable=326,34,10,34,0.18681318681318682
