construction,claim_set,selector,n,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,n4a,n4b_both
C_1252,CS_ALL,SEL_NEVER_anchor,72,0.8289395434118787,0.11942344816422364,-0.24209986688433494,0,24
C_1252,CS_ALL,SEL_ALWAYS_pick,72,0.8378659300699693,0.12138483754370936,-0.24523104266903006,0,6
C_1252,CS_SHARPE,SEL_NEVER_anchor,24,0.8289395434118787,0.11942344816422364,-0.2420998668843349,0,8
C_1252,CS_SHARPE,SEL_ALWAYS_pick,24,0.8426129516652624,0.13164159738398873,-0.25716568540631773,0,3
C_1252,CS_LARGE,SEL_NEVER_anchor,48,0.9835294386486845,0.13574017582151754,-0.20025002230187458,0,24
C_1252,CS_LARGE,SEL_ALWAYS_pick,48,0.9850030676979212,0.13538630865545634,-0.21223903527861085,0,6
C_1252,CS_NODEG,SEL_NEVER_anchor,54,0.8289395434118788,0.11942344816422368,-0.2420998668843348,0,18
C_1252,CS_NODEG,SEL_ALWAYS_pick,54,0.8408358719398381,0.1250321731495723,-0.25205813954731005,0,4
C_1246,CS_ALL,SEL_NEVER_anchor,72,0.7922475401971669,0.10986686984873222,-0.23630752811038416,0,24
C_1246,CS_ALL,SEL_ALWAYS_pick,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0,6
C_1246,CS_SHARPE,SEL_NEVER_anchor,24,0.792247540197167,0.10986686984873222,-0.23630752811038416,0,8
C_1246,CS_SHARPE,SEL_ALWAYS_pick,24,0.7984870101975817,0.11646287196061385,-0.255522332030533,0,3
C_1246,CS_LARGE,SEL_NEVER_anchor,48,0.9835294386486845,0.13574017582151754,-0.20025002230187458,0,24
C_1246,CS_LARGE,SEL_ALWAYS_pick,48,0.9850030676979212,0.13538630865545634,-0.21223903527861085,0,6
C_1246,CS_NODEG,SEL_NEVER_anchor,54,0.7922475401971673,0.10986686984873219,-0.23630752811038414,0,18
C_1246,CS_NODEG,SEL_ALWAYS_pick,54,0.8046525128547997,0.1136129199120602,-0.25356856231036196,0,4
C_1260,CS_ALL,SEL_NEVER_anchor,72,0.7922475401971669,0.10986686984873222,-0.23630752811038416,0,24
C_1260,CS_ALL,SEL_ALWAYS_pick,72,0.8016998115247317,0.11027396944044654,-0.24546687482085527,0,6
C_1260,CS_SHARPE,SEL_NEVER_anchor,24,0.792247540197167,0.10986686984873222,-0.23630752811038414,0,8
C_1260,CS_SHARPE,SEL_ALWAYS_pick,24,0.7985955872440865,0.11649055749210528,-0.25585537174647716,0,3
C_1260,CS_LARGE,SEL_NEVER_anchor,48,0.9835294386486845,0.13574017582151754,-0.20025002230187458,0,24
C_1260,CS_LARGE,SEL_ALWAYS_pick,48,0.9850030676979212,0.13538630865545634,-0.21223903527861085,0,6
C_1260,CS_NODEG,SEL_NEVER_anchor,54,0.7922475401971673,0.10986686984873219,-0.23630752811038414,0,18
C_1260,CS_NODEG,SEL_ALWAYS_pick,54,0.8047865670086526,0.11364873934898372,-0.25379620257388935,0,4
C_1252_VINTAGE,CS_ALL,SEL_NEVER_anchor,72,0.8267722993734866,0.11909530732367862,-0.24209986688433494,0,24
C_1252_VINTAGE,CS_ALL,SEL_ALWAYS_pick,72,0.8357236911818844,0.12106333273780844,-0.24523104266903006,0,6
C_1252_VINTAGE,CS_SHARPE,SEL_NEVER_anchor,24,0.8267722993734866,0.11909530732367864,-0.2420998668843349,0,8
C_1252_VINTAGE,CS_SHARPE,SEL_ALWAYS_pick,24,0.840306225099044,0.13128188153539758,-0.25716568540631773,0,3
C_1252_VINTAGE,CS_LARGE,SEL_NEVER_anchor,48,0.9802785725910962,0.13524796456070004,-0.20025002230187458,0,24
C_1252_VINTAGE,CS_LARGE,SEL_ALWAYS_pick,48,0.981789709365794,0.13490405144660497,-0.21223903527861085,0,6
C_1252_VINTAGE,CS_NODEG,SEL_NEVER_anchor,54,0.8267722993734866,0.11909530732367866,-0.2420998668843348,0,18
C_1252_VINTAGE,CS_NODEG,SEL_ALWAYS_pick,54,0.8387006373050406,0.12470315950425447,-0.25205813954731005,0,4
