set,est,rung,basis,k,n_books,both_legs_decidable_now,both_legs_decidably_POSITIVE_now,both_legs_by_FULL,both_legs_by_CENTURY,med_maxreq_y
SHELF,BLOCK21,0.0,COMP,1.0,9,1,1,8,9,11.10957391053719
SHELF,BLOCK21,0.0,COMP,2.0,9,0,0,0,9,44.43829564214876
SHELF,BLOCK21,0.0,PAIRED,1.0,9,9,9,9,9,8.821428571428571
SHELF,BLOCK21,0.0,PAIRED,2.0,9,1,1,6,9,14.761473542235514
SHELF,BLOCK21,10.0,COMP,1.0,9,1,1,4,9,19.9451130161531
SHELF,BLOCK21,10.0,COMP,2.0,9,0,0,0,6,79.7804520646124
SHELF,BLOCK21,10.0,PAIRED,1.0,9,6,6,7,9,8.821428571428571
SHELF,BLOCK21,10.0,PAIRED,2.0,9,1,1,3,9,19.115041182733655
SHELF,BLOCK21,25.0,COMP,1.0,9,0,0,3,5,87.16145068554778
SHELF,BLOCK21,25.0,COMP,2.0,9,0,0,0,4,348.6458027421911
SHELF,BLOCK21,25.0,PAIRED,1.0,9,4,4,4,7,22.554710598916913
SHELF,BLOCK21,25.0,PAIRED,2.0,9,1,1,1,5,90.21884239566765
SHELF,BLOCK5,0.0,COMP,1.0,9,1,1,8,9,12.891438276646417
SHELF,BLOCK5,0.0,COMP,2.0,9,0,0,0,9,51.56575310658567
SHELF,BLOCK5,0.0,PAIRED,1.0,9,9,9,9,9,8.821428571428571
SHELF,BLOCK5,0.0,PAIRED,2.0,9,1,1,3,9,18.34664075185441
SHELF,BLOCK5,10.0,COMP,1.0,9,0,0,4,9,22.710227894081207
SHELF,BLOCK5,10.0,COMP,2.0,9,0,0,0,6,90.84091157632483
SHELF,BLOCK5,10.0,PAIRED,1.0,9,6,6,7,9,8.821428571428571
SHELF,BLOCK5,10.0,PAIRED,2.0,9,1,1,1,9,24.456798716767715
SHELF,BLOCK5,25.0,COMP,1.0,9,0,0,2,4,106.85260555368669
SHELF,BLOCK5,25.0,COMP,2.0,9,0,0,0,4,427.41042221474675
SHELF,BLOCK5,25.0,PAIRED,1.0,9,3,3,4,6,28.32112572250619
SHELF,BLOCK5,25.0,PAIRED,2.0,9,0,0,1,4,113.28450289002475
SHELF,IID,0.0,COMP,1.0,9,1,1,7,9,13.290419168331928
SHELF,IID,0.0,COMP,2.0,9,0,0,0,9,53.16167667332771
SHELF,IID,0.0,PAIRED,1.0,9,8,8,9,9,8.821428571428571
SHELF,IID,0.0,PAIRED,2.0,9,1,1,3,9,20.4682872190362
SHELF,IID,10.0,COMP,1.0,9,0,0,4,9,22.560360584532166
SHELF,IID,10.0,COMP,2.0,9,0,0,0,6,90.24144233812866
SHELF,IID,10.0,PAIRED,1.0,9,6,6,7,9,8.821428571428571
SHELF,IID,10.0,PAIRED,2.0,9,1,1,1,8,30.234404131366702
SHELF,IID,25.0,COMP,1.0,9,0,0,1,4,105.4069250110341
SHELF,IID,25.0,COMP,2.0,9,0,0,0,3,421.6277000441364
SHELF,IID,25.0,PAIRED,1.0,9,3,3,4,6,34.753746318403
SHELF,IID,25.0,PAIRED,2.0,9,0,0,1,4,139.014985273612
GRID,BLOCK21,0.0,COMP,1.0,36,1,1,21,34,15.614663505129844
GRID,BLOCK21,0.0,COMP,2.0,36,0,0,0,23,62.458654020519376
GRID,BLOCK21,0.0,PAIRED,1.0,36,29,29,32,35,8.821428571428571
GRID,BLOCK21,0.0,PAIRED,2.0,36,0,0,17,34,19.484038276512898
GRID,BLOCK21,10.0,COMP,1.0,36,0,0,7,30,35.91709611317829
GRID,BLOCK21,10.0,COMP,2.0,36,0,0,0,10,143.66838445271316
GRID,BLOCK21,10.0,PAIRED,1.0,36,14,14,28,32,9.932237730690346
GRID,BLOCK21,10.0,PAIRED,2.0,36,0,0,4,29,39.728950922761385
GRID,BLOCK21,25.0,COMP,1.0,36,0,0,7,13,133.51036864554064
GRID,BLOCK21,25.0,COMP,2.0,36,0,0,0,8,534.0414745821626
GRID,BLOCK21,25.0,PAIRED,1.0,36,7,6,11,25,44.285144090955654
GRID,BLOCK21,25.0,PAIRED,2.0,36,0,0,0,16,177.14057636382262
GRID,BLOCK5,0.0,COMP,1.0,36,0,0,20,34,16.34943935253064
GRID,BLOCK5,0.0,COMP,2.0,36,0,0,0,23,65.39775741012257
GRID,BLOCK5,0.0,PAIRED,1.0,36,22,22,29,34,8.821428571428571
GRID,BLOCK5,0.0,PAIRED,2.0,36,0,0,3,32,26.004703277674253
GRID,BLOCK5,10.0,COMP,1.0,36,0,0,7,30,37.57367747009522
GRID,BLOCK5,10.0,COMP,2.0,36,0,0,0,10,150.29470988038088
GRID,BLOCK5,10.0,PAIRED,1.0,36,9,9,26,32,14.172678765088802
GRID,BLOCK5,10.0,PAIRED,2.0,36,0,0,0,28,56.69071506035521
GRID,BLOCK5,25.0,COMP,1.0,36,0,0,4,13,141.2683280348759
GRID,BLOCK5,25.0,COMP,2.0,36,0,0,0,7,565.0733121395036
GRID,BLOCK5,25.0,PAIRED,1.0,36,7,6,8,21,62.20573064023758
GRID,BLOCK5,25.0,PAIRED,2.0,36,0,0,0,11,248.82292256095033
GRID,IID,0.0,COMP,1.0,36,0,0,17,34,18.47688151968778
GRID,IID,0.0,COMP,2.0,36,0,0,0,23,73.90752607875112
GRID,IID,0.0,PAIRED,1.0,36,19,19,28,34,8.821428571428571
GRID,IID,0.0,PAIRED,2.0,36,0,0,1,31,33.86416594065726
GRID,IID,10.0,COMP,1.0,36,0,0,6,30,42.23191108820352
GRID,IID,10.0,COMP,2.0,36,0,0,0,8,168.92764435281407
GRID,IID,10.0,PAIRED,1.0,36,7,7,21,32,16.946251586920237
GRID,IID,10.0,PAIRED,2.0,36,0,0,0,27,67.78500634768095
GRID,IID,25.0,COMP,1.0,36,0,0,1,13,150.909668485912
GRID,IID,25.0,COMP,2.0,36,0,0,0,7,603.638673943648
GRID,IID,25.0,PAIRED,1.0,36,6,6,7,19,77.68243159959418
GRID,IID,25.0,PAIRED,2.0,36,0,0,0,8,310.7297263983767
ALL,BLOCK21,0.0,COMP,1.0,45,2,2,29,43,13.116275539982288
ALL,BLOCK21,0.0,COMP,2.0,45,0,0,0,32,52.46510215992915
ALL,BLOCK21,0.0,PAIRED,1.0,45,38,38,41,44,8.821428571428571
ALL,BLOCK21,0.0,PAIRED,2.0,45,1,1,23,43,17.59136237583716
ALL,BLOCK21,10.0,COMP,1.0,45,1,1,11,39,29.776406654873902
ALL,BLOCK21,10.0,COMP,2.0,45,0,0,0,16,119.10562661949561
ALL,BLOCK21,10.0,PAIRED,1.0,45,20,20,35,41,9.554054990155871
ALL,BLOCK21,10.0,PAIRED,2.0,45,1,1,7,38,38.216219960623484
ALL,BLOCK21,25.0,COMP,1.0,45,0,0,10,18,125.50111900617462
ALL,BLOCK21,25.0,COMP,2.0,45,0,0,0,12,502.0044760246985
ALL,BLOCK21,25.0,PAIRED,1.0,45,11,10,15,32,27.925373432968343
ALL,BLOCK21,25.0,PAIRED,2.0,45,1,1,1,21,111.70149373187337
ALL,BLOCK5,0.0,COMP,1.0,45,1,1,28,43,15.287913288358887
ALL,BLOCK5,0.0,COMP,2.0,45,0,0,0,32,61.15165315343555
ALL,BLOCK5,0.0,PAIRED,1.0,45,31,31,38,43,8.821428571428571
ALL,BLOCK5,0.0,PAIRED,2.0,45,1,1,6,41,23.73764994712429
ALL,BLOCK5,10.0,COMP,1.0,45,0,0,11,39,33.07335781275273
ALL,BLOCK5,10.0,COMP,2.0,45,0,0,0,16,132.29343125101093
ALL,BLOCK5,10.0,PAIRED,1.0,45,15,15,33,41,12.377629771568552
ALL,BLOCK5,10.0,PAIRED,2.0,45,1,1,1,37,49.51051908627421
ALL,BLOCK5,25.0,COMP,1.0,45,0,0,6,17,132.79368058355254
ALL,BLOCK5,25.0,COMP,2.0,45,0,0,0,11,531.1747223342102
ALL,BLOCK5,25.0,PAIRED,1.0,45,10,9,12,27,41.66946336071653
ALL,BLOCK5,25.0,PAIRED,2.0,45,0,0,1,15,166.6778534428661
ALL,IID,0.0,COMP,1.0,45,1,1,24,43,16.907871879834097
ALL,IID,0.0,COMP,2.0,45,0,0,0,32,67.63148751933639
ALL,IID,0.0,PAIRED,1.0,45,27,27,37,43,8.821428571428571
ALL,IID,0.0,PAIRED,2.0,45,1,1,4,40,30.33070801589061
ALL,IID,10.0,COMP,1.0,45,0,0,10,39,40.647505509509685
ALL,IID,10.0,COMP,2.0,45,0,0,0,14,162.59002203803874
ALL,IID,10.0,PAIRED,1.0,45,13,13,28,41,16.241533800523516
ALL,IID,10.0,PAIRED,2.0,45,1,1,1,35,64.96613520209407
ALL,IID,25.0,COMP,1.0,45,0,0,2,17,131.91736037545118
ALL,IID,25.0,COMP,2.0,45,0,0,0,10,527.6694415018047
ALL,IID,25.0,PAIRED,1.0,45,9,9,11,25,48.58665943468742
ALL,IID,25.0,PAIRED,2.0,45,0,0,1,12,194.34663773874968
