cost_bps,arm,cells,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,picks,pass4a,pass4b
5,MODE,112,0.8851279263176828,0.07602826481224287,-0.16607630770682724,3416,1324,457
5,FIT,112,0.8782405261006184,0.0747807612186339,-0.16403385618103172,3416,1353,424
5,SHRUNK,112,0.8520190548003098,0.07895851057806832,-0.17597941093077113,3416,1091,450
5,INCUMBENT,112,0.7998235529855412,0.07564811921998278,-0.17872251702188605,3416,945,555
5,ORACLE,112,0.9245825478638887,0.07011530647244432,-0.14296371743129122,3416,1601,404
10,MODE,112,0.8588582825212249,0.07329380334211923,-0.16783823518065097,3416,1625,380
10,FIT,112,0.8521546051251679,0.07212099264025847,-0.1664968038320304,3416,1639,360
10,SHRUNK,112,0.8198924391747144,0.07553989082491454,-0.17866329115486934,3416,1378,342
10,INCUMBENT,112,0.7649033926153906,0.07153906777239173,-0.18172484137181175,3416,1428,375
10,ORACLE,112,0.8965561631688205,0.0680526090149326,-0.14609192581861846,3416,1905,313
15,MODE,112,0.83533428541796,0.06998949708579909,-0.16680459657943697,3416,1842,299
15,FIT,112,0.8272679590171922,0.0691958057973052,-0.16765296569957316,3416,1830,269
15,SHRUNK,112,0.7960045347385266,0.07141612159650017,-0.1793974447592944,3416,1665,260
15,INCUMBENT,112,0.7299620369181375,0.06745122515765754,-0.18490365519699312,3416,1717,261
15,ORACLE,112,0.8691364673178984,0.06635331731628329,-0.14967692957128373,3416,2089,237
20,MODE,112,0.8117098769891923,0.06621713991372745,-0.16754656024569212,3416,2133,214
20,FIT,112,0.8014398502880556,0.0660605855950975,-0.16936271687221804,3416,2086,219
20,SHRUNK,112,0.7694684115126028,0.06751981154839688,-0.18123029302254803,3416,1884,193
20,INCUMBENT,112,0.6950030755089696,0.06338445994604222,-0.18833704447824334,3416,1802,165
20,ORACLE,112,0.841978993300547,0.06430683041862877,-0.15309507882614723,3416,2317,178
25,MODE,112,0.7865299605271459,0.0628992260196867,-0.16546860208242745,3416,2381,178
25,FIT,112,0.7772760533646447,0.06294337781257824,-0.17079919911387095,3416,2344,190
25,SHRUNK,112,0.7485403345695073,0.06319164011383721,-0.1812244500808206,3416,2157,156
25,INCUMBENT,112,0.6600301020988777,0.05933864161763599,-0.1920163019445127,3416,1943,87
25,ORACLE,112,0.8150464866221172,0.06191664015374335,-0.15583555234703672,3416,2523,157
