arm,bar,rate_q0,rate_q1,first_q_below_1_0,first_q_below_0_5,first_q_below_0_1,spearman_q,down_steps,up_steps,flat_steps
EWall,H1,1.0,0.0,0.15,0.5,0.85,-0.9814146893238832,12,4,4
EWall,H2,0.65,0.0,0.0,0.05,0.55,-0.9361862047072154,7,3,10
EWall,OOS,0.75,0.0,0.0,0.25,0.55,-0.9429212951528004,8,4,8
EWall,DDcap,0.35,0.0,0.0,0.0,0.55,-0.8646499420520277,5,3,12
EWall,CAGRfloor,0.95,0.0,0.0,0.5,0.75,-0.9817453947010297,9,5,6
EWall,JOINT 4b,0.35,0.0,0.0,0.0,0.4,-0.9197506840216563,6,2,12
top10,H1,0.9,0.0,0.0,0.4,0.85,-0.9661090850033067,11,5,4
top10,H2,0.45,0.0,0.0,0.0,0.3,-0.8799475555533337,10,5,5
top10,OOS,0.6,0.0,0.0,0.05,0.55,-0.9230638575007626,9,6,5
top10,DDcap,0.3,0.0,0.0,0.0,0.45,-0.8541301351662739,10,7,3
top10,CAGRfloor,0.9,0.0,0.0,0.5,0.75,-0.9644288273643596,8,5,7
top10,JOINT 4b,0.1,0.0,0.0,0.0,0.1,-0.7090471455094389,5,4,11
top20,H1,0.95,0.0,0.0,0.55,0.85,-0.9723258948066595,10,5,5
top20,H2,0.8,0.0,0.0,0.3,0.55,-0.9456950603082586,8,3,9
top20,OOS,0.9,0.0,0.0,0.35,0.55,-0.9658080735318633,10,3,7
top20,DDcap,1.0,0.2,0.05,0.85,,-0.930656972266051,11,6,3
top20,CAGRfloor,0.85,0.0,0.0,0.35,0.55,-0.9292265984720344,10,5,5
top20,JOINT 4b,0.7,0.0,0.0,0.2,0.5,-0.9412886307865486,8,3,9
top30,H1,1.0,0.0,0.25,0.55,0.85,-0.9787249437577293,9,4,7
top30,H2,0.8,0.0,0.0,0.2,0.5,-0.9220019127701132,7,5,8
top30,OOS,1.0,0.0,0.05,0.35,0.55,-0.9395994567398045,9,3,8
top30,DDcap,1.0,0.6,0.7,,,-0.7120770017853297,3,2,15
top30,CAGRfloor,0.55,0.0,0.0,0.05,0.2,-0.7944651073447491,4,1,15
top30,JOINT 4b,0.5,0.0,0.0,0.05,0.2,-0.7944651073447491,4,1,15
