cell,cap,rows,panel_vol,rho,OOS_S_mean,OOS_S_sd,breadth
BSTK-LO,LARGE,96,0.1944740724680901,0.8759082918622507,0.5443235314754534,0.2112030563081144,0.7376167311871775
BSTK-HI,LARGE,96,0.3251522079754247,0.7649147351270061,0.9628001490470398,0.136656433004421,0.679627224259712
SMALL-LO,SMALL,96,0.2974260589570043,0.3586072408278919,0.14118489118677005,0.142529005525969,0.5943421454767727
SMALL-HI,SMALL,96,0.548517277095346,0.17691475003962565,0.3147424598420216,0.18562379636869272,0.41789510323281726
