panel,block_L,seeds,n_rungs,full_argmax,P_argmax_equals_full,modal_argmax,P_modal,width90_rungs,width90_set,width90_mass,peak_minus_runnerup_pp,runner_up,collapse_pp,collapse_boot_sd_pp,collapse_sign_agreement,dist
U56,21,40,9,12,0.41,12,0.41,4,5;8;10;12,0.9179999999999999,0.6147480896236512,10,6.406647672996213,1.8147872486562664,1.0,5:0.380;8:0.038;10:0.090;12:0.410;15:0.028;20:0.054;25:0.000;30:0.000;40:0.000
U56,63,40,9,12,0.378,5,0.39,4,5;8;10;12,0.918,0.6147480896236512,10,6.406647672996213,1.7638524967881193,0.999,5:0.390;8:0.055;10:0.095;12:0.378;15:0.014;20:0.068;25:0.000;30:0.000;40:0.000
U56,126,40,9,12,0.393,5,0.397,4,5;8;10;12,0.908,0.6147480896236512,10,6.406647672996213,1.5295161212926782,1.0,5:0.397;8:0.033;10:0.085;12:0.393;15:0.015;20:0.077;25:0.000;30:0.000;40:0.000
U56_2010,21,40,9,8,0.338,5,0.446,4,5;8;10;12,0.906,0.11595544328780694,5,6.208622302395828,2.7116843732822016,0.991,5:0.446;8:0.338;10:0.012;12:0.110;15:0.000;20:0.057;25:0.005;30:0.032;40:0.000
U56_2010,63,40,9,8,0.344,5,0.477,4,5;8;10;12,0.9139999999999999,0.11595544328780694,5,6.208622302395828,2.4875927121108665,0.997,5:0.477;8:0.344;10:0.007;12:0.086;15:0.000;20:0.046;25:0.005;30:0.035;40:0.000
U56_2010,126,40,9,8,0.329,5,0.494,4,5;8;10;12,0.9129999999999999,0.11595544328780694,5,6.208622302395828,2.5890068072826704,0.99,5:0.494;8:0.329;10:0.013;12:0.077;15:0.000;20:0.035;25:0.004;30:0.048;40:0.000
SMALL_F10,21,40,9,20,0.26,20,0.26,7,5;8;10;12;15;20;25,0.9420000000000001,0.4665335539944526,15,1.959540786898406,1.4231038724925735,0.9,5:0.047;8:0.146;10:0.175;12:0.182;15:0.044;20:0.260;25:0.088;30:0.027;40:0.031
SMALL_F10,63,40,9,20,0.224,20,0.224,7,5;8;10;12;15;20;25,0.9219999999999999,0.4665335539944526,15,1.959540786898406,1.4635234530401582,0.892,5:0.055;8:0.119;10:0.201;12:0.209;15:0.035;20:0.224;25:0.079;30:0.028;40:0.050
SMALL_F10,126,40,9,20,0.222,12,0.236,6,8;10;12;15;20;25,0.9079999999999999,0.4665335539944526,15,1.959540786898406,1.424847845749517,0.889,5:0.018;8:0.108;10:0.211;12:0.236;15:0.051;20:0.222;25:0.080;30:0.024;40:0.050
SMALL_RAW,21,40,9,25,0.589,25,0.589,4,12;15;20;25,0.911,0.3139031047609042,15,2.4682410831270984,1.4084157275258367,0.978,5:0.049;8:0.000;10:0.006;12:0.016;15:0.299;20:0.007;25:0.589;30:0.025;40:0.009
SMALL_RAW,63,40,9,25,0.613,25,0.613,3,15;20;25,0.9139999999999999,0.3139031047609042,15,2.4682410831270984,1.3544863207898665,0.98,5:0.050;8:0.001;10:0.005;12:0.006;15:0.294;20:0.007;25:0.613;30:0.013;40:0.011
SMALL_RAW,126,40,9,25,0.609,25,0.609,3,15;20;25,0.944,0.3139031047609042,15,2.4682410831270984,1.3403474298858205,0.982,5:0.026;8:0.000;10:0.002;12:0.010;15:0.330;20:0.005;25:0.609;30:0.010;40:0.008
