file,dial,metric,rung,mode,how,d0,dc,share,maj,flip,uncertain
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0012838912069706894,-0.0020148233011110933,0.3627772687249172,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.00023769823441411654,-0.0006172843178517962,1.3850709106645174,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0013172167709814885,-0.0005504977139624972,3.392774279660722,True,True,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.003335388493789774,-0.006161859382473503,0.45870421787345667,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.001079518536567372,6.678660388929891e-05,15.163698611726252,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0035730867282038905,-0.005544575064621707,0.35557068187196167,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.004652605264771263,-0.005611361668511006,0.1708598483537334,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.009816555838382545,-0.014382955218843696,0.3174868662928551,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.0028059819654440684,-0.000949571410264291,1.954998365697519,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0016033771338032953,0.0016606333943563062,0.03447856748370675,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004409359099247364,0.0026102048046205972,0.6892770603448031,True,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,-0.015218094597000577,-0.020519288495901705,0.2583517406054274,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.004560177891060502,0.004560177891060502,0.0,False,False,True
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.009102370753924602,0.009102370753924602,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.013626646894196404,0.013626646894196404,0.0,False,False,False
2026-09-04_selectability-pre-test_cloud.grid.csv,param,cagr,10,single,estimated,0.0045421928628641,0.0045421928628641,0.0,False,False,True
