panel,book,gross,hold,cost_bps,CAGR,Sharpe,MaxDD,Calmar,H1,H2,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,CAP2,0.75,0,0.0,0.12014999456189313,1.3078729412435244,-0.14765004422980443,0.8137484495086919,1.3431232040383605,1.2841509485625666,1.228739013143088,1.188426875003423,0.13168913356431755,1.3693466954314062,-0.14765004422980454,False,True,True,True,True,True,True
U56,CAP2,0.75,0,10.0,0.1162295339930286,1.2686753146710161,-0.14809080759214643,0.7848531308785468,1.3027641647438848,1.245743566697983,1.1871870518343108,1.105836634098696,0.12773946456006335,1.3318413815124672,-0.14809080759214632,False,True,True,True,True,True,True
U56,CAP2,0.75,0,25.0,0.11037345513700925,1.209765685566478,-0.14875179387181792,0.7419974728648989,1.2421037770489964,1.1880255426552884,1.124749529084998,0.9835023596828143,0.12183969460699817,1.2754689637891052,-0.14875179387181792,False,True,True,True,True,True,True
U56,CAP2,0.75,0,50.0,0.10067860481310942,1.111339888951081,-0.1498530143263923,0.6718490466519617,1.140744704022228,1.0915969990562207,1.0204653620097097,0.7785733423801019,0.1120723488705766,1.181260845927782,-0.14985301432639253,False,False,True,True,True,True,False
U56,CAP2,0.75,10,0.0,0.11965989376090902,1.2988022739521867,-0.14765004422980477,0.8104291088099408,1.339871409336602,1.2702191151457214,1.225578978995433,1.1894613784784405,0.13079449041128965,1.3558311129792158,-0.1476500442298041,False,True,True,True,True,True,True
U56,CAP2,0.75,10,10.0,0.11576135416337285,1.25993416892472,-0.1480908075921462,0.7816916933979371,1.299839305186488,1.2321378683622624,1.184359786008268,1.1069568056903751,0.12686648929179878,1.3186488568248522,-0.14809080759214632,False,True,True,True,True,True,True
U56,CAP2,0.75,10,25.0,0.10993790269334114,1.201524129776832,-0.1487517938718177,0.7390694245212045,1.2396745299318908,1.1749144109357241,1.1224265259683173,0.9859584860409472,0.1209989839050265,1.2627665161966517,-0.1487517938718178,False,True,True,True,True,True,True
U56,CAP2,0.75,10,50.0,0.10029675902813162,1.1039430805706634,-0.14985301432639264,0.6693009111560261,1.1391534717926666,1.0793223047478484,1.0189943760966653,0.7826805254728305,0.11128478450047696,1.1693878050857005,-0.1498530143263923,False,False,True,True,True,True,False
U56,CAP2,0.75,21,0.0,0.11898414807379054,1.279886141294894,-0.14765004422980454,0.8058524377317625,1.3724287499155376,1.207309060064842,1.2607863906080232,1.1284242853922193,0.12587009272495475,1.296464321964328,-0.14765004422980488,False,True,True,True,True,True,True
U56,CAP2,0.75,21,10.0,0.11521302000166456,1.2426151496046047,-0.14809080759214632,0.7779890046853565,1.3344641941789483,1.1704307685353796,1.221782574688098,1.0615458854410236,0.1220439084989815,1.2604160184876618,-0.14809080759214632,False,True,True,True,True,True,True
