panel,cad,n,rho_Sharpe,rho_CAGR,rho_turn,rho_IS,rho_OOS,c_sd_span
B136,D,14,0.1032967032967033,-0.6483516483516484,-0.3802197802197802,-0.178021978021978,0.2087912087912088,0.1961840497461445
B136,W,14,0.02857142857142857,-0.49890109890109896,-0.06373626373626373,-0.23076923076923075,0.1912087912087912,0.1931935073051419
B136,M,14,-0.1956043956043956,-0.3758241758241759,0.01978021978021978,-0.14725274725274726,-0.17362637362637365,0.19126899304684897
B136,Q,14,-0.5868131868131868,-0.3934065934065934,0.1384615384615385,-0.5692307692307692,-0.5912087912087912,0.21014271527274725
B136,A,14,-0.7054945054945055,-0.432967032967033,0.24835164835164836,-0.6791208791208792,-0.6923076923076923,0.21393231740338564
SMALL439,D,14,0.3494505494505495,-0.5516483516483517,-0.7714285714285714,0.5208791208791209,0.06373626373626373,0.16778971352389402
SMALL439,W,14,0.3010989010989011,-0.3450549450549451,-0.47252747252747257,0.3450549450549451,0.015384615384615385,0.16394364477549847
SMALL439,M,14,0.410989010989011,-0.2923076923076923,-0.3934065934065934,0.5164835164835165,-0.08131868131868132,0.15867879813224417
SMALL439,Q,14,-0.45054945054945056,-0.4065934065934066,-0.3186813186813187,0.02417582417582418,-0.5120879120879122,0.16294141471090076
SMALL439,A,14,-0.5956043956043956,-0.4813186813186813,-0.3406593406593406,-0.7890109890109891,0.02417582417582418,0.16662315542834166
U56,D,14,0.12967032967032965,-0.6483516483516484,-0.3802197802197802,-0.3450549450549451,0.2527472527472528,0.19973253742834834
U56,W,14,0.24395604395604395,-0.4901098901098901,-0.14285714285714285,-0.4593406593406593,0.4769230769230769,0.19734033381864086
U56,M,14,-0.006593406593406593,-0.5032967032967033,0.01978021978021978,-0.26593406593406593,0.07692307692307693,0.19352365421049492
U56,Q,14,-0.6703296703296703,-0.410989010989011,0.18681318681318684,-0.5560439560439561,-0.5868131868131868,0.20789868019277494
U56,A,14,-0.7890109890109891,-0.389010989010989,0.27912087912087913,-0.7758241758241758,-0.6439560439560439,0.23049206583536722
