arm,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,panel,book,cost,D,k,TO,gross,cut_days,episodes,p4a_v2,p4a_v1,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b
control,0.07683800276930208,0.7768446903637839,-0.13711150754462675,0.7612867576579568,0.7945564058577419,0.09009016224539779,0.8568415676010123,-0.13711150754462698,u56,V1,5,,,22.364582711221665,0.7090150552274943,0,0,False,False,-0.19740760400097046,-0.0341157170945513,-0.02180460072085577,0.06519222765941607,-0.029480487617620177,False
D2%/k0.00,-0.0010741957126129131,-0.2725785536618362,-0.025143670413776742,-0.3854977113810807,,0.0,,0.0,u56,V1,5,0.02,0.0,0.08203124433007686,0.003030959311279026,4427,1,False,False,-1.3441920730400079,,,0.17716006479026608,-0.10739268609953517,False
D2%/k0.25,0.014797739503285445,0.3944005086697184,-0.06332362973348904,0.3891021439410763,0.3995425731547802,0.01744663469716823,0.4518289359326524,-0.06332362973348937,u56,V1,5,0.02,0.25,7.06132903848821,0.21422582335704202,4138,10,False,False,-0.569592217717851,-0.429129549797513,-0.42681723238921565,0.13898010547055378,-0.09152075088363681,False
D2%/k0.50,0.031303655008306785,0.5318848672999359,-0.08655795923403975,0.4175136638759393,0.632539897281925,0.043397221055802904,0.6933653633700486,-0.08655795923403908,u56,V1,5,0.02,0.5,12.878539757367424,0.3931933000619757,3963,19,False,False,-0.541180697782988,-0.19613222567036825,-0.18528080495181942,0.11574577597000307,-0.07501483537861547,False
D2%/k0.75,0.05177725621652551,0.6528320171690953,-0.128542544643781,0.6273388673521536,0.6778920993935676,0.06196989273640008,0.7395065847387319,-0.128542544643781,u56,V1,5,0.02,0.75,17.974437991530348,0.5599219911807878,3743,26,False,False,-0.3313554943067737,-0.15078002355872555,-0.13913958358313616,0.07376119056026181,-0.054541234170396746,False
D3%/k0.00,-0.0015536378812115448,-0.2483385483403686,-0.03219891960436483,-0.35120716984362543,,0.0,,0.0,u56,V1,5,0.03,0.0,0.08314368417901487,0.006064723205234756,4408,1,False,False,-1.3099015315025526,,,0.170104815599678,-0.1078721282681338,False
D3%/k0.25,0.01742780964234325,0.4462646555122452,-0.0633236297334887,0.37408745515785413,0.5133337024321574,0.0222807717723168,0.5613287714738588,-0.06332362973348926,u56,V1,5,0.03,0.25,7.355330121217702,0.2243990453449537,4053,9,False,False,-0.5846069065010732,-0.31533842052013583,-0.3173173968480092,0.13898010547055412,-0.08889068074457901,False
D3%/k0.50,0.02834797040697845,0.4756384071410551,-0.1201099597612727,0.37869457525736144,0.5608823276832967,0.03966796509378079,0.624107940359611,-0.12010995976127226,u56,V1,5,0.03,0.5,12.980450446984744,0.39885746548693124,3892,16,False,False,-0.5799997864015658,-0.2677897952689965,-0.254538227962257,0.08219377544277012,-0.07797051997994381,False
D3%/k0.75,0.05193712219034685,0.6471498936404306,-0.128542544643781,0.6145849879689954,0.6783739236603928,0.06277023531168968,0.7388813069141545,-0.12854254464378112,u56,V1,5,0.03,0.75,18.035255348268194,0.564625109284354,3625,22,False,False,-0.3441093736899319,-0.15029819929190036,-0.1397648614077135,0.07376119056026181,-0.05438136819657541,False
D4%/k0.00,-0.0020702291820845486,-0.23983320427723664,-0.04098357506061301,-0.33917588404344823,,0.0,,0.0,u56,V1,5,0.04,0.0,0.1666430595294701,0.013084983832912832,4364,1,False,False,-1.2978702457023754,,,0.1613201601434298,-0.10838871956900681,False
D4%/k0.25,0.010432272838968082,0.2836568126064202,-0.08751430051274445,0.15743198900025732,0.3893223122880798,0.017683228224085523,0.44272569066115036,-0.08751430051274389,u56,V1,5,0.04,0.25,6.642113183961078,0.20776316145586862,4192,7,False,False,-0.80126237265867,-0.4393498106642134,-0.4359204776607177,0.11478943469129838,-0.09588621754795418,False
D4%/k0.50,0.027524541849958784,0.45110970503037673,-0.1201099597612727,0.39323370298371035,0.5026226527763502,0.037064835145163455,0.5662011004436327,-0.12010995976127303,u56,V1,5,0.04,0.5,13.281568752134666,0.4119440429167026,3728,15,False,False,-0.5654606586752169,-0.326049470175943,-0.31244506787823534,0.08219377544277012,-0.07879394853696348,False
D4%/k0.75,0.05211161905835504,0.6382805647775551,-0.1285425446437809,0.6001702682794999,0.6743596538690436,0.06317567909830024,0.727958078929594,-0.12854254464378112,u56,V1,5,0.04,0.75,18.286981227506843,0.5718450422875834,3444,20,False,False,-0.35852409337942737,-0.15431246908324958,-0.15068808939227407,0.07376119056026192,-0.05420687132856722,False
D6%/k0.00,0.004559824109022781,0.17312909920981925,-0.07874761172927769,0.24482850419144053,,0.0,,0.0,u56,V1,5,0.06,0.0,1.498290412499155,0.05396665924771753,4108,1,False,False,-0.7138658574674868,,,0.12355612347476513,-0.10175866627789948,False
