q,k,char,book,stat,pooled_rho,c_fit,agree_240,nstar_ladder,nstar_extrap,reaches_in_ladder
0.5,40,breadth,CAND10,MARGINAL,-0.06124678976881011,0.8658298427807967,0.8175,,523.6380227898708,False
0.5,40,breadth,CAND10,PARTIAL,-0.03408889213642626,0.9086989485385761,0.52,,1861.8599501375431,False
0.5,40,breadth,CAND20,MARGINAL,-0.06676630015431122,0.8988890935430417,0.825,,474.93079924547004,False
0.5,40,breadth,CAND20,PARTIAL,-0.04075711517197689,0.9429259600630466,0.575,,1402.429522242205,False
0.5,40,breadth,EWall,MARGINAL,-0.07270334778782743,0.8941272386264659,0.8625,,396.2986249689994,False
0.5,40,breadth,EWall,PARTIAL,-0.05195533576801801,0.9296217560898459,0.7125,,838.8512959081096,False
0.5,40,disp,CAND10,MARGINAL,0.1302705306880672,0.8409334794002998,1.0,131.35482437216632,109.18517004485861,True
0.5,40,disp,CAND10,PARTIAL,0.007884291121883146,0.8982851457666321,0.11,,34012.28941606831,False
0.5,40,disp,CAND20,MARGINAL,0.1478268134844335,0.8431031756130738,1.0,97.6141409639138,85.22907062182547,True
0.5,40,disp,CAND20,PARTIAL,-0.03781080197217799,0.8822221356940345,0.6225,,1426.4509954151658,False
0.5,40,disp,EWall,MARGINAL,0.14784167900034287,0.8370750961558877,1.0,94.40142612375666,83.99777922287468,True
0.5,40,disp,EWall,PARTIAL,-0.016198328757191193,0.8963140426517693,0.2875,,8022.555247661161,False
0.5,40,corr,CAND10,MARGINAL,-0.18871891805085958,0.8459719454151029,1.0,62.29069006000736,52.65186745337015,True
0.5,40,corr,CAND10,PARTIAL,-0.1466973610335293,0.8902928289437994,0.995,105.02455795107643,96.50590357940804,True
0.5,40,corr,CAND20,MARGINAL,-0.1969845789261238,0.8513440356880297,1.0,54.786291850712885,48.94163481618416,True
0.5,40,corr,CAND20,PARTIAL,-0.16013637026998856,0.8996181306723854,0.9975,89.89842461260093,82.69308070872357,True
0.5,40,corr,EWall,MARGINAL,-0.17039787499077685,0.8792599907084344,1.0,73.86866480069503,69.76522642003994,True
0.5,40,corr,EWall,PARTIAL,-0.12641390192150723,0.9271902464226769,0.985,135.07550850577886,140.95509192139596,True
0.5,40,evol,CAND10,MARGINAL,0.10927868610540842,0.8433605100471339,0.99,161.5080231158828,156.0588229822485,True
0.5,40,evol,CAND10,PARTIAL,0.04752028377038028,0.8909046438276337,0.6925,,920.9522813166963,False
0.5,40,evol,CAND20,MARGINAL,0.17459385674416988,0.8681079239787909,1.0,80.3993993290414,64.77721275189725,True
0.5,40,evol,CAND20,PARTIAL,0.1268230199241027,0.8823752019489101,0.9925,118.74632710253582,126.83617634900375,True
0.5,40,evol,EWall,MARGINAL,0.1663439294441382,0.8505534135940105,1.0,76.35849074910485,68.50495802308969,True
0.5,40,evol,EWall,PARTIAL,0.109374765399507,0.8808393454064408,0.98,146.60388086971886,169.93853713020252,True
0.25,40,breadth,CAND10,MARGINAL,-0.04408083425860792,0.8635440142238798,0.67,,1005.546316101946,False
0.25,40,breadth,CAND10,PARTIAL,-0.009016969916394509,0.8994531847369974,0.1875,,26071.656147558188,False
0.25,40,breadth,CAND20,MARGINAL,-0.037522309163393476,0.9016113343336323,0.5775,,1512.83771813346,False
0.25,40,breadth,CAND20,PARTIAL,-0.006931760667233453,0.9371908028096785,0.1325,,47896.26527706823,False
0.25,40,breadth,EWall,MARGINAL,-0.02799007893281347,0.893272313638748,0.425,,2668.653781476134,False
0.25,40,breadth,EWall,PARTIAL,-0.0033905470627745224,0.9239422412745405,0.0625,,194573.1120348122,False
0.25,40,disp,CAND10,MARGINAL,0.17774643119110758,0.8459124491565901,1.0,81.78130085902329,59.34467926076216,True
0.25,40,disp,CAND10,PARTIAL,0.015146973644931368,0.8784550664098769,0.295,,8812.925478548656,False
0.25,40,disp,CAND20,MARGINAL,0.19193909261758949,0.8594307477065771,1.0,70.3004502501876,52.53244727562831,True
0.25,40,disp,CAND20,PARTIAL,0.06373658192533489,0.8980035314215058,0.85,,520.1292576143534,False
0.25,40,disp,EWall,MARGINAL,0.23066083186124936,0.8519926932604865,1.0,49.41546103605439,35.74841294719338,True
0.25,40,disp,EWall,PARTIAL,0.09047075311495432,0.8988375600935584,0.95,206.08709767043783,258.62990877206056,True
0.25,40,corr,CAND10,MARGINAL,-0.16330116450158202,0.8560600726200344,1.0,88.82712125598152,72.00499976944927,True
0.25,40,corr,CAND10,PARTIAL,-0.09827450642495632,0.9159677509686127,0.9625,186.6991766515931,227.62049202867107,True
0.25,40,corr,CAND20,MARGINAL,-0.1628600818579942,0.8674496628753642,0.9975,92.38150247900286,74.33476984311618,True
0.25,40,corr,CAND20,PARTIAL,-0.08114224572061496,0.9167033728699001,0.9075,234.266503356368,334.42315945318273,True
0.25,40,corr,EWall,MARGINAL,-0.14413007434928102,0.8771490653883128,0.995,114.10065971364986,97.04436487222819,True
0.25,40,corr,EWall,PARTIAL,-0.04278148771561109,0.921566703458278,0.6475,,1215.8346544870312,False
0.25,40,evol,CAND10,MARGINAL,0.18335496247813574,0.846958385737942,1.0,71.67016903487584,55.90768903813533,True
0.25,40,evol,CAND10,PARTIAL,0.10168072814066459,0.8742951462208715,0.985,152.54006842144696,193.7187120717919,True
0.25,40,evol,CAND20,MARGINAL,0.1560898701817282,0.8569351455482039,0.9975,97.47028756274828,78.97310334760174,True
0.25,40,evol,CAND20,PARTIAL,0.04794856682400631,0.8908198926206126,0.715,,904.4015233014928,False
0.25,40,evol,EWall,MARGINAL,0.20425164605749155,0.8597049745901928,1.0,63.201662157290166,46.41950260153659,True
0.25,40,evol,EWall,PARTIAL,0.07156994177671759,0.9109172840949981,0.8625,,424.45269055149964,False
