rule,gap_1155,max_sd_for_2SE_at_n3
M_NONE,0.0262,0.022689865579152292
M_SUBSAMPLE,0.0736,0.06373946971853468
M_PAIRWISE,0.0736,0.06373946971853468
M_D2,0.006900000000000017,0.005975575286112641
