gross,freq,bps,subset,n_cells,n_files,pooled,file_clustered,n_tied,pair_kept
0.5,W,10.0,ALL,119290,311,0.8830748595858832,0.7469282589942502,161,0.9092500669399188
0.5,W,10.0,no_own_control,78523,165,0.9136940768946678,0.7472977484318006,127,0.9125009137331481
0.5,W,10.0,has_own_control,40767,146,0.8240979223391468,0.7465106853148267,34,0.9060877868411161
0.5,W,10.0,k3,37419,140,0.7189395761511531,0.5125630262418172,42,0.8736524440725343
0.5,W,10.0,headline_u56>broad136>small439,27563,139,0.7152704712839676,0.5323930118008634,3,0.8708354999818606
0.5,W,25.0,ALL,119292,311,0.8794554538443483,0.7303307275618561,159,0.9053942720616253
0.5,W,25.0,no_own_control,78524,165,0.9115557027150935,0.7363497847063661,126,0.9098076481276498
0.5,W,25.0,has_own_control,40768,146,0.8176265698587127,0.723528368460184,33,0.9011011336394296
0.5,W,25.0,k3,37421,140,0.7099222361775473,0.4845101075534501,40,0.8678239195264166
0.5,W,25.0,headline_u56>broad136>small439,27565,139,0.7057137674587339,0.49939208832379034,1,0.8648527722353225
0.5,M,10.0,ALL,119291,311,0.8599894375937833,0.6912182430687833,160,0.8887000849617672
0.5,M,10.0,no_own_control,78524,165,0.9017115786256431,0.711562072739852,126,0.8963263089743322
0.5,M,10.0,has_own_control,40767,146,0.7796256776314175,0.6682269287144935,34,0.88128155379255
0.5,M,10.0,k3,37420,140,0.669748797434527,0.43565968285343115,41,0.8462531379635729
0.5,M,10.0,headline_u56>broad136>small439,27564,139,0.6464954288202003,0.44054419048675936,2,0.8344498996299611
0.5,M,25.0,ALL,119292,311,0.8584314119974517,0.6882564702124907,159,0.8873887790410282
0.5,M,25.0,no_own_control,78524,165,0.9005909021445673,0.7093876347082005,126,0.8950940874250747
0.5,M,25.0,has_own_control,40768,146,0.7772272370486656,0.6643753596522706,33,0.8798935457001809
0.5,M,25.0,k3,37421,140,0.6655086716015072,0.42997681026598833,40,0.8442276364866429
0.5,M,25.0,headline_u56>broad136>small439,27565,139,0.642408851804825,0.4347391555370074,1,0.8324123003252839
0.75,W,10.0,ALL,119284,311,0.88003420408437,0.7272700700837338,167,0.9064830072090628
0.75,W,10.0,no_own_control,78522,165,0.9123430376200301,0.7416521378080847,128,0.9111111111111111
0.75,W,10.0,has_own_control,40762,146,0.8177959864579756,0.7110163634089539,39,0.9019809020723283
0.75,W,10.0,k3,37415,140,0.7122277161566217,0.48908173427587776,46,0.8698667331368901
0.75,W,10.0,headline_u56>broad136>small439,27559,139,0.7077542726514024,0.5087024873299774,7,0.8666118440942787
0.75,W,25.0,ALL,119273,311,0.8768287877390524,0.7190184764634582,178,0.902661839754054
0.75,W,25.0,no_own_control,78518,165,0.9101861993428259,0.73235014367203,132,0.9082772881072727
0.75,W,25.0,has_own_control,40755,146,0.8125628757207705,0.70395186626199,46,0.8971991100545549
0.75,W,25.0,k3,37407,139,0.7051621354291977,0.47085685322810217,54,0.8643198632515157
0.75,W,25.0,headline_u56>broad136>small439,27553,138,0.7003956012049505,0.4893507957727675,13,0.8608090947572111
0.75,M,10.0,ALL,119292,311,0.8589679106729705,0.6892817694420916,159,0.8878419014664689
0.75,M,10.0,no_own_control,78524,165,0.9009220111048851,0.7100209847292066,126,0.895511789645162
0.75,M,10.0,has_own_control,40768,146,0.7781593406593407,0.6658436151792562,33,0.8803811226459176
0.75,M,10.0,k3,37421,140,0.6673792790144571,0.43237501939368583,40,0.8450644044259683
0.75,M,10.0,headline_u56>broad136>small439,27565,139,0.6447306366769454,0.4379575824592758,1,0.8334885183259368
