panel,cad,family,level,bps,TOTAL,SELECTION,TIMING,sel_share,dSharpe_abs,dSharpe_qtl,dMaxDD_abs
U56,W,MA200,-0.05,0,-3.6099836720105083,-2.1866705205506376,-1.4233131514598707,0.6057286456735731,0.042504792509121314,0.010127312322953275,9.526660983076674
U56,W,MA200,-0.05,10,-3.77687728813505,-2.3661109475028086,-1.4107663406322413,0.6264728152370418,0.042504792509121314,0.010127312322953275,9.526660983076674
U56,W,MA200,-0.02,0,-4.116497217223802,-2.824781233866891,-1.2917159833569114,0.6862099218840102,0.07201175667885429,0.022323660490340957,10.597065859745037
U56,W,MA200,-0.02,10,-4.324538343330797,-3.0486841583605706,-1.2758541849702265,0.7049733211551196,0.07201175667885429,0.022323660490340957,10.597065859745037
U56,W,MA200,0.0,0,-4.834488637349743,-3.628235914767175,-1.206252722582568,0.7504901111436196,0.04536341172369296,0.01717642985627421,10.514207286649368
U56,W,MA200,0.0,10,-5.08036585593985,-3.888957545017302,-1.1914083109225482,0.765487694251472,0.04536341172369296,0.01717642985627421,10.514207286649368
U56,W,MA200,0.02,0,-5.755060473675866,-4.345632155022949,-1.4094283186529166,0.7550975658553439,-0.006261471539716457,0.06225987048084636,11.27259975610151
U56,W,MA200,0.02,10,-6.030119010783652,-4.6169415709435,-1.413177439840152,0.7656468409142557,-0.006261471539716457,0.06225987048084636,11.27259975610151
U56,W,MA200,0.05,0,-6.9374390784078255,-6.036667309456711,-0.9007717689511141,0.8701578840879932,-0.04931617242605313,0.05420337995296132,13.043426174194316
U56,W,MA200,0.05,10,-7.20722705369452,-6.327960599625815,-0.8792664540687056,0.8780021154435558,-0.04931617242605313,0.05420337995296132,13.043426174194316
U56,W,BREADTH,0.2,0,-1.5511892240512415,-0.7372060897335775,-0.813983134317664,0.47525219896010884,-0.0683102261460029,-0.005143518639909583,-1.1486739087023135
U56,W,BREADTH,0.2,10,-1.6060193996541239,-0.7796127043413259,-0.826406695312798,0.4854316856379351,-0.0683102261460029,-0.005143518639909583,-1.1486739087023135
U56,W,BREADTH,0.3,0,-2.0278955131148635,-0.8556616344244095,-1.172233878690454,0.4219456223906263,-0.00978330218966561,0.05026728932318192,4.539295015220146
U56,W,BREADTH,0.3,10,-2.1324595970208193,-0.9593894764189148,-1.1730701206019045,0.4498980790816588,-0.00978330218966561,0.05026728932318192,4.539295015220146
U56,W,BREADTH,0.4,0,-2.931864201960299,-1.275366536180056,-1.6564976657802433,0.43500191288782136,-0.03286971049726817,0.12041476010796037,4.539295015220146
U56,W,BREADTH,0.4,10,-3.131350942582767,-1.3906939748743685,-1.7406569677083983,0.44411948720360017,-0.03286971049726817,0.12041476010796037,4.539295015220146
U56,W,BREADTH,0.5,0,-3.708032966720398,-2.4869811728501334,-1.2210517938702647,0.6707009336677406,-0.03944376999484578,0.02606403053472972,3.8173233819787766
U56,W,BREADTH,0.5,10,-3.937177913388412,-2.670350665429222,-1.2668272479591902,0.6782397758426584,-0.03944376999484578,0.02606403053472972,3.8173233819787766
U56,W,BREADTH,0.6,0,-3.934175476342827,-3.4512047608558527,-0.48297071548697446,0.877237119088562,0.03245129219909759,-0.03762414742373821,11.197079877025985
U56,W,BREADTH,0.6,10,-4.166158502842521,-3.737634325980932,-0.42852417686158883,0.8971416530193914,0.03245129219909759,-0.03762414742373821,11.197079877025985
U56,M,MA200,-0.05,0,-3.0008326315378087,-1.8693548425105844,-1.1314777890272243,0.6229453861785732,0.0493492217984719,0.03963298516187219,6.233851171664062
U56,M,MA200,-0.05,10,-3.078715806629173,-1.9462348536474439,-1.1324809529817292,0.6321580086920524,0.0493492217984719,0.03963298516187219,6.233851171664062
U56,M,MA200,-0.02,0,-3.7522802405335565,-2.5247659945682788,-1.2275142459652777,0.6728617887584188,0.0628310676530417,0.05097979743050973,9.026120513620706
