corpus,dial,S,published,S_mean,S_sd,pctile,p_sign_disagree,agree_published,agree_rate,degenerate,sign_moves,margin_moves,agree_moves
A,GROSS,40,-5.7075566925405714e-05,-5.7075566925405714e-05,0.0,0.0,0.0,True,1.0,False,False,False,False
A,GROSS,200,-5.7075566925405714e-05,-5.707556692540571e-05,6.793268030311617e-21,0.0,0.0,True,1.0,False,False,False,False
A,GROSS,1000,-5.7075566925405714e-05,-5.707556692540571e-05,6.779654253041699e-21,0.0,0.0,True,1.0,False,False,False,False
A,N,40,-0.02287599329642727,0.004622529989605853,0.01752784682393541,0.075,0.225,False,0.35,False,True,True,False
A,N,200,-0.02287599329642727,0.006409469297052577,0.018700083885564697,0.055,0.25,False,0.32,False,True,True,False
A,N,1000,-0.02287599329642727,0.008139572891650801,0.018312381918137957,0.051,0.187,False,0.347,False,True,True,False
A,BAND,40,0.0005037875854642544,0.0005037875854642544,0.0,0.0,0.0,True,1.0,False,False,False,False
A,BAND,200,0.0005037875854642544,0.0005037875854642546,1.0869228848498587e-19,0.0,0.0,True,1.0,False,False,False,False
A,BAND,1000,0.0005037875854642544,0.0005037875854642547,2.1694893609733436e-19,0.0,0.0,True,1.0,False,False,False,False
A,CADENCE,40,0.026083724940281598,0.026083724940281605,4.303319318569048e-18,0.0,0.0,True,1.0,False,False,False,False
A,CADENCE,200,0.026083724940281598,0.0260837249402816,1.9521086596570158e-18,0.0,0.0,True,1.0,False,False,False,False
A,CADENCE,1000,0.026083724940281598,0.026083724940281605,3.934858062730322e-18,0.0,0.0,True,1.0,False,False,False,False
A,SLEEVE,40,0.0,0.0,0.0,0.0,0.0,True,1.0,True,False,False,False
A,SLEEVE,200,0.0,0.0,0.0,0.0,0.0,True,1.0,True,False,False,False
A,SLEEVE,1000,0.0,0.0,0.0,0.0,0.0,True,1.0,True,False,False,False
B,GROSS,40,-2.413318119094785e-05,-2.413318119094785e-05,0.0,0.0,0.0,True,1.0,False,False,False,False
B,GROSS,200,-2.413318119094785e-05,-2.413318119094785e-05,0.0,0.0,0.0,True,1.0,False,False,False,False
B,GROSS,1000,-2.413318119094785e-05,-2.4133181190947853e-05,3.389827126520849e-21,0.0,0.0,True,1.0,False,False,False,False
B,N,40,0.0255928475498982,0.014848639602175584,0.02744493727688082,0.275,0.125,True,0.8,False,False,False,False
B,N,200,0.0255928475498982,0.02013596499922375,0.020170073684300533,0.25,0.065,True,0.895,False,False,False,False
B,N,1000,0.0255928475498982,0.020619655670624456,0.019201395912142222,0.233,0.055,True,0.896,False,False,False,False
B,BAND,40,0.0077991436987469775,0.007799143698746977,1.678202580455363e-18,0.025,0.0,True,1.0,False,False,False,False
B,BAND,200,0.0077991436987469775,0.00779914369874698,1.974254127266303e-18,0.025,0.0,True,1.0,False,False,False,False
B,BAND,1000,0.0077991436987469775,0.007799143698746979,1.1337943190650925e-18,0.022,0.0,True,1.0,False,False,False,False
B,CADENCE,40,0.02553395156602312,0.025533951566023116,2.7777806757050955e-18,0.375,0.0,True,1.0,False,False,False,False
B,CADENCE,200,0.02553395156602312,0.025533951566023116,2.9307440062841055e-18,0.29,0.0,True,1.0,False,False,False,False
B,CADENCE,1000,0.02553395156602312,0.025533951566023116,3.0061326397487736e-18,0.252,0.0,True,1.0,False,False,False,False
B,SLEEVE,40,0.00302789642063706,0.00302789642063706,0.0,0.0,0.0,True,1.0,False,False,False,False
B,SLEEVE,200,0.00302789642063706,0.0030278964206370594,4.347691539399435e-19,0.0,0.0,True,1.0,False,False,False,False
B,SLEEVE,1000,0.00302789642063706,0.0030278964206370603,4.338978721946687e-19,0.0,0.0,True,1.0,False,False,False,False
