universe,book,dropped,binding,book_move,bar_move,side
u56,ew-band3,2022,CAGR,1.0727585150786423,1.6759456798405639,BAR
u56,ew-band3-g085,2020,DD,1.2785390793393137,5.532499366593879,BAR
u56,EWall+vol60dg,2020,DD,1.871018448797701,5.532499366593879,BAR
broad,frac085,2020,DD,2.8498684950858277,5.531580927905089,BAR
broad,ew-band3,2020,DD,0.6795656333525857,5.531580927905089,BAR
broad,ew-band3-g085,2020,DD,0.804401465183624,5.531580927905089,BAR
broad,EWall,2011,CAGR,0.534129527458771,0.5993672430746527,BAR
broad,EWall,2013,CAGR,-0.9443862951014959,-0.6682994197677441,BOOK
broad,EWall,2014,CAGR,0.012081038935507493,0.07483259841177814,BAR
broad,EWall,2015,CAGR,0.45995048096008073,0.6311809631442886,BAR
broad,EWall,2017,CAGR,-0.525971330894226,-0.26764936002976886,BOOK
broad,EWall,2018,CAGR,0.7504846517369268,0.9175097476872229,BAR
broad,EWall,2020,DD,1.1425756069971094,5.531580927905089,BAR
broad,EWall,2022,CAGR,1.2650104030500042,1.6760218624406285,BAR
broad,top20+50S4,2022,OOS,0.13130874421587602,0.2636862649610707,BAR
broad,top20+50S3,2022,H2,0.19883871880022685,0.2876955571280584,BAR
