panel,cadence,rule,seed,turn_yr,c0_L_H1,c0_L_H2,c0_L_OOS,c0_L_DD,c0_L_CAGR,c0_pass4b,c0_CAGR,c0_Sharpe,c0_MaxDD,c0_OOS_Sharpe,c10_L_H1,c10_L_H2,c10_L_OOS,c10_L_DD,c10_L_CAGR,c10_pass4b,c10_CAGR,c10_Sharpe,c10_MaxDD,c10_OOS_Sharpe
U56,D,UNIF,0,238.34726468932294,True,True,True,True,True,True,0.13540262916992862,1.1086577678936311,-0.20003687972744377,1.1356677897796843,False,False,False,False,False,False,-0.10538387518513592,-0.8578233152953555,-0.8652840809279632,-0.7926806440801748
U56,D,UNIF,1,239.1495121905458,True,True,True,False,True,False,0.14758207676101853,1.1929005719380015,-0.21448966199245867,1.2438033041342484,False,False,False,False,False,False,-0.09650037514066034,-0.7733659026466704,-0.8401487551270359,-0.6949583704251906
U56,D,UNIF,2,238.97597029683013,True,True,True,False,True,False,0.12604697096562578,1.0358922053477315,-0.2333227319480886,1.0012214803318538,False,False,False,False,False,False,-0.1133197813700011,-0.9261818977533809,-0.8991937191044159,-0.9389583924600016
U56,D,UNIF,3,240.21101106002652,True,True,True,False,True,False,0.135246095194814,1.0990441384930107,-0.25640673899835853,1.15319121940687,False,False,False,False,False,False,-0.10717152157623588,-0.8658139635882823,-0.8733280405004668,-0.7816800842581115
U56,D,UNIF,4,238.6670807301154,True,True,True,False,True,False,0.14264774784135348,1.1567667606136367,-0.2262181114872931,1.2034918913546848,False,False,False,False,False,False,-0.09996055061735298,-0.8038745946640745,-0.8637549629499481,-0.7280626439567031
U56,D,UNIF,5,238.68041448233208,True,True,True,False,True,False,0.1372022540492739,1.109656233286915,-0.25158325734796416,1.1125825600707477,False,False,False,False,False,False,-0.10426625002065604,-0.8353966120405072,-0.8682076190172707,-0.8013806863248489
U56,D,UNIF,6,238.75129683548172,True,True,True,False,True,False,0.1377334698106314,1.1211072541242162,-0.2095134005637621,1.0658958093876485,False,False,False,False,False,False,-0.10390335431586328,-0.840204343330794,-0.8757385016873429,-0.8747041041355825
U56,D,UNIF,7,239.10800365560004,True,True,True,True,True,True,0.13294912131862113,1.0895859125040064,-0.19711421275195296,1.1814560420557192,False,False,False,False,False,False,-0.10799618255586307,-0.880812352534897,-0.8774104632254771,-0.7593713615690985
U56,D,UNIF,8,240.53840918703278,True,True,True,False,True,False,0.12849910810054532,1.0595824797402218,-0.24335380616574742,1.0156272530269808,False,False,False,False,False,False,-0.11277550716395157,-0.9276148172863544,-0.889373377576534,-0.9296777807743157
U56,D,UNIF,9,238.41390384417758,True,True,True,False,True,False,0.144356542309235,1.1705629622985894,-0.2222880505818986,1.1302151734132804,False,False,False,False,False,False,-0.09838699065274326,-0.7907061966302741,-0.8498806687389876,-0.8073407815111048
U56,D,UNIF,10,239.07646038185308,True,True,True,False,True,False,0.13991012734763975,1.1383862050799232,-0.21971244092018827,1.1737201012832532,False,False,False,False,False,False,-0.10248231436966793,-0.8283672002364396,-0.8714391196089827,-0.7606321842572396
U56,D,UNIF,11,238.93517990048002,True,True,True,False,True,False,0.13556417671090504,1.115980049772861,-0.21414515118532695,1.138813440410012,False,False,False,False,False,False,-0.10578822045868175,-0.8672332305861079,-0.8680483997435378,-0.8130637856557403
