panel,est,frac,L,obj,se_COMP,se_PAIRED,se_BOOKONLY
U56,BLOCK21,0.125,556,SPY,0.6358627719182703,,
U56,BLOCK21,0.125,556,u56-band008-gross100,0.6358627719182703,0.34902185193269897,0.6761777074272927
U56,BLOCK21,0.125,556,u56-k8-qroll-q017-w1008-d100-g100,0.6358627719182703,0.42171120889476577,0.6037046523438632
U56,BLOCK21,0.125,556,u56-marsrespread-gross075,0.6358627719182703,0.2853298602807131,0.6587941047298609
U56,BLOCK21,0.125,556,u56-quantile50-respread-M,0.6358627719182703,0.27183059627688916,0.629478267412426
U56,BLOCK21,0.125,556,u56-top20-band-m20,0.6358627719182703,0.37563436296747277,0.6354776201685425
U56,BLOCK21,0.125,556,u56-top20-g065-M,0.6358627719182703,0.3566697655033777,0.6316028562192577
U56,BLOCK21,0.125,556,u56-v2band-gross100,0.6358627719182703,0.35922494110863673,0.6469364177302516
U56,BLOCK21,0.25,1111,SPY,0.44190509663846167,,
U56,BLOCK21,0.25,1111,u56-band008-gross100,0.44190509663846167,0.24506415088459807,0.47693984418907975
U56,BLOCK21,0.25,1111,u56-k8-qroll-q017-w1008-d100-g100,0.44190509663846167,0.3078311422357014,0.4418885674908703
U56,BLOCK21,0.25,1111,u56-marsrespread-gross075,0.44190509663846167,0.20997308704725892,0.46260913071345994
U56,BLOCK21,0.25,1111,u56-quantile50-respread-M,0.44190509663846167,0.1965695992627435,0.4438498248300672
U56,BLOCK21,0.25,1111,u56-top20-band-m20,0.44190509663846167,0.27411475002338986,0.45097642981930325
U56,BLOCK21,0.25,1111,u56-top20-g065-M,0.44190509663846167,0.262415129400812,0.45024846926440376
U56,BLOCK21,0.25,1111,u56-v2band-gross100,0.44190509663846167,0.2578644622192509,0.4615451790979437
U56,BLOCK21,0.375,1667,SPY,0.36749464594424336,,
U56,BLOCK21,0.375,1667,u56-band008-gross100,0.36749464594424336,0.19514010594844072,0.395713246511119
U56,BLOCK21,0.375,1667,u56-k8-qroll-q017-w1008-d100-g100,0.36749464594424336,0.25075353855156457,0.36157544965411587
U56,BLOCK21,0.375,1667,u56-marsrespread-gross075,0.36749464594424336,0.1636952663732011,0.3805598297954973
U56,BLOCK21,0.375,1667,u56-quantile50-respread-M,0.36749464594424336,0.15310645788428012,0.36117370559542816
U56,BLOCK21,0.375,1667,u56-top20-band-m20,0.36749464594424336,0.21479052244573357,0.3689304735107199
U56,BLOCK21,0.375,1667,u56-top20-g065-M,0.36749464594424336,0.20290658087154118,0.3630969172842061
U56,BLOCK21,0.375,1667,u56-v2band-gross100,0.36749464594424336,0.2082130483033719,0.37767027700434386
U56,BLOCK21,0.5,2222,SPY,0.31765511593705315,,
U56,BLOCK21,0.5,2222,u56-band008-gross100,0.31765511593705315,0.16881766767578013,0.3333162386092699
U56,BLOCK21,0.5,2222,u56-k8-qroll-q017-w1008-d100-g100,0.31765511593705315,0.2277828950284446,0.3014465129256041
U56,BLOCK21,0.5,2222,u56-marsrespread-gross075,0.31765511593705315,0.143585173251467,0.32024874737181536
U56,BLOCK21,0.5,2222,u56-quantile50-respread-M,0.31765511593705315,0.13504527590867063,0.3071967375745261
U56,BLOCK21,0.5,2222,u56-top20-band-m20,0.31765511593705315,0.19474077439100454,0.3109859369947481
U56,BLOCK21,0.5,2222,u56-top20-g065-M,0.31765511593705315,0.18169995038199507,0.3083978119941832
U56,BLOCK21,0.5,2222,u56-v2band-gross100,0.31765511593705315,0.17609125469682396,0.31347650290909257
U56,BLOCK21,0.75,3334,SPY,0.2526808580186124,,
U56,BLOCK21,0.75,3334,u56-band008-gross100,0.2526808580186124,0.14405944892209688,0.2708385422564372
U56,BLOCK21,0.75,3334,u56-k8-qroll-q017-w1008-d100-g100,0.2526808580186124,0.1790096181385518,0.2435254639956747
U56,BLOCK21,0.75,3334,u56-marsrespread-gross075,0.2526808580186124,0.123748388674081,0.26076180169759294
U56,BLOCK21,0.75,3334,u56-quantile50-respread-M,0.2526808580186124,0.11300435483225178,0.2490380813605766
U56,BLOCK21,0.75,3334,u56-top20-band-m20,0.2526808580186124,0.15571509335566186,0.2557639033690855
U56,BLOCK21,0.75,3334,u56-top20-g065-M,0.2526808580186124,0.15111230756158103,0.2530738289248247
U56,BLOCK21,0.75,3334,u56-v2band-gross100,0.2526808580186124,0.15006631559774597,0.2596447852745775
U56,BLOCK21,1.0,4445,SPY,0.21886266611937302,,
U56,BLOCK21,1.0,4445,u56-band008-gross100,0.21886266611937302,0.11894471279727853,0.23512475192707244
U56,BLOCK21,1.0,4445,u56-k8-qroll-q017-w1008-d100-g100,0.21886266611937302,0.15119170932137635,0.21336049043710845
U56,BLOCK21,1.0,4445,u56-marsrespread-gross075,0.21886266611937302,0.10063969179652207,0.22616876486385343
U56,BLOCK21,1.0,4445,u56-quantile50-respread-M,0.21886266611937302,0.09427649146268381,0.2133593012064808
U56,BLOCK21,1.0,4445,u56-top20-band-m20,0.21886266611937302,0.13275035597325452,0.2174333810651336
U56,BLOCK21,1.0,4445,u56-top20-g065-M,0.21886266611937302,0.1264799125226685,0.21534530844513802
U56,BLOCK21,1.0,4445,u56-v2band-gross100,0.21886266611937302,0.12406987787841953,0.22345331807632637
U56,BLOCK5,0.125,556,SPY,0.6739167545077783,,
U56,BLOCK5,0.125,556,u56-band008-gross100,0.6739167545077783,0.38785713691634466,0.6788007346917297
U56,BLOCK5,0.125,556,u56-k8-qroll-q017-w1008-d100-g100,0.6739167545077783,0.49927736628705116,0.6679891712794164
U56,BLOCK5,0.125,556,u56-marsrespread-gross075,0.6739167545077783,0.3301161190516909,0.6934517846947615
U56,BLOCK5,0.125,556,u56-quantile50-respread-M,0.6739167545077783,0.3091707929856251,0.672534140589427
U56,BLOCK5,0.125,556,u56-top20-band-m20,0.6739167545077783,0.441831798699867,0.6554226114453047
U56,BLOCK5,0.125,556,u56-top20-g065-M,0.6739167545077783,0.41057271219119923,0.6585041798728966
U56,BLOCK5,0.125,556,u56-v2band-gross100,0.6739167545077783,0.4080931200365363,0.6664629787998445
U56,BLOCK5,0.25,1111,SPY,0.4500976820960012,,
U56,BLOCK5,0.25,1111,u56-band008-gross100,0.4500976820960012,0.2744255737803958,0.4887236612193228
U56,BLOCK5,0.25,1111,u56-k8-qroll-q017-w1008-d100-g100,0.4500976820960012,0.3483381272930047,0.4741194538098215
U56,BLOCK5,0.25,1111,u56-marsrespread-gross075,0.4500976820960012,0.22345932693083642,0.47723762703848854
U56,BLOCK5,0.25,1111,u56-quantile50-respread-M,0.4500976820960012,0.20959117910018857,0.4690094450517726
U56,BLOCK5,0.25,1111,u56-top20-band-m20,0.4500976820960012,0.30734554909895173,0.4731090731566623
U56,BLOCK5,0.25,1111,u56-top20-g065-M,0.4500976820960012,0.28524979942019346,0.46927247680419637
U56,BLOCK5,0.25,1111,u56-v2band-gross100,0.4500976820960012,0.2869115300530587,0.47747014550104455
U56,BLOCK5,0.375,1667,SPY,0.3792695367868481,,
U56,BLOCK5,0.375,1667,u56-band008-gross100,0.3792695367868481,0.22346286398501924,0.3982356653858899
U56,BLOCK5,0.375,1667,u56-k8-qroll-q017-w1008-d100-g100,0.3792695367868481,0.2851931856834598,0.3883483129857551
U56,BLOCK5,0.375,1667,u56-marsrespread-gross075,0.3792695367868481,0.18865419212542683,0.38807239309274344
U56,BLOCK5,0.375,1667,u56-quantile50-respread-M,0.3792695367868481,0.17453674123661178,0.3808819630069225
U56,BLOCK5,0.375,1667,u56-top20-band-m20,0.3792695367868481,0.2534708314454475,0.3813746035104797
U56,BLOCK5,0.375,1667,u56-top20-g065-M,0.3792695367868481,0.23377698892005366,0.38233758554602953
U56,BLOCK5,0.375,1667,u56-v2band-gross100,0.3792695367868481,0.2381804853755669,0.3924344458479294
