statistic,auc_degenerate_below_live,degen_mean,live_mean
range_S,1.0,0.0037850691132964576,0.14279502260604282
R,1.0,0.005474637913129487,0.245823004776561
R_corr,0.5185185185185185,0.8334448245127101,0.8775138188315947
rho_S,0.0,0.9999546391369746,0.9176203795961422
