book,pass4a,pass4b,bar_s_DD,bar_s_CAGR,bar_s_OOS
RULES v2 (live),0,0,-0.20230354065372144,0.10577921533914122,0.872122672456382
RULES v1 (previous),0,0,-0.20230354065372144,0.10577921533914122,0.872122672456382
SPY,0,0,-0.20230354065372144,0.10577921533914122,0.872122672456382
