L,panel,window,rate,f
1,U56,W252,0.125,0.0039682539682539
1,U56,W504,0.125,0.0019841269841269
1,U56,W1008,0.16666666666666666,0.0009920634920634
1,U56,WFULL,0.16666666666666666,0.0004982561036372
1,B136,W252,0.125,0.0039682539682539
1,B136,W504,0.125,0.0019841269841269
1,B136,W1008,0.20833333333333334,0.0009920634920634
1,B136,WFULL,0.16666666666666666,0.0004982561036372
1,SMALL,W252,0.25,0.0039682539682539
1,SMALL,W504,0.20833333333333334,0.0019841269841269
1,SMALL,W1008,0.16666666666666666,0.0009920634920634
1,SMALL,WFULL,0.125,0.0006657789613848
2,U56,W252,0.125,0.0079365079365079
2,U56,W504,0.125,0.0039682539682539
2,U56,W1008,0.16666666666666666,0.0019841269841269
2,U56,WFULL,0.16666666666666666,0.0009965122072745
2,B136,W252,0.125,0.0079365079365079
2,B136,W504,0.125,0.0039682539682539
2,B136,W1008,0.20833333333333334,0.0019841269841269
2,B136,WFULL,0.20833333333333334,0.0009965122072745
2,SMALL,W252,0.20833333333333334,0.0079365079365079
2,SMALL,W504,0.16666666666666666,0.0039682539682539
2,SMALL,W1008,0.16666666666666666,0.0019841269841269
2,SMALL,WFULL,0.125,0.0013315579227696
5,U56,W252,0.125,0.0198412698412698
5,U56,W504,0.16666666666666666,0.0099206349206349
5,U56,W1008,0.16666666666666666,0.0049603174603174
5,U56,WFULL,0.20833333333333334,0.0024912805181863
5,B136,W252,0.16666666666666666,0.0198412698412698
5,B136,W504,0.125,0.0099206349206349
5,B136,W1008,0.25,0.0049603174603174
5,B136,WFULL,0.25,0.0024912805181863
5,SMALL,W252,0.20833333333333334,0.0198412698412698
5,SMALL,W504,0.20833333333333334,0.0099206349206349
5,SMALL,W1008,0.16666666666666666,0.0049603174603174
5,SMALL,WFULL,0.125,0.0033288948069241
10,U56,W252,0.20833333333333334,0.0396825396825396
10,U56,W504,0.16666666666666666,0.0198412698412698
10,U56,W1008,0.16666666666666666,0.0099206349206349
10,U56,WFULL,0.20833333333333334,0.0049825610363726
10,B136,W252,0.16666666666666666,0.0396825396825396
10,B136,W504,0.125,0.0198412698412698
10,B136,W1008,0.25,0.0099206349206349
10,B136,WFULL,0.25,0.0049825610363726
10,SMALL,W252,0.16666666666666666,0.0396825396825396
10,SMALL,W504,0.20833333333333334,0.0198412698412698
10,SMALL,W1008,0.16666666666666666,0.0099206349206349
10,SMALL,WFULL,0.125,0.0066577896138482
21,U56,W252,0.20833333333333334,0.0833333333333333
21,U56,W504,0.16666666666666666,0.0416666666666666
21,U56,W1008,0.16666666666666666,0.0208333333333333
21,U56,WFULL,0.20833333333333334,0.0104633781763826
21,B136,W252,0.16666666666666666,0.0833333333333333
21,B136,W504,0.16666666666666666,0.0416666666666666
21,B136,W1008,0.25,0.0208333333333333
21,B136,WFULL,0.25,0.0104633781763826
21,SMALL,W252,0.16666666666666666,0.0833333333333333
21,SMALL,W504,0.16666666666666666,0.0416666666666666
21,SMALL,W1008,0.20833333333333334,0.0208333333333333
21,SMALL,WFULL,0.16666666666666666,0.0139813581890812
42,U56,W252,0.20833333333333334,0.1666666666666666
42,U56,W504,0.20833333333333334,0.0833333333333333
42,U56,W1008,0.25,0.0416666666666666
42,U56,WFULL,0.25,0.0209267563527653
42,B136,W252,0.20833333333333334,0.1666666666666666
42,B136,W504,0.125,0.0833333333333333
42,B136,W1008,0.25,0.0416666666666666
42,B136,WFULL,0.2916666666666667,0.0209267563527653
42,SMALL,W252,0.16666666666666666,0.1666666666666666
42,SMALL,W504,0.20833333333333334,0.0833333333333333
42,SMALL,W1008,0.3333333333333333,0.0416666666666666
42,SMALL,WFULL,0.16666666666666666,0.0279627163781624
63,U56,W252,0.20833333333333334,0.25
63,U56,W504,0.20833333333333334,0.125
63,U56,W1008,0.25,0.0625
63,U56,WFULL,0.25,0.0313901345291479
63,B136,W252,0.20833333333333334,0.25
63,B136,W504,0.125,0.125
63,B136,W1008,0.25,0.0625
63,B136,WFULL,0.2916666666666667,0.0313901345291479
63,SMALL,W252,0.125,0.25
63,SMALL,W504,0.20833333333333334,0.125
63,SMALL,W1008,0.2916666666666667,0.0625
63,SMALL,WFULL,0.16666666666666666,0.0419440745672436
126,U56,W252,0.4166666666666667,0.5
126,U56,W504,0.25,0.25
126,U56,W1008,0.2916666666666667,0.125
126,U56,WFULL,0.2916666666666667,0.0627802690582959
126,B136,W252,0.5,0.5
126,B136,W504,0.20833333333333334,0.25
126,B136,W1008,0.25,0.125
126,B136,WFULL,0.2916666666666667,0.0627802690582959
126,SMALL,W252,0.2916666666666667,0.5
126,SMALL,W504,0.16666666666666666,0.25
126,SMALL,W1008,0.2916666666666667,0.125
126,SMALL,WFULL,0.16666666666666666,0.0838881491344873
252,U56,W252,1.0,1.0
252,U56,W504,0.4166666666666667,0.5
252,U56,W1008,0.3333333333333333,0.25
252,U56,WFULL,0.3333333333333333,0.1255605381165919
252,B136,W252,1.0,1.0
252,B136,W504,0.375,0.5
252,B136,W1008,0.2916666666666667,0.25
252,B136,WFULL,0.2916666666666667,0.1255605381165919
252,SMALL,W252,1.0,1.0
252,SMALL,W504,0.2916666666666667,0.5
252,SMALL,W1008,0.3333333333333333,0.25
252,SMALL,WFULL,0.25,0.1677762982689747
