panel,r_target,n_elig_med,n_elig_p10,n_elig_p90,n_fixed,FIXED_r_mean,FIXED_r_sd,FIXED_r_p10,FIXED_r_p90,FIXED_sat,DYN_r_mean,DYN_r_sd,DYN_r_p10,DYN_r_p90,DYN_sat,DYN_n_min,DYN_n_max
U56,0.05,41.0,18.10000000000001,48.0,2,0.06668262908987851,0.05500756555377052,0.041666666666666664,0.11052631578947354,0.0,0.05329451326750014,0.022536420234240823,0.041666666666666664,0.0643145161290322,0.0,1.0,3.0
U56,0.1,41.0,18.10000000000001,48.0,4,0.13336525817975703,0.11001513110754103,0.08333333333333333,0.22105263157894708,0.0021691973969631237,0.10160806752186882,0.016075136690245347,0.08888888888888889,0.1111111111111111,0.0,1.0,6.0
U56,0.2,41.0,18.10000000000001,48.0,8,0.26673051635951406,0.22003026221508207,0.16666666666666666,0.44210526315789417,0.027114967462039046,0.20028138666826031,0.012270513327044989,0.19047619047619047,0.21052631578947367,0.0,1.0,11.0
U56,0.35,41.0,18.10000000000001,48.0,14,0.4667784036291496,0.3850529588763937,0.2916666666666667,0.7736842105263149,0.06616052060737528,0.349968958759917,0.011687588745653578,0.3404255319148936,0.3611111111111111,0.0,1.0,19.0
U56,0.5,41.0,18.10000000000001,48.0,20,0.6668262908987852,0.5500756555377052,0.4166666666666667,1.1052631578947356,0.12255965292841649,0.4993121525278774,0.015870783304504192,0.4864864864864865,0.5128205128205128,0.0,2.0,28.0
U56,0.75,41.0,18.10000000000001,48.0,31,1.033580750893117,0.8526172660834431,0.6458333333333334,1.7131578947368402,0.22125813449023862,0.7496975666867278,0.012479424592096128,0.7391304347826086,0.7619047619047619,0.0,2.0,41.0
U56,1.0,41.0,18.10000000000001,48.0,41,1.3669938963425092,1.1276550938522956,0.8541666666666666,2.2657894736842077,0.5260303687635575,1.0,0.0,1.0,1.0,1.0,3.0,55.0
B136,0.05,99.0,48.0,116.0,5,0.07208812198376391,0.09491820937843043,0.04310344827586207,0.10416666666666667,0.002171552660152009,0.05191807980027562,0.014065339126060741,0.045871559633027525,0.0547945205479452,0.0,1.0,6.0
B136,0.1,99.0,48.0,116.0,10,0.14417624396752782,0.18983641875686086,0.08620689655172414,0.20833333333333334,0.011943539630836048,0.10044491648341594,0.00997122907478059,0.09574468085106383,0.10434782608695652,0.0,1.0,13.0
B136,0.2,99.0,48.0,116.0,20,0.28835248793505563,0.3796728375137217,0.1724137931034483,0.4166666666666667,0.0249728555917481,0.20014981338045765,0.007586943563369239,0.1958762886597938,0.20430107526881722,0.0,1.0,25.0
