panel,chooser,ladder,key,N,H,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_CAGR,full_Sharpe,full_MaxDD,H1,H2,turnover,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,live_OOS_Sharpe,live_OOS_MaxDD,pass4b_full,pass4b_oos,pass4a
U56,C_L3,L3,IS_Sharpe,12,21,1.1986787696147367,0.15865057980261565,-0.13930562617829234,0.17499450645220782,1.1388834292542345,-0.1947756323213694,0.1675882268480955,1.1603154950668024,-0.1947756323213694,1.2464960628002033,1.0988026627685472,7.188019524683557,0.15150873781069918,0.8684062229066973,-0.33717235283398317,1.2714387324337506,-0.12054948821512845,True,True,False
U56,C_L7,L7,IS_Sharpe,15,90,1.3340059005202978,0.18060622455394748,-0.13504099796456148,0.1804108700385243,1.1033319795223666,-0.24879832282800907,0.18049905238577657,1.1888776924812217,-0.24879832282800884,1.4267990881570245,1.0232269392223408,3.5264827858854177,0.15150873781069918,0.8684062229066973,-0.33717235283398317,1.2714387324337506,-0.12054948821512845,False,False,False
U56,C_LFINE,LFINE,IS_Sharpe,15,90,1.3340059005202978,0.18060622455394748,-0.13504099796456148,0.1804108700385243,1.1033319795223666,-0.24879832282800907,0.18049905238577657,1.1888776924812217,-0.24879832282800884,1.4267990881570245,1.0232269392223408,3.5264827858854177,0.15150873781069918,0.8684062229066973,-0.33717235283398317,1.2714387324337506,-0.12054948821512845,False,False,False
U56,C_LFINE_CAGR,LFINE,IS_CAGR,5,57,1.2791641382670889,0.22728054811767695,-0.1958301693265937,0.24370456176383448,1.1425867695762824,-0.2488499059069923,0.2362634427085306,1.1916839563564516,-0.24884990590699219,1.3217176107808095,1.1062512329229826,4.7054986493768505,0.15150873781069918,0.8684062229066973,-0.33717235283398317,1.2714387324337506,-0.12054948821512845,False,False,False
U56,C_LFINE_DD,LFINE,IS_MaxDD,40,21,1.0562943520935246,0.10912517881473982,-0.10750447784843065,0.12953409823232587,1.1242721088311236,-0.19270195291192804,0.12027507467123666,1.0940044874442199,-0.1927019529119277,1.1666715796499576,1.039058223411482,4.775864431792791,0.15150873781069918,0.8684062229066973,-0.33717235283398317,1.2714387324337506,-0.12054948821512845,True,True,False
B136,C_L3,L3,IS_Sharpe,5,63,1.4240583789769876,0.27656712388609517,-0.19047632162583106,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,5.553996196593816,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878,-0.12240985403190019,False,False,False
B136,C_L7,L7,IS_Sharpe,5,63,1.4240583789769876,0.27656712388609517,-0.19047632162583106,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,5.553996196593816,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878,-0.12240985403190019,False,False,False
B136,C_LFINE,LFINE,IS_Sharpe,5,69,1.5110728569992622,0.29360035221751635,-0.1939212492575192,0.1850951848453013,0.8393280658963237,-0.3101376393521792,0.23293404315925703,1.091149578238931,-0.31013763935217964,1.6364114197657404,0.7073477619140388,4.870676670585551,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878,-0.12240985403190019,False,False,False
B136,C_LFINE_CAGR,LFINE,IS_CAGR,5,69,1.5110728569992622,0.29360035221751635,-0.1939212492575192,0.1850951848453013,0.8393280658963237,-0.3101376393521792,0.23293404315925703,1.091149578238931,-0.31013763935217964,1.6364114197657404,0.7073477619140388,4.870676670585551,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878,-0.12240985403190019,False,False,False
B136,C_LFINE_DD,LFINE,IS_MaxDD,15,26,1.2880313741367238,0.1938010354630395,-0.1216122307963603,0.15849290879123656,0.9272315467324839,-0.26430472897369617,0.1743111564559301,1.0696657482096652,-0.26430472897369617,1.3797943779247102,0.8335710090921148,7.425945066832368,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.105887869727878,-0.12240985403190019,False,False,False
