driver,control,rho,rho_all,n,perm_p,expected_sign,sign_ok,note
D_COVER,X_NONE,0.33569260893067093,0.36872562355650085,56,0.008995502248875561,1,True,
D_COVER,X_PANEL,0.10773721812059657,0.14985596238425677,56,,1,True,U56:+0.252 B136:-0.109 SMALL:+0.180
D_COVER,X_GAP,0.35011457981634975,0.4050754350632308,56,,1,True,"rho(driver,gap)=+0.040"
D_COVER,X_ORDER,,,56,,1,False,order destroyed
D_TIES,X_NONE,-0.5329403759559392,-0.468744946809495,56,0.0004997501249375312,1,False,
D_TIES,X_PANEL,-0.6013126232931979,-0.4890210726096804,56,,1,False,U56:-0.472 B136:-0.501 SMALL:-0.831
D_TIES,X_GAP,-0.5124804294821278,-0.4402610349498774,56,,1,False,"rho(driver,gap)=+0.221"
D_TIES,X_ORDER,0.3253203784646655,0.34670684052897316,56,0.022988505747126436,1,True,order destroyed
D_RECOV,X_NONE,0.08580272726472832,0.1270631230612862,56,0.5337331334332833,-1,False,
D_RECOV,X_PANEL,-0.06455540994647839,-0.04912507679974768,56,,-1,True,U56:+0.153 B136:-0.008 SMALL:-0.339
D_RECOV,X_GAP,0.08580131820143137,0.12458464956864204,56,,-1,False,"rho(driver,gap)=-0.008"
D_RECOV,X_ORDER,0.0021190061190133357,0.09566762337072372,56,0.9855072463768116,-1,False,order destroyed
D_EPISODE,X_NONE,-0.3244288172121184,-0.36015785214648344,56,0.013493253373313344,-1,True,
D_EPISODE,X_PANEL,-0.08807102508875975,-0.10577694254783747,56,,-1,True,U56:-0.251 B136:+0.109 SMALL:-0.122
D_EPISODE,X_GAP,-0.34157823764718076,-0.398364655943709,56,,-1,True,"rho(driver,gap)=-0.054"
D_EPISODE,X_ORDER,-0.3085493600819617,-0.3727559957026,56,0.0239880059970015,-1,True,order destroyed
