corpus,cost_bps,dial,mode,mode_share,n_books,distinct,incumbent,mode_is_incumbent
A,5,GROSS,1.0,0.9433962264150944,53,3,0.75,False
A,5,N,20,0.20754716981132076,53,9,20,True
A,5,BAND,0.08,0.7547169811320755,53,5,0.0,False
A,5,CADENCE,M,0.7358490566037735,53,4,W,False
A,5,SLEEVE,0.3,1.0,53,1,0.0,False
A,10,GROSS,1.0,0.9433962264150944,53,4,0.75,False
A,10,N,20,0.22641509433962265,53,10,20,True
A,10,BAND,0.08,0.8113207547169812,53,5,0.0,False
A,10,CADENCE,M,0.8301886792452831,53,4,W,False
A,10,SLEEVE,0.3,1.0,53,1,0.0,False
A,15,GROSS,1.0,0.9433962264150944,53,4,0.75,False
A,15,N,20,0.20754716981132076,53,10,20,True
A,15,BAND,0.08,0.8490566037735849,53,5,0.0,False
A,15,CADENCE,M,0.8679245283018868,53,3,W,False
A,15,SLEEVE,0.3,1.0,53,1,0.0,False
A,20,GROSS,1.0,0.9433962264150944,53,3,0.75,False
A,20,N,20,0.22641509433962265,53,10,20,True
A,20,BAND,0.08,0.8679245283018868,53,5,0.0,False
A,20,CADENCE,M,0.8679245283018868,53,2,W,False
A,20,SLEEVE,0.3,1.0,53,1,0.0,False
A,25,GROSS,1.0,0.9433962264150944,53,3,0.75,False
A,25,N,50,0.24528301886792453,53,10,20,False
A,25,BAND,0.08,0.8867924528301887,53,5,0.0,False
A,25,CADENCE,M,0.8113207547169812,53,2,W,False
A,25,SLEEVE,0.3,1.0,53,1,0.0,False
B,5,GROSS,1.0,0.8434782608695652,115,7,0.75,False
B,5,N,15,0.25217391304347825,115,10,20,False
B,5,BAND,0.08,0.6695652173913044,115,5,0.0,False
B,5,CADENCE,M,0.8869565217391304,115,4,W,False
B,5,SLEEVE,0.3,0.8782608695652174,115,3,0.0,False
B,10,GROSS,1.0,0.8434782608695652,115,7,0.75,False
B,10,N,15,0.23478260869565218,115,10,20,False
B,10,BAND,0.08,0.6869565217391305,115,5,0.0,False
B,10,CADENCE,M,0.8869565217391304,115,3,W,False
B,10,SLEEVE,0.3,0.8782608695652174,115,3,0.0,False
B,15,GROSS,1.0,0.8434782608695652,115,8,0.75,False
B,15,N,15,0.24347826086956523,115,10,20,False
B,15,BAND,0.08,0.7043478260869566,115,5,0.0,False
B,15,CADENCE,M,0.8782608695652174,115,3,W,False
B,15,SLEEVE,0.3,0.8956521739130435,115,3,0.0,False
B,20,GROSS,1.0,0.8434782608695652,115,7,0.75,False
B,20,N,15,0.2,115,10,20,False
B,20,BAND,0.08,0.7130434782608696,115,5,0.0,False
B,20,CADENCE,M,0.8608695652173913,115,3,W,False
B,20,SLEEVE,0.3,0.8956521739130435,115,3,0.0,False
B,25,GROSS,1.0,0.8347826086956521,115,7,0.75,False
B,25,N,25,0.19130434782608696,115,10,20,False
B,25,BAND,0.08,0.7304347826086957,115,5,0.0,False
B,25,CADENCE,M,0.8695652173913043,115,3,W,False
B,25,SLEEVE,0.3,0.9043478260869565,115,3,0.0,False
