script,line,calls,N_min,N_max,p_min,p_max,m_min,m_med,m_max,size1_cells,fac_max,fac_wmean
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,148,212,42,1152,2,70,5.0,20.0,576.0,0,1.25,1.0697543722151428
2026-09-08_the-mid-tercile-band_cloud.py,340,8,1203,1696,3,92,1.0,90.5,632.0,11,2.0,1.029078715185628
2026-09-08_why-the-035-045-share-window-dips_cloud.py,295,1,560,560,70,70,5.0,8.0,11.0,0,1.25,1.1468750000000003
