L,step,rung,conv,scope,n_win,share_exact,share_top,share_bottom,share_reverse,share_tied,med_rho,modal,modal_share
252,21,10.0,FULLMATCH,POOLED3,200,0.29,0.445,0.545,0.025,0.09,0.5,QROLL > QEXP > ABS,0.29
252,21,10.0,FULLMATCH,REPRO2,200,0.18,0.34,0.365,0.065,0.17,0.5,QEXP > QROLL > ABS,0.185
252,63,10.0,FULLMATCH,POOLED3,67,0.2835820895522388,0.43283582089552236,0.5373134328358209,0.014925373134328358,0.05970149253731343,0.5,QROLL > QEXP > ABS,0.2835820895522388
252,63,10.0,FULLMATCH,REPRO2,67,0.14925373134328357,0.2835820895522388,0.34328358208955223,0.04477611940298507,0.1791044776119403,0.5,QEXP > QROLL > ABS,0.19402985074626866
252,126,10.0,FULLMATCH,POOLED3,34,0.20588235294117646,0.38235294117647056,0.47058823529411764,0.029411764705882353,0.08823529411764706,0.5,QEXP > QROLL > ABS,0.2647058823529412
252,126,10.0,FULLMATCH,REPRO2,34,0.11764705882352941,0.2647058823529412,0.3235294117647059,0.058823529411764705,0.17647058823529413,0.5,QEXP > QROLL > ABS,0.20588235294117646
252,252,10.0,FULLMATCH,POOLED3,17,0.17647058823529413,0.4117647058823529,0.4117647058823529,0.058823529411764705,0.11764705882352941,0.5,QEXP > QROLL > ABS,0.23529411764705882
252,252,10.0,FULLMATCH,REPRO2,17,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.0,TIED,0.23529411764705882
504,21,10.0,FULLMATCH,POOLED3,188,0.23404255319148937,0.574468085106383,0.5425531914893617,0.0,0.06914893617021277,0.5,QROLL > ABS > QEXP,0.3404255319148936
504,21,10.0,FULLMATCH,REPRO2,188,0.17553191489361702,0.5797872340425532,0.3829787234042553,0.0,0.09042553191489362,0.5,QROLL > ABS > QEXP,0.40425531914893614
504,63,10.0,FULLMATCH,POOLED3,63,0.23809523809523808,0.6190476190476191,0.5238095238095238,0.0,0.047619047619047616,0.5,QROLL > ABS > QEXP,0.38095238095238093
504,63,10.0,FULLMATCH,REPRO2,63,0.14285714285714285,0.5714285714285714,0.31746031746031744,0.0,0.14285714285714285,0.5,QROLL > ABS > QEXP,0.42857142857142855
504,126,10.0,FULLMATCH,POOLED3,32,0.1875,0.625,0.46875,0.0,0.0625,0.5,QROLL > ABS > QEXP,0.4375
504,126,10.0,FULLMATCH,REPRO2,32,0.09375,0.5625,0.28125,0.0,0.09375,0.5,QROLL > ABS > QEXP,0.46875
504,252,10.0,FULLMATCH,POOLED3,16,0.1875,0.625,0.4375,0.0,0.0625,0.5,QROLL > ABS > QEXP,0.4375
