panel,cost,breadth,max_share,rho_all,rho_n5_40,rows_n5_40,n_in_share_win,rho_share05_40,rows_share
broad,10.0,98,0.612,0.5145863207621238,0.34785530786022,48,"[5,30]",0.29857865986091453,42
broad,25.0,98,0.612,0.4217796969296587,0.29272352321822287,48,"[5,30]",0.2504524942912277,42
small,10.0,153,0.392,0.2957739556286695,0.10960723851444668,48,"[8,60]",-0.0026253230781903393,48
small,25.0,153,0.392,0.08450684446533414,-0.08204134619344809,48,"[8,60]",-0.069571061572044,48
u56,10.0,40,1.0,0.6774895897964063,0.6635504080126082,48,"[2,15]",0.29122106322663294,36
u56,25.0,40,1.0,0.6235450675623699,0.6215452387615629,48,"[2,15]",0.23642140079151383,36
