panel,t,n,b4F,b4O,b4B,a4F,a4O,tw4F,tw4O
U56,0.08,20,0.05,0.55,0.05,0.0,0.0,0.4,0.2
U56,0.1,20,0.9,0.9,0.9,0.0,0.0,0.0,0.0
U56,0.12,20,0.8,0.8,0.8,0.0,0.0,0.0,0.0
U56,0.16,20,0.25,0.25,0.25,0.0,0.0,0.0,0.0
U56,0.2,20,0.05,0.05,0.05,0.0,0.0,0.0,0.0
B136,0.08,20,0.0,0.15,0.0,0.2,0.15,0.0,0.0
B136,0.1,20,0.9,0.85,0.85,0.0,0.0,0.0,0.0
B136,0.12,20,0.75,0.75,0.75,0.0,0.0,0.0,0.0
B136,0.16,20,0.4,0.4,0.4,0.0,0.0,0.0,0.0
B136,0.2,20,0.2,0.2,0.2,0.0,0.0,0.0,0.0
SMALL665,0.08,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,0.12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,0.16,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL665,0.2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
