panel,cadence,m,reb_per_yr,turn_per_yr,names,gross,CAGR_0,Sharpe_0,MaxDD_0,H1_0,H2_0,OOS_Sharpe_0,OOS_CAGR_0,OOS_MaxDD_0,IS_Sharpe_0,keep4b_0,fail4b_0,keep4a_0,fail4a_0,m4b_H1_0,m4b_H2_0,m4b_OOS_0,m4b_DD_0,m4b_CAGR_0,m4a_H1_0,m4a_H2_0,m4a_DD_0,CAGR_10,Sharpe_10,MaxDD_10,H1_10,H2_10,OOS_Sharpe_10,OOS_CAGR_10,OOS_MaxDD_10,IS_Sharpe_10,keep4b_10,fail4b_10,keep4a_10,fail4a_10,m4b_H1_10,m4b_H2_10,m4b_OOS_10,m4b_DD_10,m4b_CAGR_10,m4a_H1_10,m4a_H2_10,m4a_DD_10,CAGR_25,Sharpe_25,MaxDD_25,H1_25,H2_25,OOS_Sharpe_25,OOS_CAGR_25,OOS_MaxDD_25,IS_Sharpe_25,keep4b_25,fail4b_25,keep4a_25,fail4a_25,m4b_H1_25,m4b_H2_25,m4b_OOS_25,m4b_DD_25,m4b_CAGR_25,m4a_H1_25,m4a_H2_25,m4a_DD_25,breakeven_bps,breakeven_first_fail
B80held,D,0,252.00000000000003,32.415014499473855,19.41090335661185,0.7445933768866861,0.10938601584102603,0.8316330346099524,-0.24224161005637168,0.9812485236102344,0.6847662716068119,0.8103546293186824,0.10445270223478431,-0.24224161005637168,0.8565862926178683,False,"H2,OOS,DD",False,"H1,H2,DD",0.024610125674559336,-0.14926642022902326,-0.07166929427854918,-0.03994589021201364,0.002787679339009766,-0.23829447445200147,-0.13749542048478403,-0.11769897055801182,0.07400215236166674,0.5930923182104599,-0.2537539818534855,0.7364064875672476,0.4524475487701816,0.5741576434417278,0.07015166910407244,-0.24828017570337746,0.6152782459896452,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.22023191036842749,-0.38158514306565355,-0.30786628015550377,-0.05145826200912748,-0.032596184140349524,-0.45817529437354776,-0.3380444893020305,-0.1288643868078727,0.023018516757274954,0.2356207925301649,-0.3506805016303832,0.3693636152328632,0.1044139572020451,0.22029243002095833,0.02067576151983075,-0.3506805016303842,0.2535524222279552,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.5872747827028119,-0.7296187346337901,-0.6617314935762733,-0.14838478178602518,-0.08357981974474131,-0.7877410989037064,-0.6383859819950339,-0.22527058821986723,-1,"H2,OOS,DD"
B80held,D,10,252.00000000000003,13.59930431884146,19.41090335661185,0.7445933768866861,0.11572700208373421,0.8696968439400613,-0.251011104474258,1.0195064718117004,0.7229817979147997,0.8450685602791516,0.11034787280938452,-0.2510111044742578,0.8986176363348517,False,"H2,OOS,DD",False,"H1,H2,DD",0.06286807387602533,-0.11105089392103551,-0.036955363318080026,-0.048715384629899966,0.009128665581717946,-0.20003652625053547,-0.09927989417679628,-0.12646846497589814,0.10065313747770221,0.7699889014930325,-0.2561242450792066,0.9138396016824043,0.6291521524806737,0.7510585023804577,0.09642002728732835,-0.2561242450792063,0.7922245830569564,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.042798796253270766,-0.20488053935516148,-0.1309654212167739,-0.05382852523484857,-0.005945199024314049,-0.28074218025839104,-0.16133988559153845,-0.1312346500335938,0.07841741962408588,0.6204208018313254,-0.271687787633467,0.755215099782855,0.488497917480836,0.6101028700894611,0.07585056123621259,-0.2637358208054087,0.63254889919016,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.20142329815282012,-0.3455347743549992,-0.2719210535077705,-0.06939206778910897,-0.02818091687793038,-0.4018896143537146,-0.2543020217162431,-0.14627787422295102,-1,"H2,OOS,DD"
B80held,D,20,252.00000000000003,11.69080221470173,19.41090335661185,0.7445933768866861,0.11127108118337814,0.8400297123763043,-0.24592490620702634,1.0103216236546149,0.6741609122874895,0.8101165579807522,0.10545282632922803,-0.24592490620702656,0.875264672235047,False,"H2,OOS,DD",False,"H1,H2,DD",0.0536832257189398,-0.15987177954834564,-0.07190736561647937,-0.0436291863626683,0.004672744681361876,-0.209221374407621,-0.1481007798041064,-0.12138226670866648,0.09835094976217018,0.7543408525102117,-0.2537539818534855,0.9195119830585083,0.5935262168066737,0.7297781760329469,0.09356443182210272,-0.25085141751216133,0.7832766925571899,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.037126414877166725,-0.24050647502916145,-0.15224574756428466,-0.05145826200912748,-0.008247386739846083,-0.275069798882287,-0.1969658212655384,-0.1288643868078727,0.07924647709836319,0.6257824005700487,-0.271687787633467,0.783129777967938,0.47266263668885783,0.6093333189018986,0.07596708597566137,-0.25818796509682684,0.6451583367331419,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.17350861996773703,-0.36137005514697734,-0.272690604695333,-0.06939206778910897,-0.027351859403653075,-0.37397493616863153,-0.27013730250822127,-0.14627787422295102,-1,"H2,OOS,DD"
B80held,D,40,252.00000000000003,10.891864595406057,19.41090335661185,0.7445933768866861,0.11328011090758006,0.8601118010432799,-0.24156356121408606,0.9557054442998006,0.7675462234954284,0.8867028361897014,0.11629347018959058,-0.24052227744611376,0.828387468496371,False,"H1,H2,DD",False,"H1,H2,DD",-0.0009329536358744228,-0.06648646834040672,0.004678912592469775,-0.039267841369728024,0.006681774405563792,-0.26383755376243523,-0.054715468596167494,-0.1170209217157262,0.10121561924157141,0.7794760128439548,-0.2537539818534855,0.8705006647873664,0.6913651557021742,0.8110807110169514,0.10506119315082008,-0.24564874792138103,0.7417913096322952,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.08613773314830864,-0.142667536133661,-0.07094321258028013,-0.05145826200912748,-0.005382717260444855,-0.3240811171534289,-0.09912688237003797,-0.1288643868078727,0.0833583448355435,0.6584874217369912,-0.271687787633467,0.7425486623175542,0.5771483503307413,0.6976795425579744,0.08842040042379762,-0.25329725585577334,0.6117832033072041,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.21408973561812084,-0.25688434150509387,-0.1843443810392572,-0.06939206778910897,-0.023239991666472767,-0.41455605181901534,-0.1656515888663378,-0.14627787422295102,-1,"H1,H2,DD"
B80held,W,0,52.2847488173012,12.766785168212545,19.40910114890741,0.7452808212875257,0.11430536734843066,0.8590487766961884,-0.28937612932757684,1.0948883954729172,0.6275266588234953,0.7562151710937819,0.09708910477773403,-0.2893761293275767,0.9791945474771577,False,"H2,OOS,DD",False,"H1,H2,DD",0.1382499975372421,-0.20650603301233983,-0.1258087525034497,-0.0870804094832188,0.0077070308464144005,-0.12465460258931871,-0.1947350332681006,-0.16483348982921697,0.10016248627547863,0.7654561086939001,-0.29207329997622944,1.0003018312895207,0.5350181721136881,0.6614755446465327,0.083243174573572,-0.29207329997622933,0.8869635405721722,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.04366343335384559,-0.2990145197221471,-0.2205483789506989,-0.0897775801318714,-0.006435850226537629,-0.19427995065127468,-0.25547386595852406,-0.16718370493061663,0.07927574452733777,0.6250389450496879,-0.2961046080883225,0.8582191058169273,0.3963894028441235,0.5194461388619077,0.06279330953382489,-0.2961046080883224,0.748467701677909,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD",-0.09841929211874778,-0.4376432889917117,-0.36257778473532387,-0.09380888824396447,-0.027322591974678498,-0.2988856083196423,-0.3464105363529556,-0.1706946946778065,-1,"H2,OOS,DD"
B80held,W,10,52.2847488173012,6.672343515548294,19.40910114890741,0.7452898156784534,0.1189496746637746,0.8847258006134245,-0.287638419107893,1.1580673837072515,0.6212424582943966,0.7440522622323995,0.0966126585883682,-0.2876384191078927,1.0517657393577067,False,"H2,OOS,DD",False,"H1,H2,DD",0.20142898577157642,-0.21279023354143856,-0.13797166136483208,-0.08534269926353497,0.012351338161758332,-0.06147561435498439,-0.20101923379719933,-0.16309577960953314,0.11149830892692192,0.8358692660007738,-0.2902325233602919,1.1091225973766237,0.5725847697610645,0.6949726190192901,0.08934560907223243,-0.29023252336029215,1.0032353265624983,False,"H2,OOS,DD",False,"H1,H2,DD",0.1524841994409486,-0.26144792207477063,-0.1870513045779415,-0.08793680351593389,0.004899972424905655,-0.08545918456417168,-0.2179072683111476,-0.16534292831467912,0.10041030474465629,0.7625588800820837,-0.29411063044784924,1.0355830529380359,0.4996597120414246,0.6213884009852884,0.07853159910024532,-0.29411063044784946,0.9303404498242709,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.07894465500236081,-0.33437297979441055,-0.2606355226119432,-0.0918149106034912,-0.006188031757359977,-0.12152166119853369,-0.24314022715565448,-0.16870071703733325,-1,"H2,OOS,DD"
B80held,W,20,52.2847488173012,5.53095954556413,19.40910114890741,0.745283807746036,0.11063535349611353,0.8318764195033106,-0.28828274504471785,1.1061463449825002,0.565373978721152,0.7051526421476059,0.09048072379199912,-0.2882827450447182,0.9817388265565888,False,"H2,OOS,DD",False,"H1,H2,DD",0.14950794704682513,-0.26865871311468315,-0.17687128144962572,-0.0859870252003598,0.004037016994097267,-0.11339665307973568,-0.2568877133704439,-0.16374010554635798,0.10449905943098647,0.7912656856207821,-0.2907692892764874,1.0648571779034195,0.5255319430548465,0.6655003802821049,0.0846664219582951,-0.29076928927648726,0.9400427198527795,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.10821877996774443,-0.30850074878098865,-0.2165235433151267,-0.08847356943212933,-0.0020992770710297898,-0.12972460403737585,-0.2649600950173656,-0.16587969423087456,0.09535480040290056,0.730324209729044,-0.29448743473403993,1.002816904475522,0.46581533868958247,0.6060443263646038,0.07600004204522626,-0.29448743473404027,0.8774130497816282,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.0461785065398469,-0.3682173531462527,-0.27597959723262777,-0.09219171488968189,-0.0112435360991157,-0.1542878096610476,-0.2769846005074966,-0.16907752132352394,-1,"H2,OOS,DD"
B80held,W,40,52.2847488173012,4.719033645790636,19.40910114890741,0.7452803399682538,0.1041053306821218,0.7969613745112321,-0.2850583253597577,1.0699871195215322,0.5394242585946671,0.6853339238659556,0.08767268648178272,-0.2850583253597575,0.9328378284493645,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.11334872158585718,-0.29460843324116803,-0.196689999731276,-0.08276260551539968,-0.0024930058198944643,-0.14955587854070362,-0.2828374334969288,-0.16051568586139786,0.09889676226593669,0.7618493139029451,-0.28770690333357973,1.0348359212635152,0.5043846952915509,0.6506650748118077,0.08259151988216784,-0.28770690333358007,0.8972196804417392,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.07819752332784013,-0.3296479965442842,-0.2313588487854239,-0.08541118348922169,-0.007701574236079575,-0.15974586067728014,-0.2861073427806612,-0.16281730828796692,0.09112682090077007,0.7091497008186849,-0.2916663186898383,0.9820115672425866,0.4518485617348503,0.5986655487031715,0.0750114158880626,-0.29166631868983806,0.8437131264178332,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.02537316930691158,-0.3821841301009849,-0.2833583748940601,-0.08937059884548024,-0.015471515601246197,-0.17509314689398292,-0.2909513774622288,-0.16625640527932228,-1,"H2,OOS,DD,CAGR"
B80held,2W,0,26.1139896373057,8.68031493727953,19.41608470376211,0.7455488738185504,0.11895622972631137,0.8847421595205163,-0.2718149378674306,1.1683840591692038,0.6082244896221,0.744832041832805,0.09627057013809526,-0.27181493786743005,1.0491840975668647,False,"H2,OOS,DD",False,"H1,H2,DD",0.21174566123352878,-0.2258082022137352,-0.13719188176442654,-0.06951921802307257,0.012357893224295105,-0.051158938893032024,-0.21403720246949598,-0.14727229836907074,0.1092911855230918,0.8218530517906425,-0.27344278483942597,1.1051446848204942,0.5456923178358992,0.6810798455104312,0.08681461241363597,-0.2734427848394261,0.9873207673156921,False,"H2,OOS,DD",False,"H1,H2,DD",0.14850628688481915,-0.28834037399993595,-0.20094407808680037,-0.07114706499506793,0.0026928490210755412,-0.08943709712030112,-0.2447997202363129,-0.14855318979381316,0.09494268417704044,0.7272629207053926,-0.2761419727458656,1.0099047214769976,0.4517459809308869,0.5852613021576174,0.07277667606291027,-0.2761419727458658,0.8941891514748446,False,"H2,OOS,DD,CAGR",False,"H1,H2,DD",0.05326632354132255,-0.38228671090494826,-0.2967626214396142,-0.07384625290150756,-0.011655652324975826,-0.14719999265957195,-0.2910539582661922,-0.1507320593353496,-1,"H2,OOS,DD"
B80held,2W,10,26.1139896373057,5.085066044632004,19.41608470376211,0.7455555013526108,0.12223541690740802,0.8957090180469648,-0.2794064503614334,1.1687110757835428,0.6380432259839319,0.764917127692427,0.10200168248494013,-0.2794064503614334,1.0543809382158285,False,"H2,OOS,DD",False,"H1,H2,DD",0.21207267784786776,-0.19598946585190324,-0.11710679590480455,-0.07711073051707537,0.01563708040539176,-0.05083192227869304,-0.18421846610766401,-0.15486381086307355,0.11654623211081971,0.8593450158485629,-0.2809092982769317,1.131007058034716,0.6029346403772499,0.7293633911337722,0.09653460938545066,-0.2809092982769318,1.0170396114353293,False,"H2,OOS,DD",False,"H1,H2,DD",0.17436866009904095,-0.2310980514585853,-0.15266053246345934,-0.07861357843257363,0.00994789560880345,-0.06357472390607932,-0.18755739769496227,-0.15601970323131886,0.10806296399102,0.8046705514863587,-0.28341908435829866,1.074248321124531,0.5501989883927718,0.675939998974057,0.08838183143299472,-0.283419084358298,0.9608481597200634,False,"H2,OOS,DD",False,"H1,H2,DD",0.11760992318885599,-0.28383370344306336,-0.2060839246231746,-0.08112336451394062,0.0014646274890037364,-0.08285639301203851,-0.19260095080430728,-0.15800917094778266,-1,"H2,OOS,DD"
