rung,rows,agree_full,rate_full,agree_oos,rate_oos,agree_either,rate_either
R3,35370,17074,0.4827254735651682,5065,0.1432004523607577,17110,0.4837432852700028
R4,227022,197719,0.8709244038022746,124828,0.5498497942930641,197952,0.8719507360520126
