panel,cadence,d,n_reb,n_clamped
U56,Q,0,75,0
U56,Q,1,75,0
U56,Q,2,75,0
U56,Q,3,75,0
U56,Q,4,75,0
U56,Q,5,75,0
U56,Q,6,75,0
U56,Q,7,75,0
U56,Q,8,75,0
U56,Q,9,75,0
U56,Q,10,75,0
U56,Q,11,75,0
U56,Q,12,75,0
U56,Q,13,75,0
U56,Q,14,75,0
U56,Q,15,75,0
U56,Q,16,75,0
U56,Q,17,75,0
U56,Q,18,75,0
U56,Q,19,75,0
U56,Q,20,75,0
U56,Q,21,75,0
U56,Q,22,75,0
U56,Q,23,75,0
U56,Q,24,75,0
U56,Q,25,75,0
U56,Q,26,75,0
U56,Q,27,75,0
U56,Q,28,75,0
U56,Q,29,75,0
U56,Q,30,75,0
U56,Q,31,75,0
U56,Q,32,75,0
U56,Q,33,75,0
U56,Q,34,75,0
U56,Q,35,75,0
U56,Q,36,75,0
U56,Q,37,75,0
U56,Q,38,75,0
U56,Q,39,75,0
U56,Q,40,75,0
U56,Q,41,75,0
U56,Q,42,75,0
U56,Q,43,75,0
U56,Q,44,75,0
U56,Q,45,75,0
U56,Q,46,75,0
U56,Q,47,75,0
U56,Q,48,75,0
U56,Q,49,75,0
U56,Q,50,75,0
U56,Q,51,75,0
U56,Q,52,75,0
U56,Q,53,75,1
U56,Q,54,75,1
U56,Q,55,75,1
U56,Q,56,75,1
U56,Q,57,75,1
U56,Q,58,75,1
U56,Q,59,75,1
U56,Q,60,75,3
U56,Q,61,75,14
U56,Q,62,75,25
U56,M,0,225,0
U56,M,1,225,0
U56,M,2,225,0
U56,M,3,225,0
U56,M,4,225,0
U56,M,5,225,0
U56,M,6,225,0
U56,M,7,225,0
U56,M,8,225,0
U56,M,9,225,0
U56,M,10,225,1
U56,M,11,225,1
U56,M,12,225,1
U56,M,13,225,1
U56,M,14,225,1
U56,M,15,225,1
U56,M,16,225,1
U56,M,17,225,1
U56,M,18,225,1
U56,M,19,225,28
U56,M,20,225,75
U56,W,0,977,0
U56,W,1,977,0
U56,W,2,977,1
U56,W,3,977,3
U56,W,4,977,176
B136,Q,0,75,0
B136,Q,1,75,0
B136,Q,2,75,0
B136,Q,3,75,0
B136,Q,4,75,0
B136,Q,5,75,0
B136,Q,6,75,0
B136,Q,7,75,0
B136,Q,8,75,0
B136,Q,9,75,0
B136,Q,10,75,0
B136,Q,11,75,0
B136,Q,12,75,0
B136,Q,13,75,0
B136,Q,14,75,0
B136,Q,15,75,0
B136,Q,16,75,0
B136,Q,17,75,0
B136,Q,18,75,0
B136,Q,19,75,0
B136,Q,20,75,0
B136,Q,21,75,0
B136,Q,22,75,0
B136,Q,23,75,0
B136,Q,24,75,0
B136,Q,25,75,0
B136,Q,26,75,0
B136,Q,27,75,0
B136,Q,28,75,0
B136,Q,29,75,0
B136,Q,30,75,0
B136,Q,31,75,0
B136,Q,32,75,0
B136,Q,33,75,0
B136,Q,34,75,0
B136,Q,35,75,0
B136,Q,36,75,0
B136,Q,37,75,0
B136,Q,38,75,0
B136,Q,39,75,0
B136,Q,40,75,0
B136,Q,41,75,0
B136,Q,42,75,0
B136,Q,43,75,0
B136,Q,44,75,0
B136,Q,45,75,0
B136,Q,46,75,0
B136,Q,47,75,0
B136,Q,48,75,0
B136,Q,49,75,0
B136,Q,50,75,0
B136,Q,51,75,1
B136,Q,52,75,1
B136,Q,53,75,1
B136,Q,54,75,1
B136,Q,55,75,1
B136,Q,56,75,1
B136,Q,57,75,1
B136,Q,58,75,1
B136,Q,59,75,1
B136,Q,60,75,3
B136,Q,61,75,14
B136,Q,62,75,25
B136,M,0,225,0
B136,M,1,225,0
B136,M,2,225,0
B136,M,3,225,0
B136,M,4,225,0
B136,M,5,225,0
B136,M,6,225,0
B136,M,7,225,0
B136,M,8,225,1
B136,M,9,225,1
B136,M,10,225,1
B136,M,11,225,1
B136,M,12,225,1
B136,M,13,225,1
B136,M,14,225,1
B136,M,15,225,1
B136,M,16,225,1
B136,M,17,225,1
B136,M,18,225,1
B136,M,19,225,28
B136,M,20,225,75
B136,W,0,976,0
B136,W,1,976,0
B136,W,2,976,0
B136,W,3,976,2
B136,W,4,976,175
SMALL,Q,0,67,0
SMALL,Q,1,67,0
SMALL,Q,2,67,0
SMALL,Q,3,67,0
SMALL,Q,4,67,0
SMALL,Q,5,67,0
SMALL,Q,6,67,0
SMALL,Q,7,67,0
SMALL,Q,8,67,0
SMALL,Q,9,67,0
SMALL,Q,10,67,0
SMALL,Q,11,67,0
SMALL,Q,12,67,0
SMALL,Q,13,67,0
SMALL,Q,14,67,0
SMALL,Q,15,67,0
SMALL,Q,16,67,0
SMALL,Q,17,67,0
SMALL,Q,18,67,0
SMALL,Q,19,67,0
SMALL,Q,20,67,0
SMALL,Q,21,67,0
SMALL,Q,22,67,0
SMALL,Q,23,67,0
SMALL,Q,24,67,0
SMALL,Q,25,67,0
SMALL,Q,26,67,0
SMALL,Q,27,67,0
SMALL,Q,28,67,0
SMALL,Q,29,67,0
SMALL,Q,30,67,0
SMALL,Q,31,67,0
SMALL,Q,32,67,0
SMALL,Q,33,67,0
SMALL,Q,34,67,0
SMALL,Q,35,67,0
SMALL,Q,36,67,0
SMALL,Q,37,67,0
SMALL,Q,38,67,0
SMALL,Q,39,67,0
SMALL,Q,40,67,0
SMALL,Q,41,67,0
SMALL,Q,42,67,0
SMALL,Q,43,67,0
SMALL,Q,44,67,0
SMALL,Q,45,67,0
SMALL,Q,46,67,0
SMALL,Q,47,67,0
SMALL,Q,48,67,0
SMALL,Q,49,67,0
SMALL,Q,50,67,0
SMALL,Q,51,67,1
SMALL,Q,52,67,1
SMALL,Q,53,67,1
SMALL,Q,54,67,1
SMALL,Q,55,67,1
SMALL,Q,56,67,1
SMALL,Q,57,67,1
SMALL,Q,58,67,1
SMALL,Q,59,67,1
SMALL,Q,60,67,3
SMALL,Q,61,67,12
SMALL,Q,62,67,23
SMALL,M,0,201,0
SMALL,M,1,201,0
SMALL,M,2,201,0
SMALL,M,3,201,0
SMALL,M,4,201,0
SMALL,M,5,201,0
SMALL,M,6,201,0
SMALL,M,7,201,0
SMALL,M,8,201,1
SMALL,M,9,201,1
SMALL,M,10,201,1
SMALL,M,11,201,1
SMALL,M,12,201,1
SMALL,M,13,201,1
SMALL,M,14,201,1
SMALL,M,15,201,1
SMALL,M,16,201,1
SMALL,M,17,201,1
SMALL,M,18,201,1
SMALL,M,19,201,26
SMALL,M,20,201,68
SMALL,W,0,871,0
SMALL,W,1,871,0
SMALL,W,2,871,0
SMALL,W,3,871,1
SMALL,W,4,871,156
