bench,q,n,of
B_SPY,0.25,41,540
B_SPY,0.5,5,540
B_SPY,0.75,0,540
B_LARGE,0.25,1,540
B_LARGE,0.5,0,540
B_LARGE,0.75,0,540
B_SMALL,0.25,165,540
B_SMALL,0.5,75,540
B_SMALL,0.75,10,540
B_MATCH,0.25,7,540
B_MATCH,0.5,3,540
B_MATCH,0.75,2,540
B_HALF,0.25,17,540
B_HALF,0.5,3,540
B_HALF,0.75,0,540
B_OWN,0.25,15,540
B_OWN,0.5,14,540
B_OWN,0.75,6,540
