support,stat,label,n_panels,k_min,k_max,k_span,uncond_rho_breadth,uncond_rho_Ebar,uncond_rho_k,withinq_rho_Ebar,withinq_signlevels,need_q,withinE_rho_breadth,withinE_signlevels,need_b,partial_Ebar_given_breadth,partial_breadth_given_Ebar,beta_logbreadth,beta_logk,R2,beta_reading,is_nelig,is_breadth,verdict,verdict_sens2,q0.50,q0.75,q1.00,ebin0,ebin1,ebin2,ebin3,ebin4
NARROW q>=0.5 k<=100,S1_rho_n_OOS,"S1 rho(n, OOS Sharpe)      [209/199 size floor]",36,40.0,100.0,2.5,0.6538911085981204,0.36979826808796196,0.09354575918495009,0.10818729050350777,1/3,3,0.48823601250029575,5/5,4,0.18024554441893514,0.5986957013302702,0.6602549261039088,0.12670687813123782,0.44358771669619645,breadth,False,True,breadth,breadth,-0.09680466704823706,0.5026431902238856,-0.08127665166512524,0.19162020190612142,0.6847124716486249,0.5091750772173156,0.8214285714285715,0.23424374030084535
NARROW q>=0.5 k<=100,S2_overlap,S2 INV-vs-NONE top20 overlap [153 book share],36,40.0,100.0,2.5,-0.3737451737451738,-0.9907335907335909,-0.8825200841010357,-0.9766899766899768,3/3,3,-0.39285714285714296,4/5,4,-0.9892396355637365,-0.04162896128406008,-0.4191267547481421,-0.9035706081005906,0.9540658108267522,mixed,True,True,JOINT,JOINT,-0.9720279720279721,-0.9720279720279721,-0.9860139860139862,-0.2142857142857143,0.28571428571428575,-0.7500000000000002,-0.9285714285714288,-0.3571428571428572
NARROW q>=0.5 k<=100,S3_reversal,S3 Sharpe-vs-CAGR reversal   [271/269C],36,40.0,100.0,2.5,0.5882149583046216,0.11375182324876586,-0.16872368941451035,-0.17460065016376802,2/3,3,0.5561216384666559,5/5,4,-0.13991342433962395,0.5919407797263758,0.5812069658686829,-0.13953273215605716,0.3654171085582597,breadth,False,True,breadth,breadth,-0.25842691425290143,0.0750172253201715,-0.3403922615585741,0.30122668294492494,0.8001322641986388,0.8468812149338255,0.7783117824941563,0.054056247761733546
NARROW q>=0.5 k<=100,S4_argmax_n,S4 argmax_n premium vs EWall [155 selectivity],36,40.0,100.0,2.5,0.49302389736157126,0.33364919983346486,0.1124846347599684,0.14118771248811823,1/3,3,0.33601115149112326,3/5,4,0.18607332149567102,0.4215981197941898,0.49993450271583273,0.13759370529389114,0.26195683463973296,mixed,False,False,NULL,breadth,0.0,0.635850784457874,-0.21228764699351932,-0.14824986333222026,0.5052248022814559,0.6614378277661478,0.9177788727679406,-0.2561358820277077
NARROW q>=0.5 k<=100,S5_fix_minus_adapt,S5 fixed n=20 - adaptive n_t [157],36,40.0,100.0,2.5,0.09266409266409266,-0.14414414414414414,-0.2056821876224636,-0.23310023310023312,3/3,3,0.11904761904761907,3/5,4,-0.19324610239579262,0.1592463562191395,0.0825419763281035,-0.20153653995387324,0.04910115376671953,mixed,False,False,NULL,NULL,-0.2517482517482518,-0.18881118881118883,-0.25874125874125875,0.30952380952380953,0.39285714285714296,0.21428571428571433,-0.14285714285714288,-0.1785714285714286
WIDE q>=0.5 k<=400,S1_rho_n_OOS,"S1 rho(n, OOS Sharpe)      [209/199 size floor]",51,40.0,400.0,10.0,0.5842290541373591,0.3569329736752735,0.20166615791518702,0.34930065825859913,3/3,3,0.6127009313837856,5/5,4,0.3722099811620809,0.5913813427495594,0.6291738424406612,0.29690805177804025,0.4274579449132361,mixed,True,True,JOINT,JOINT,0.2371997813315524,0.4751101252093065,0.33559206823493853,0.5570834332722122,0.4923659639173309,0.6463534793182504,0.593297140095872,0.7744046403152623
WIDE q>=0.5 k<=400,S2_overlap,S2 INV-vs-NONE top20 overlap [153 book share],51,40.0,400.0,10.0,-0.09429864253393665,-0.9964705882352941,-0.9557769638951926,-0.9885436630792667,3/3,3,-0.1103030303030303,3/5,4,-0.9964402588488078,0.01976126209572291,-0.24458504922428345,-0.9928012991858907,0.9719606496130394,k,True,False,n_elig,n_elig,-0.982142857142857,-0.9896800825593396,-0.9938080495356036,-0.3090909090909091,-0.17575757575757575,-0.6848484848484848,0.13939393939393938,0.4787878787878787
WIDE q>=0.5 k<=400,S3_reversal,S3 Sharpe-vs-CAGR reversal   [271/269C],51,40.0,400.0,10.0,0.5486109139424589,-0.10599256097913538,-0.26741142942987245,-0.25174403392118033,3/3,3,0.6082399545604765,5/5,4,-0.1908428860797871,0.564606106254573,0.5200479681478144,-0.18868858679898567,0.3357614758125105,mixed,False,True,breadth,breadth,-0.4683919572761957,-0.0777019480122553,-0.20913819647509,0.620730661326799,0.8196063584829573,0.40776601233866383,0.725623245649734,0.4674734950042285
WIDE q>=0.5 k<=400,S4_argmax_n,S4 argmax_n premium vs EWall [155 selectivity],51,40.0,400.0,10.0,0.5022017877491596,0.25196975509905933,0.12023381530390004,0.2074242695751143,2/3,3,0.4672310004147163,5/5,4,0.23655781709945925,0.4961800997243406,0.5326068578480281,0.2008577739049344,0.2916260126687805,mixed,False,True,breadth,breadth,0.2134465236485442,0.48754398793946824,-0.07871770286266948,0.21087058391832497,0.5526794237662058,0.38392124695842517,0.36870592067941615,0.8199778267512093
WIDE q>=0.5 k<=400,S5_fix_minus_adapt,S5 fixed n=20 - adaptive n_t [157],51,40.0,400.0,10.0,0.07981900452488688,0.08796380090497738,0.04848443454260092,0.06378200402968204,2/3,3,0.016363636363636337,2/5,4,0.08091098273724859,0.07196103126637511,0.08920243975717689,0.06198755359584079,0.010125481427382454,flat,False,False,NULL,NULL,-0.12857142857142856,0.27554179566563464,0.04437564499484004,-0.06363636363636364,0.43030303030303024,0.09090909090909088,-0.11515151515151514,-0.2606060606060606
