arm,q,n_fail,fails_H1,sole_H1,fails_H2,sole_H2,fails_OOS,sole_OOS,fails_DDcap,sole_DDcap,fails_CAGRfloor,sole_CAGRfloor
EWall,0.0,13,0.0,0.0,0.5384615384615384,0.0,0.38461538461538464,0.0,1.0,0.46153846153846156,0.07692307692307693,0.0
EWall,0.05,18,0.0,0.0,0.6666666666666666,0.0,0.4444444444444444,0.0,0.9444444444444444,0.3333333333333333,0.16666666666666666,0.0
EWall,0.1,14,0.0,0.0,0.7857142857142857,0.0,0.6428571428571429,0.0,1.0,0.21428571428571427,0.21428571428571427,0.0
EWall,0.15,15,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.3333333333333333,0.0,0.9333333333333333,0.4666666666666667,0.13333333333333333,0.0
EWall,0.2,15,0.0,0.0,0.8,0.0,0.5333333333333333,0.0,0.9333333333333333,0.2,0.26666666666666666,0.0
EWall,0.25,18,0.1111111111111111,0.0,0.8333333333333334,0.0,0.6111111111111112,0.0,1.0,0.16666666666666666,0.2222222222222222,0.0
EWall,0.3,16,0.1875,0.0,0.9375,0.0625,0.625,0.0,0.75,0.0625,0.5,0.0
EWall,0.35,18,0.2777777777777778,0.0,0.8333333333333334,0.0,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,0.4444444444444444,0.0
EWall,0.4,19,0.3684210526315789,0.05263157894736842,0.8421052631578947,0.0,0.6842105263157895,0.0,0.8421052631578947,0.05263157894736842,0.5263157894736842,0.0
EWall,0.45,19,0.21052631578947367,0.0,0.8421052631578947,0.0,0.6842105263157895,0.0,0.9473684210526315,0.10526315789473684,0.47368421052631576,0.0
EWall,0.5,19,0.5789473684210527,0.0,0.9473684210526315,0.0,0.8947368421052632,0.0,0.8947368421052632,0.05263157894736842,0.631578947368421,0.0
EWall,0.55,20,0.65,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0
EWall,0.6,20,0.7,0.0,1.0,0.0,0.95,0.0,1.0,0.0,0.75,0.0
EWall,0.65,20,0.75,0.0,0.95,0.0,0.95,0.0,1.0,0.0,0.9,0.0
EWall,0.7,20,0.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.0
EWall,0.75,20,0.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.95,0.0
EWall,0.8,20,0.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.0
EWall,0.85,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EWall,0.9,20,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EWall,0.95,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EWall,1.0,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
top10,0.0,18,0.1111111111111111,0.0,0.6111111111111112,0.05555555555555555,0.4444444444444444,0.0,0.7777777777777778,0.3888888888888889,0.1111111111111111,0.0
top10,0.05,17,0.29411764705882354,0.0,0.7647058823529411,0.058823529411764705,0.6470588235294118,0.0,0.6470588235294118,0.17647058823529413,0.11764705882352941,0.0
top10,0.1,20,0.05,0.0,0.7,0.0,0.6,0.0,0.85,0.3,0.05,0.0
top10,0.15,19,0.05263157894736842,0.0,0.631578947368421,0.0,0.5263157894736842,0.0,0.7894736842105263,0.3684210526315789,0.05263157894736842,0.0
top10,0.2,17,0.4117647058823529,0.0,0.9411764705882353,0.0,0.8235294117647058,0.0,0.7058823529411765,0.058823529411764705,0.4117647058823529,0.0
top10,0.25,19,0.2631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.6842105263157895,0.0,0.7368421052631579,0.10526315789473684,0.21052631578947367,0.0
top10,0.3,20,0.4,0.0,0.95,0.0,0.85,0.0,0.7,0.05,0.25,0.0
top10,0.35,18,0.2777777777777778,0.0,0.9444444444444444,0.0,0.8888888888888888,0.0,0.8333333333333334,0.05555555555555555,0.2777777777777778,0.0
top10,0.4,19,0.6842105263157895,0.0,0.6842105263157895,0.0,0.7368421052631579,0.0,0.9473684210526315,0.10526315789473684,0.42105263157894735,0.0
top10,0.45,20,0.45,0.05,0.85,0.0,0.8,0.0,0.95,0.05,0.3,0.0
top10,0.5,20,0.55,0.0,0.95,0.0,0.9,0.0,0.9,0.0,0.55,0.0
top10,0.55,20,0.65,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.0
top10,0.6,20,0.75,0.0,0.95,0.0,0.95,0.0,0.9,0.05,0.65,0.0
top10,0.65,20,0.85,0.0,0.95,0.0,0.95,0.0,0.95,0.05,0.9,0.0
top10,0.7,20,0.85,0.0,1.0,0.0,0.95,0.0,1.0,0.0,0.9,0.0
top10,0.75,20,0.9,0.0,1.0,0.0,1.0,0.0,0.95,0.0,0.95,0.0
top10,0.8,20,0.85,0.0,1.0,0.0,0.95,0.0,0.9,0.0,0.9,0.0
top10,0.85,20,0.95,0.0,0.95,0.0,0.95,0.0,0.95,0.0,1.0,0.0
top10,0.9,20,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
top10,0.95,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
top10,1.0,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
top20,0.0,6,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5,0.16666666666666666
top20,0.05,8,0.0,0.0,1.0,0.375,0.25,0.0,0.125,0.0,0.625,0.0
