panel,family,level,w,depth,cadence,gross,on_share_IS,gap_IS,dSharpe_IS,win_IS,on_share_OOS,gap_OOS,dSharpe_OOS,win_OOS
U56,ABS,0.3,0,0.25,D,0.75,0.06975585450921774,0.01743896362730446,-0.01523074659237278,False,0.07025472473294987,0.01756368118323748,0.05090513612777059,True
U56,ABS,0.3,0,0.25,W,0.75,0.07473841554559044,0.01868460388639759,0.016413435959400924,True,0.07271980279375513,0.018179950698438807,0.030957888656462096,True
U56,ABS,0.3,0,0.5,D,0.75,0.06975585450921774,0.03487792725460892,-0.037829218961975775,False,0.07025472473294987,0.03512736236647496,0.09278027100425268,True
U56,ABS,0.3,0,0.5,W,0.75,0.07473841554559044,0.03736920777279518,0.027460641865705404,True,0.07271980279375513,0.036359901396877614,0.053561635697142895,True
U56,ABS,0.3,0,1.0,D,0.75,0.06975585450921774,0.06975585450921773,-0.10582132175152204,False,0.07025472473294987,0.07025472473294991,0.13563875346313758,True
U56,ABS,0.3,0,1.0,W,0.75,0.07473841554559044,0.07473841554559046,0.030674604815079554,True,0.07271980279375513,0.07271980279375512,0.06618268509062708,True
U56,ABS,0.4,0,0.25,D,0.75,0.13303437967115098,0.03325859491778771,0.0009597714513492894,True,0.11544782251437963,0.02886195562859495,0.043810002193806374,True
U56,ABS,0.4,0,0.25,W,0.75,0.13602391629297458,0.03400597907324365,-0.01598117529855747,False,0.11380443714050945,0.028451109285127396,0.038309817222280884,True
U56,ABS,0.4,0,0.5,D,0.75,0.13303437967115098,0.06651718983557553,-0.010795018873736906,False,0.11544782251437963,0.057723911257189786,0.07420179772511193,True
U56,ABS,0.4,0,0.5,W,0.75,0.13602391629297458,0.0680119581464873,-0.044891969881190374,False,0.11380443714050945,0.05690221857025468,0.06617528646186388,True
U56,ABS,0.4,0,1.0,D,0.75,0.13303437967115098,0.13303437967115095,-0.08094672817311588,False,0.11544782251437963,0.11544782251437957,0.07060724110125483,True
U56,ABS,0.4,0,1.0,W,0.75,0.13602391629297458,0.1360239162929746,-0.14593803025508778,False,0.11380443714050945,0.11380443714050947,0.0773847057377901,True
U56,ABS,0.5,0,0.25,D,0.75,0.18385650224215247,0.04596412556053808,-0.01111616248957148,False,0.1532456861133936,0.03831142152834843,0.04376037964344537,True
U56,ABS,0.5,0,0.25,W,0.75,0.1818634778276034,0.0454658694569009,0.002628927035505879,True,0.1655710764174199,0.041392769104354965,0.034031638149967014,True
U56,ABS,0.5,0,0.5,D,0.75,0.18385650224215247,0.09192825112107628,-0.040631532809780935,False,0.1532456861133936,0.07662284305669675,0.07171119942248594,True
