claim_set,n_committed_fired_movers,ESCAPABLE,ROBUST,INDUCED,DEAD,escape_share
CS_CELL,1220,638,582,0,0,0.5229508196721312
CS_PROSE,6,1,0,0,5,0.16666666666666666
CS_ALL,1226,639,582,0,5,0.5212071778140294
