gamma,victims_admitted,of,pareto_victims_admitted,ladder_admitted,corpus_pass4b_gross
0.45,27,27,11,34,56
0.46,27,27,11,30,56
0.47,27,27,11,30,56
0.48,27,27,11,30,56
0.49,27,27,11,23,56
0.5,27,27,11,23,56
0.51,27,27,11,23,56
0.52,25,27,9,23,54
0.53,23,27,7,16,52
0.54,15,27,1,16,44
0.55,15,27,1,16,44
0.56,10,27,1,16,39
0.57,8,27,1,9,37
0.58,7,27,1,9,36
0.59,6,27,1,9,35
0.6,6,27,1,7,35
0.61,6,27,1,5,35
0.62,6,27,1,5,34
0.63,4,27,1,5,32
0.64,4,27,1,1,32
0.65,4,27,1,1,32
0.66,3,27,1,1,31
0.67,2,27,0,1,30
0.68,2,27,0,0,30
0.69,2,27,0,0,29
0.7,2,27,0,0,29
0.71,2,27,0,0,29
0.72,2,27,0,0,20
0.73,2,27,0,0,14
0.74,2,27,0,0,14
0.75,2,27,0,0,12
0.76,0,27,0,0,0
0.77,0,27,0,0,0
0.78,0,27,0,0,0
