panel,ladder_wider,ladder_narrower,best_L,F_star,years_star,tape_years,resolvable_on_tape,in_NG
B136,CADENCE,GROSS,63,1.0,0.25,17.63095238095238,True,False
B136,H,CADENCE,504,4.0,8.0,17.63095238095238,True,True
B136,H,GROSS,63,1.0,0.25,17.63095238095238,True,False
B136,N,CADENCE,504,9.0,18.0,17.63095238095238,False,True
B136,N,GROSS,63,1.0,0.25,17.63095238095238,True,False
B136,N,H,504,148.0,296.0,17.63095238095238,False,True
SMALL,CADENCE,GROSS,63,1.0,0.25,15.626984126984127,True,False
SMALL,CADENCE,N,63,26.0,6.5,15.626984126984127,True,True
SMALL,H,CADENCE,63,110.0,27.5,15.626984126984127,False,True
SMALL,H,GROSS,63,1.0,0.25,15.626984126984127,True,False
SMALL,H,N,63,53.0,13.25,15.626984126984127,True,True
SMALL,N,GROSS,63,1.0,0.25,15.626984126984127,True,False
U56,CADENCE,GROSS,63,1.0,0.25,17.646825396825395,True,False
U56,CADENCE,H,504,35.0,70.0,17.646825396825395,False,True
U56,CADENCE,N,63,42.0,10.5,17.646825396825395,True,True
U56,H,GROSS,63,1.0,0.25,17.646825396825395,True,False
U56,N,GROSS,63,1.0,0.25,17.646825396825395,True,False
U56,N,H,63,32.0,8.0,17.646825396825395,True,True
